#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091605.1-p1      -           1991 828at5820            -           1161         0 1731.4 109.3   1   9   2.7e-74     5e-71  238.2   4.9     1   141     1   144     1   150 0.98 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 828at5820            -           1161   4.1e-56  188.8   8.0   4   8         3   5.5e+03  -18.9  18.8   568   608  5088  5127  5073  5132 0.73 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 828at5820            -           1161   4.1e-56  188.8   8.0   5   8         3   5.5e+03  -13.2  15.9   576   676  5253  5351  5237  5361 0.56 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 828at5820            -           1161   4.1e-56  188.8   8.0   6   8       1.4   2.6e+03   -5.9   2.5   261   321  7500  7557  7495  7574 0.74 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 828at5820            -           1161   4.1e-56  188.8   8.0   7   8   1.5e-18   2.8e-15   53.6   3.5   721   925  8147  8361  8121  8369 0.76 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 828at5820            -           1161   4.1e-56  188.8   8.0   8   8   1.3e-47   2.5e-44  149.8   0.1   968  1158  8364  8561  8358  8563 0.90 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087775.1-p1      -           3825 828at5820            -           1161     2e-27   93.8   4.1   1   4         3   5.5e+03  -27.3  24.6   588   597   165   174   137   201 0.44 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087775.1-p1      -           3825 828at5820            -           1161     2e-27   93.8   4.1   2   4         3   5.5e+03  -15.9  16.0   210   294   422   502   372   529 0.38 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087775.1-p1      -           3825 828at5820            -           1161     2e-27   93.8   4.1   3   4       1.6     3e+03   -6.1   3.0   761   855  2765  2856  2750  2863 0.72 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087775.1-p1      -           3825 828at5820            -           1161     2e-27   93.8   4.1   4   4   1.1e-30     2e-27   93.8   4.1   978  1157  3637  3820  3590  3825 0.90 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/828at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/828at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/828at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:36 2026
# [ok]
