#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089250.1-p1      -             83 15067at5820          -             67   5.4e-45  149.6   3.2   1   1   1.7e-47   7.4e-45  149.2   3.2     5    67    21    83    18    83 0.98 | transcript=PVX_089250.1 | gene=PVX_089250 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=Pv_Sal1_chr05:414681-415151(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116625.1-p1      -             77 15067at5820          -             67    0.0053   15.1   0.2   1   1   1.8e-05    0.0075   14.6   0.2     8    62    20    75    13    76 0.87 | transcript=PVX_116625.1 | gene=PVX_116625 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr12:1152682-1152915(+) | protein_length=77 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091895.1-p1      -            127 15067at5820          -             67     0.031   12.6   3.2   1   1   0.00076      0.32    9.4   3.2     8    59    17    79    11    86 0.66 | transcript=PVX_091895.1 | gene=PVX_091895 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=Pv_Sal1_chr09:931185-931568(-) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15067at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15067at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15067at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:01 2026
# [ok]
