#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091922.1-p1      -           1216 2178at5820           -            722         0 1060.3  38.1   1   7   1.3e-24   1.4e-21   74.8   3.4     1    56    38    93    38   137 0.81 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115230.1-p1      -            534 2178at5820           -            722   6.5e-08   29.6   0.1   1   1     1e-10   1.1e-07   28.8   0.1   383   464    98   177    74   215 0.83 | transcript=PVX_115230.1 | gene=PVX_115230 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr11:221976-223580(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2178at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2178at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2178at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:23 2026
# [ok]
