#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089170.1-p1      -            691 4567at5820           -            584         0 1080.2  67.8   1   1         0         0 1079.9  67.8     5   584    86   691    37   691 0.97 | transcript=PVX_089170.1 | gene=PVX_089170 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr05:358947-361022(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 4567at5820           -            584   3.6e-10   37.4   3.6   1   2     1e-12   3.6e-10   37.4   3.6    62   135     9    87     2    94 0.87 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 4567at5820           -            584   3.6e-10   37.4   3.6   2   2       5.2   1.8e+03   -4.6   2.0    44   107   196   256   193   277 0.62 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085755.1-p1      -            381 4567at5820           -            584   3.3e-09   34.2   1.6   1   1     2e-11     7e-09   33.1   1.6    59   124    53   117    42   121 0.90 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088225.1-p1      -            843 4567at5820           -            584   1.7e-08   31.8   1.3   1   1     8e-11   2.8e-08   31.1   1.3    61   124   299   362   296   376 0.93 | transcript=PVX_088225.1 | gene=PVX_088225 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr01:516724-519255(+) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 4567at5820           -            584   1.1e-06   25.8   1.1   1   2       1.1   3.7e+02   -2.3   0.1   196   216     8    28     4    35 0.78 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 4567at5820           -            584   1.1e-06   25.8   1.1   2   2   4.7e-09   1.6e-06   25.3   0.2    44   123    64   150    58   159 0.82 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114815.1-p1      -            201 4567at5820           -            584   6.8e-05   19.9   5.3   1   1     3e-07    0.0001   19.3   5.3    61   137     2    80     1   100 0.80 | transcript=PVX_114815.1 | gene=PVX_114815 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:613597-615229(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 4567at5820           -            584   0.00027   18.0   7.8   1   3   3.7e-06    0.0013   15.7   0.0    57    92     4    39     1    55 0.90 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 4567at5820           -            584   0.00027   18.0   7.8   2   3    0.0019      0.67    6.8   0.1    97   124   113   140   100   144 0.91 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 4567at5820           -            584   0.00027   18.0   7.8   3   3       3.2   1.1e+03   -3.9   2.5   249   249   235   235   170   302 0.60 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118690.1-p1      -            300 4567at5820           -            584    0.0027   14.7   0.3   1   1   1.1e-05    0.0038   14.2   0.3    88   123     3    41     1    50 0.81 | transcript=PVX_118690.1 | gene=PVX_118690 | organism=Plasmodium_vivax_Sal-1 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=Pv_Sal1_chr12:2986888-2987943(+) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4567at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4567at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4567at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:12 2026
# [ok]
