#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085565.1-p1      -            972 1986at5820           -            897         0 1991.7  39.2   1   1         0         0 1983.0  39.2     1   897    11   972    11   972 0.97 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1986at5820           -            897   1.6e-63  213.2   3.1   1   3   1.1e-63   7.6e-61  204.4   0.3   267   672   197   618   180   641 0.79 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1986at5820           -            897   1.6e-63  213.2   3.1   2   3   1.7e-07   0.00012   18.5   0.2   713   778   707   780   676   785 0.74 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 1986at5820           -            897   1.6e-63  213.2   3.1   3   3         8   5.5e+03  -19.0  20.3    34   117   799   881   781   898 0.49 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 1986at5820           -            897   9.3e-50  167.7  11.1   1   3   1.4e-08   9.9e-06   22.0   0.7   255   394   262   406   241   428 0.77 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 1986at5820           -            897   9.3e-50  167.7  11.1   2   3     4e-43   2.7e-40  136.4   0.1   449   663   826  1040   798  1054 0.87 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 1986at5820           -            897   9.3e-50  167.7  11.1   3   3   2.2e-06    0.0015   14.8   0.9   690   767  1156  1231  1141  1320 0.67 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1986at5820           -            897     1e-31  108.0   7.0   1   3    0.0031       2.1    4.4   0.1   317   422   487   583   473   606 0.77 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1986at5820           -            897     1e-31  108.0   7.0   2   3   2.1e-27   1.5e-24   84.3   0.2   506   656   896  1047   889  1053 0.86 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1986at5820           -            897     1e-31  108.0   7.0   3   3   2.1e-08   1.4e-05   21.5   0.2   693   785  1151  1234  1144  1253 0.77 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1986at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1986at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1986at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:38 2026
# [ok]
