#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113995.1-p1      -           1281 2168at5820           -            946         0 1726.0 128.5   1   5  1.2e-146  2.2e-143  477.7  30.5     1   233     1   234     1   242 0.98 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 2168at5820           -            946   8.3e-21   72.0  33.1   3   4    0.0047       8.7    2.4   5.9   572   670   633   737   602   787 0.68 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 2168at5820           -            946   8.3e-21   72.0  33.1   4   4       1.8   3.4e+03   -6.1   5.6   696   781  1208  1300  1186  1315 0.50 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2168at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2168at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2168at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:20 2026
# [ok]
