#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098650.1-p1      -           1319 1635at5820           -            845         0 1614.7 108.4   1   6         0         0 1080.4  29.7     1   469     4   472     4   482 0.99 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 1635at5820           -            845   2.1e-22   77.2  29.0   3   4     0.076   1.1e+02   -1.2   4.0   465   597   761   889   744   916 0.66 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 1635at5820           -            845   2.1e-22   77.2  29.0   4   4      0.55   7.6e+02   -4.1   3.2   726   794  1015  1088   997  1114 0.67 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113810.1-p1      -           1004 1635at5820           -            845   1.3e-05   21.6   0.6   1   2   9.7e-09   1.3e-05   21.6   0.6    49   204    56   207    35   218 0.85 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113810.1-p1      -           1004 1635at5820           -            845   1.3e-05   21.6   0.6   2   2      0.11   1.5e+02   -1.7   0.1   363   393   459   490   449   510 0.79 | transcript=PVX_113810.1 | gene=PVX_113810 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=Pv_Sal1_chr11:1490587-1493601(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1635at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1635at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1635at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:50 2026
# [ok]
