#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087775.1-p1      -           3825 221at5820            -           2863         0 4231.3 280.1   1   5    4e-230  1.2e-227  757.1  77.4     1   482     1   583     1   588 0.84 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 221at5820            -           2863   1.8e-19   66.4  25.2   6   6     6e-22   1.8e-19   66.4  25.2  2589  2860  8295  8561  7817  8564 0.70 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084410.1-p1      -            370 221at5820            -           2863    0.0074   11.2  40.6   1   1   3.4e-05      0.01   10.8  40.6  2219  2477    56   339    13   359 0.48 | transcript=PVX_084410.1 | gene=PVX_084410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:275912-277174(+) | protein_length=370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123325.1-p1      -            371 221at5820            -           2863      0.48    5.2  32.0   1   1    0.0021      0.61    4.9  32.0  2240  2393    17   171     2   262 0.66 | transcript=PVX_123325.1 | gene=PVX_123325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1355876-1356991(+) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118665.1-p1      -            255 221at5820            -           2863       0.5    5.2  18.8   1   1    0.0021      0.61    4.9  18.8   155   249   137   233    93   247 0.35 | transcript=PVX_118665.1 | gene=PVX_118665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2958519-2959393(+) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 221at5820            -           2863      0.62    4.9  23.4   1   1    0.0024      0.71    4.7  23.4  2244  2369     5   128     1   135 0.54 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122218.1-p1      -            418 221at5820            -           2863       1.2    3.9  38.2   1   1    0.0051       1.5    3.6  38.2  2185  2398    66   277    42   322 0.45 | transcript=PVX_122218.1 | gene=PVX_122218 | organism=Plasmodium_vivax_Sal-1 | gene_product=fork head domain protein, putative | transcript_product=fork head domain protein, putative | location=Pv_Sal1_chr14:386199-387920(-) | protein_length=418 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 221at5820            -           2863       1.3    3.8  28.6   1   1    0.0051       1.5    3.6  28.6   130   254   103   247     4   259 0.51 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089765.1-p1      -            428 221at5820            -           2863       1.5    3.6  14.4   1   1    0.0066       1.9    3.2  14.4  2219  2281   112   185    44   219 0.42 | transcript=PVX_089765.1 | gene=PVX_089765 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr05:815232-816708(-) | protein_length=428 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 221at5820            -           2863       2.4    2.9  29.8   1   2   0.00074      0.21    6.4  10.8  2295  2383   205   296    13   321 0.59 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 221at5820            -           2863       2.4    2.9  29.8   2   2      0.01       2.9    2.6  11.0  2292  2382   384   480   370   505 0.40 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089940.1-p1      -            311 221at5820            -           2863       3.5    2.4  15.3   1   1     0.014       4.1    2.1  15.3   118   248    51   182    32   246 0.34 | transcript=PVX_089940.1 | gene=PVX_089940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:957535-958596(+) | protein_length=311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116582.1-p1      -            822 221at5820            -           2863       3.5    2.4   5.5   1   1     0.015       4.4    2.1   5.5  2327  2451   506   631   470   730 0.59 | transcript=PVX_116582.1 | gene=PVX_116582 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr12:1103176-1105909(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089900.1-p1      -            218 221at5820            -           2863       3.6    2.3  18.9   1   1     0.014       4.2    2.1  18.9  2245  2365    55   172    13   199 0.49 | transcript=PVX_089900.1 | gene=PVX_089900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:924985-925641(-) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091935.1-p1      -            318 221at5820            -           2863       4.3    2.1  32.6   1   1     0.017       4.8    1.9  32.6  2317  2492    68   242    26   310 0.50 | transcript=PVX_091935.1 | gene=PVX_091935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:961146-962508(+) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087855.1-p1      -            162 221at5820            -           2863       4.4    2.0  10.1   1   1     0.014       4.2    2.1  10.1   154   223     7    76     1   132 0.44 | transcript=PVX_087855.1 | gene=PVX_087855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr01:226213-226910(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097990.1-p1      -            270 221at5820            -           2863       5.4    1.7  20.7   1   1     0.023       6.6    1.4  20.7  2232  2373   102   253    22   268 0.49 | transcript=PVX_097990.1 | gene=PVX_097990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:995186-995998(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082675.1-p1      -            453 221at5820            -           2863       6.3    1.5  15.5   1   1      0.03       8.6    1.1  15.5   103   217    40   153    35   191 0.61 | transcript=PVX_082675.1 | gene=PVX_082675 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 7 (MSP7) | transcript_product=merozoite surface protein 7 (MSP7) | location=Pv_Sal1_chr12:766598-767959(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083020.1-p1      -            384 221at5820            -           2863       9.4    1.0  31.1   1   1     0.051        15    0.3  31.1  2210  2335    99   237    76   253 0.46 | transcript=PVX_083020.1 | gene=PVX_083020 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase II beta chain, putative | transcript_product=casein kinase II beta chain, putative | location=Pv_Sal1_chr12:512034-513411(+) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/221at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/221at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/221at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:48 2026
# [ok]
