#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094315.1-p1      -            322 13693at5820          -            216  5.6e-126  416.7  40.0   1   1  3.3e-128  5.6e-126  416.7  40.0     1   215    84   309    84   311 0.97 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 13693at5820          -            216   2.6e-12   45.2  14.2   3   4   9.8e-07   0.00017   19.7   0.1     5    88   207   289   201   301 0.90 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115005.1-p1      -            392 13693at5820          -            216   2.6e-12   45.2  14.2   4   4       3.9   6.8e+02   -1.9   0.4   111   161   367   382   335   390 0.43 | transcript=PVX_115005.1 | gene=PVX_115005 | organism=Plasmodium_vivax_Sal-1 | gene_product=poly(A)-binding protein, putative | transcript_product=poly(A)-binding protein, putative | location=Pv_Sal1_chr11:406199-408868(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 13693at5820          -            216   2.2e-11   42.2   0.4   1   4       4.6     8e+02   -2.2   0.8   147   168    10    32     3    49 0.47 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 13693at5820          -            216   2.2e-11   42.2   0.4   2   4   0.00019     0.033   12.2   0.0     9    72    89   151    84   161 0.81 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 13693at5820          -            216   2.2e-11   42.2   0.4   3   4   1.2e-11     2e-09   35.7   0.2     7    80   170   240   166   250 0.83 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099257.1-p1      -            339 13693at5820          -            216   2.2e-11   42.2   0.4   4   4      0.88   1.5e+02    0.2   6.8   132   177   251   296   244   303 0.79 | transcript=PVX_099257.1 | gene=PVX_099257 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein musashi, putative | transcript_product=RNA-binding protein musashi, putative | location=Pv_Sal1_chr07:628751-629772(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091030.1-p1      -            753 13693at5820          -            216   8.4e-11   40.3   2.1   1   3      0.83   1.4e+02    0.3   1.2   173   211    82   122    71   127 0.72 | transcript=PVX_091030.1 | gene=PVX_091030 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=Pv_Sal1_chr09:182956-186632(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091030.1-p1      -            753 13693at5820          -            216   8.4e-11   40.3   2.1   2   3   4.7e-07   8.1e-05   20.7   0.1    10    85   366   440   361   448 0.81 | transcript=PVX_091030.1 | gene=PVX_091030 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=Pv_Sal1_chr09:182956-186632(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091030.1-p1      -            753 13693at5820          -            216   8.4e-11   40.3   2.1   3   3   2.7e-09   4.7e-07   28.0   0.2     5    84   661   741   657   748 0.91 | transcript=PVX_091030.1 | gene=PVX_091030 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleic acid binding protein, putative | transcript_product=nucleic acid binding protein, putative | location=Pv_Sal1_chr09:182956-186632(+) | protein_length=753 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 13693at5820          -            216     1e-10   40.0   0.1   1   2       5.1   8.8e+02   -2.3   0.6   178   200    11    33     5    50 0.69 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 13693at5820          -            216     1e-10   40.0   0.1   2   2   5.8e-13     1e-10   40.0   0.1     2    85   183   266   182   269 0.96 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 13693at5820          -            216   2.9e-10   38.5   0.0   1   2   0.00015     0.026   12.5   0.0     6    67     6    66     2   118 0.88 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 13693at5820          -            216   2.9e-10   38.5   0.0   2   2   4.6e-08     8e-06   24.0   0.0     6    88   154   235   151   245 0.87 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 13693at5820          -            216   1.8e-08   32.6   1.9   1   2   3.3e-05    0.0057   14.7   0.0     3    75    16    88    14   104 0.87 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 13693at5820          -            216   1.8e-08   32.6   1.9   2   2   5.4e-06   0.00094   17.2   0.4     6    85   106   184   100   196 0.87 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080385.1-p1      -            314 13693at5820          -            216   3.5e-08   31.7   0.0   1   1     2e-10   3.5e-08   31.7   0.0     7    83     8    81     3   107 0.89 | transcript=PVX_080385.1 | gene=PVX_080385 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 1, putative | transcript_product=serine/arginine-rich splicing factor 1, putative | location=Pv_Sal1_chr10:626300-627451(+) | protein_length=314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086965.1-p1      -            192 13693at5820          -            216   3.5e-08   31.7   0.6   1   2   1.7e-07   2.9e-05   22.1   0.3     7   104    10   109     7   118 0.81 | transcript=PVX_086965.1 | gene=PVX_086965 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=Pv_Sal1_chr07:1323207-1323785(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086965.1-p1      -            192 13693at5820          -            216   3.5e-08   31.7   0.6   2   2    0.0034      0.58    8.1   0.0     7    67   120   174   114   183 0.85 | transcript=PVX_086965.1 | gene=PVX_086965 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=Pv_Sal1_chr07:1323207-1323785(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 13693at5820          -            216   1.1e-07   30.0   0.0   1   1   7.7e-10   1.3e-07   29.8   0.0     8    80    15    84    11   105 0.89 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086295.1-p1      -            661 13693at5820          -            216   1.1e-07   30.0   0.1   1   3   6.6e-10   1.1e-07   30.0   0.1     3    84   162   246   160   261 0.84 | transcript=PVX_086295.1 | gene=PVX_086295 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=Pv_Sal1_chr13:1987472-1990898(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086295.1-p1      -            661 13693at5820          -            216   1.1e-07   30.0   0.1   2   3       4.6   7.9e+02   -2.1   0.0    19    55   287   322   264   332 0.74 | transcript=PVX_086295.1 | gene=PVX_086295 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=Pv_Sal1_chr13:1987472-1990898(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086295.1-p1      -            661 13693at5820          -            216   1.1e-07   30.0   0.1   3   3       4.7   8.2e+02   -2.2   1.3   141   199   336   394   325   409 0.51 | transcript=PVX_086295.1 | gene=PVX_086295 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=Pv_Sal1_chr13:1987472-1990898(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 13693at5820          -            216   1.2e-07   29.9   0.6   1   2     0.039       6.7    4.6   0.5     7    63    95   150    91   168 0.83 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 13693at5820          -            216   1.2e-07   29.9   0.6   2   2   7.1e-10   1.2e-07   29.9   0.6     5    80   301   378   296   390 0.87 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115315.1-p1      -            452 13693at5820          -            216   8.6e-07   27.2   0.1   1   1     5e-09   8.6e-07   27.2   0.1     6    84    97   174    91   190 0.89 | transcript=PVX_115315.1 | gene=PVX_115315 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | transcript_product=U1 small nuclear ribonucleoprotein 70 kDa, putative | location=Pv_Sal1_chr11:151867-153225(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 13693at5820          -            216   1.3e-06   26.5   7.8   1   2   2.9e-05     0.005   14.9   2.3     7    84   227   305   225   408 0.79 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 13693at5820          -            216   1.3e-06   26.5   7.8   2   2   7.1e-05     0.012   13.6   0.3     8    85   434   505   430   505 0.91 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 13693at5820          -            216   1.4e-06   26.5   0.8   1   3       7.4   1.3e+03   -2.8   7.1   182   215    19    52     7    81 0.59 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 13693at5820          -            216   1.4e-06   26.5   0.8   2   3   2.4e-06   0.00042   18.4   0.2    10    90   121   194   113   203 0.78 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 13693at5820          -            216   1.4e-06   26.5   0.8   3   3   4.4e-05    0.0076   14.3   0.0     9    88   204   281   199   289 0.80 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097740.1-p1      -            328 13693at5820          -            216   2.4e-06   25.7  50.3   1   1   1.4e-08   2.4e-06   25.7  50.3     4   205     9   221     6   226 0.64 | transcript=PVX_097740.1 | gene=PVX_097740 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=Pv_Sal1_chr10:1206068-1207054(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 13693at5820          -            216   2.8e-06   25.5  25.9   1   4       8.1   1.4e+03   -3.0   1.2    61    93    18    50     5    76 0.59 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 13693at5820          -            216   2.8e-06   25.5  25.9   2   4   5.8e-05      0.01   13.9   0.1     8    66    87   145    84   157 0.91 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 13693at5820          -            216   2.8e-06   25.5  25.9   3   4    0.0019      0.33    8.9   9.9     5    83   182   260   177   378 0.67 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 13693at5820          -            216   2.8e-06   25.5  25.9   4   4   9.8e-05     0.017   13.1   0.1    18    87   409   478   396   488 0.86 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114975.1-p1      -            181 13693at5820          -            216   9.1e-06   23.8   1.2   1   1   5.3e-08   9.1e-06   23.8   1.2     9    84    52   127    46   140 0.91 | transcript=PVX_114975.1 | gene=PVX_114975 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:447877-449199(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113920.1-p1      -            153 13693at5820          -            216   9.4e-06   23.8   0.3   1   2       6.2   1.1e+03   -2.6  15.8   133   185     6    59     1    64 0.67 | transcript=PVX_113920.1 | gene=PVX_113920 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA and export factor binding protein, putative | transcript_product=RNA and export factor binding protein, putative | location=Pv_Sal1_chr11:1385500-1386942(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113920.1-p1      -            153 13693at5820          -            216   9.4e-06   23.8   0.3   2   2   5.4e-08   9.4e-06   23.8   0.3    10    86    64   139    60   148 0.89 | transcript=PVX_113920.1 | gene=PVX_113920 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA and export factor binding protein, putative | transcript_product=RNA and export factor binding protein, putative | location=Pv_Sal1_chr11:1385500-1386942(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 13693at5820          -            216   2.2e-05   22.5   1.0   1   1   2.3e-07   3.9e-05   21.7   1.0     5    86     6    88     3    95 0.90 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 13693at5820          -            216   2.6e-05   22.3   2.7   1   2      0.21        35    2.3   0.1    11    70   407   463   394   477 0.73 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 13693at5820          -            216   2.6e-05   22.3   2.7   2   2   1.5e-06   0.00026   19.1   0.3     7    84   668   744   664   746 0.85 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118205.1-p1      -            786 13693at5820          -            216   0.00017   19.6   0.1   1   2   9.9e-07   0.00017   19.6   0.1     9    93    31   115    24   131 0.88 | transcript=PVX_118205.1 | gene=PVX_118205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2502331-2505392(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118205.1-p1      -            786 13693at5820          -            216   0.00017   19.6   0.1   2   2       4.5   7.8e+02   -2.1   1.7   108   150   164   207   149   222 0.47 | transcript=PVX_118205.1 | gene=PVX_118205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2502331-2505392(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099605.1-p1      -            202 13693at5820          -            216   0.00027   19.0   0.0   1   1     2e-06   0.00034   18.7   0.0     7    89    71   152    65   202 0.83 | transcript=PVX_099605.1 | gene=PVX_099605 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:907263-908738(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086130.1-p1      -            119 13693at5820          -            216   0.00031   18.8   0.0   1   1   2.7e-06   0.00046   18.2   0.0     6    83    34   111    29   118 0.88 | transcript=PVX_086130.1 | gene=PVX_086130 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1857415-1858143(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
