#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114700.1-p1      -           1006 3360at5820           -            790         0 1416.0 153.6   1   6    5e-152  6.9e-149  495.7  14.4     1   228     1   228     1   241 0.99 | transcript=PVX_114700.1 | gene=PVX_114700 | organism=Plasmodium_vivax_Sal-1 | gene_product=FtsJ-like methyltransferase, putative | transcript_product=FtsJ-like methyltransferase, putative | location=Pv_Sal1_chr11:702835-706075(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091992.1-p1      -            293 3360at5820           -            790    0.0001   18.9   4.5   1   1     1e-07   0.00014   18.5   4.5   209   292    32   114    21   133 0.89 | transcript=PVX_091992.1 | gene=PVX_091992 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr09:1007836-1010171(+) | protein_length=293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3360at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3360at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3360at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:35 2026
# [ok]
