#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097645.1-p1      -            177 13470at5820          -            123   4.8e-68  225.2   9.5   1   2   9.7e-22   2.6e-19   67.9   0.1     2    44     7    49     6    57 0.95 | transcript=PVX_097645.1 | gene=PVX_097645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1278651-1279184(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 13470at5820          -            123     6e-07   27.9   0.2   2   2       5.2   1.4e+03   -2.3   0.4    19    38   349   368   331   402 0.47 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 13470at5820          -            123   4.6e-06   25.1   0.1   1   1   7.7e-08     2e-05   23.0   0.1     3    68   129   192   127   197 0.91 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 13470at5820          -            123   1.3e-05   23.6   0.2   1   3   5.1e-08   1.3e-05   23.6   0.2     2    38   173   209   172   219 0.86 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 13470at5820          -            123   1.3e-05   23.6   0.2   2   3       4.7   1.2e+03   -2.2   0.1    62    82   394   414   384   423 0.75 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123520.1-p1      -           1079 13470at5820          -            123   1.3e-05   23.6   0.2   3   3       7.2   1.9e+03   -2.7   0.1    12    36   420   444   412   451 0.65 | transcript=PVX_123520.1 | gene=PVX_123520 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=Pv_Sal1_chr14:1492225-1495464(+) | protein_length=1079 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000775.1-p1      -            648 13470at5820          -            123   2.4e-05   22.8   0.1   1   1   1.6e-07   4.1e-05   22.0   0.1     1    44    82   125    82   154 0.77 | transcript=PVX_000775.1 | gene=PVX_000775 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone DNAJ protein, putative | transcript_product=chaperone DNAJ protein, putative | location=Pv_Sal1_chr03:316760-318706(+) | protein_length=648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 13470at5820          -            123   2.5e-05   22.7   0.9   1   2   4.9e-07   0.00013   20.4   0.0     3    39     8    44     6    53 0.87 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 13470at5820          -            123   2.5e-05   22.7   0.9   2   2       1.8   4.7e+02   -0.8   0.2    53    78   233   257   222   264 0.70 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 13470at5820          -            123   3.1e-05   22.4   0.7   1   1   3.2e-07   8.4e-05   21.0   0.7     4    68    47   108    44   138 0.75 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 13470at5820          -            123   3.1e-05   22.4   0.1   1   1   2.1e-07   5.5e-05   21.6   0.1     3    66     6    68     4    94 0.79 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 13470at5820          -            123   3.3e-05   22.3   1.2   1   3       1.9   4.9e+02   -0.8   0.1    63    87     4    28     2    33 0.88 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 13470at5820          -            123   3.3e-05   22.3   1.2   2   3   1.2e-07   3.3e-05   22.3   1.2     2    81   190   266   189   302 0.76 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 13470at5820          -            123   3.3e-05   22.3   1.2   3   3       2.1   5.4e+02   -1.0   0.3    29    60   298   329   271   373 0.65 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123565.1-p1      -             84 13470at5820          -            123   0.00023   19.6   0.2   1   1   1.1e-06   0.00028   19.3   0.2    65   122    13    71     2    78 0.79 | transcript=PVX_123565.1 | gene=PVX_123565 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr14:1524041-1524295(-) | protein_length=84 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092710.1-p1      -           2784 13470at5820          -            123   0.00041   18.8   6.1   1   2      0.38     1e+02    1.4   0.7    74   113   917   956   899   963 0.81 | transcript=PVX_092710.1 | gene=PVX_092710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1659243-1667597(-) | protein_length=2784 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092710.1-p1      -           2784 13470at5820          -            123   0.00041   18.8   6.1   2   2   3.5e-06   0.00092   17.6   0.5     3    62  1324  1387  1322  1405 0.76 | transcript=PVX_092710.1 | gene=PVX_092710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1659243-1667597(-) | protein_length=2784 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 13470at5820          -            123   0.00051   18.5   0.2   1   2   1.9e-06   0.00051   18.5   0.2     2    71    52   118    51   152 0.85 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 13470at5820          -            123   0.00051   18.5   0.2   2   2       3.5   9.3e+02   -1.8   0.2    78   117   178   219   160   261 0.63 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 13470at5820          -            123   0.00096   17.6   0.8   1   1   7.6e-06     0.002   16.6   0.8     3    67    85   150    83   172 0.79 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088225.1-p1      -            843 13470at5820          -            123    0.0051   15.2   0.2   1   1   4.3e-05     0.011   14.1   0.2     4    67   300   361   297   412 0.76 | transcript=PVX_088225.1 | gene=PVX_088225 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr01:516724-519255(+) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085755.1-p1      -            381 13470at5820          -            123     0.024   13.1   0.4   1   3   9.1e-05     0.024   13.1   0.4     1    39    53    91    53   116 0.82 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085755.1-p1      -            381 13470at5820          -            123     0.024   13.1   0.4   2   3       1.5   4.1e+02   -0.6   0.3    77   113   103   141    89   148 0.55 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085755.1-p1      -            381 13470at5820          -            123     0.024   13.1   0.4   3   3       3.1   8.2e+02   -1.6   0.1     8    30   285   307   277   316 0.54 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099420.1-p1      -            263 13470at5820          -            123      0.08   11.4   0.2   1   3       4.2   1.1e+03   -2.0   0.1   110   119    90    99    78   102 0.80 | transcript=PVX_099420.1 | gene=PVX_099420 | organism=Plasmodium_vivax_Sal-1 | gene_product=co-chaperone Hsc20, putative | transcript_product=co-chaperone Hsc20, putative | location=Pv_Sal1_chr07:760908-763062(-) | protein_length=263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099420.1-p1      -            263 13470at5820          -            123      0.08   11.4   0.2   2   3    0.0003      0.08   11.4   0.2    15    66   122   174   111   192 0.70 | transcript=PVX_099420.1 | gene=PVX_099420 | organism=Plasmodium_vivax_Sal-1 | gene_product=co-chaperone Hsc20, putative | transcript_product=co-chaperone Hsc20, putative | location=Pv_Sal1_chr07:760908-763062(-) | protein_length=263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099420.1-p1      -            263 13470at5820          -            123      0.08   11.4   0.2   3   3       4.9   1.3e+03   -2.2   0.1    53    65   239   251   215   258 0.55 | transcript=PVX_099420.1 | gene=PVX_099420 | organism=Plasmodium_vivax_Sal-1 | gene_product=co-chaperone Hsc20, putative | transcript_product=co-chaperone Hsc20, putative | location=Pv_Sal1_chr07:760908-763062(-) | protein_length=263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13470at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13470at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13470at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:23 2026
# [ok]
