#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079815.1-p1      -            203 11913at5820          -            182  2.1e-115  381.2   6.9   1   1  4.2e-116    2e-113  374.7   6.9     1   182     1   201     1   201 0.94 | transcript=PVX_079815.1 | gene=PVX_079815 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:125654-126265(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093595.1-p1      -            578 11913at5820          -            182   1.7e-09   36.1   0.1   1   2   1.4e-11   6.3e-09   34.2   0.1    84   160    99   174    58   191 0.82 | transcript=PVX_093595.1 | gene=PVX_093595 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:668634-670370(-) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093595.1-p1      -            578 11913at5820          -            182   1.7e-09   36.1   0.1   2   2       1.7   7.7e+02   -1.9   0.0     6    50   333   376   318   383 0.65 | transcript=PVX_093595.1 | gene=PVX_093595 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:668634-670370(-) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099995.1-p1      -            616 11913at5820          -            182   0.00018   19.7   1.5   1   2       1.8   8.5e+02   -2.1   0.1     8    50    52    95    48   104 0.73 | transcript=PVX_099995.1 | gene=PVX_099995 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr07:1175276-1177756(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099995.1-p1      -            616 11913at5820          -            182   0.00018   19.7   1.5   2   2   7.1e-07   0.00033   18.8   0.2    20    72   309   363   302   368 0.88 | transcript=PVX_099995.1 | gene=PVX_099995 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr07:1175276-1177756(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11913at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11913at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11913at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:02 2026
# [ok]
