#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9   1  16  2.9e-107  5.4e-104  347.4  31.9     1   184    89   280    89   286 0.96 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9  12  16   6.9e-13   1.3e-09   35.3  53.5   581   677  1269  1383  1265  1384 0.74 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9  13  16   0.00036      0.66    6.5   7.9   650   673  1374  1396  1368  1404 0.60 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9  14  16   2.2e-05     0.041   10.5   5.2   651   677  1402  1428  1400  1430 0.82 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9  15  16   0.00011      0.21    8.2   3.8   651   670  1429  1448  1425  1449 0.90 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9  16  16   1.1e-57     2e-54  183.5  37.4   651   774  1447  1585  1446  1585 0.93 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 6929at5820           -            774    0.0001   19.1   0.1   1   1   6.5e-08   0.00012   18.8   0.1    67   130    16    75     9   108 0.77 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 6929at5820           -            774     0.015   11.9   0.1   1   4   8.3e-06     0.015   11.9   0.1    60   126     4    72     1    76 0.89 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 6929at5820           -            774     0.015   11.9   0.1   2   4   6.4e-06     0.012   12.3   4.6    52   149   155   251   129   262 0.79 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 6929at5820           -            774     0.015   11.9   0.1   3   4         3   5.5e+03  -10.0  48.1   557   652   447   542   395   550 0.79 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 6929at5820           -            774     0.015   11.9   0.1   4   4         3   5.5e+03  -15.6  19.4   564   624   549   609   541   611 0.56 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6929at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6929at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6929at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:11 2026
# [ok]
