#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000870.1-p1      -            380 8131at5820           -            332  1.7e-189  627.2  64.5   1   1  6.5e-191    4e-188  622.6  64.5     1   332     8   380     8   380 0.95 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 8131at5820           -            332       1.3    6.3  61.0   2   6   0.00092      0.56    7.5  11.1   183   271   233   323   224   362 0.68 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 8131at5820           -            332       1.3    6.3  61.0   3   6       0.9   5.5e+02   -2.3   3.5   247   276   345   373   323   395 0.47 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 8131at5820           -            332       1.3    6.3  61.0   4   6    0.0024       1.5    6.1  12.0   227   332   394   495   390   495 0.73 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 8131at5820           -            332       1.3    6.3  61.0   5   6    0.0056       3.5    4.9   0.2   190   224   516   550   494   555 0.71 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 8131at5820           -            332       1.3    6.3  61.0   6   6     0.021        13    3.1   0.9    54    96   557   599   548   603 0.85 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8131at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8131at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8131at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:07 2026
# [ok]
