#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089690.1-p1      -            636 5642at5820           -            463  1.8e-281  932.1  32.6   1   3       1.8   1.4e+03   -4.0   3.2   129   153    39    63    28    70 0.79 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080030.1-p1      -            365 5642at5820           -            463   9.6e-07   26.3   0.5   2   2       1.1   8.4e+02   -3.2   0.3   122   153   181   212   177   220 0.66 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 5642at5820           -            463   1.1e-06   26.1   0.5   1   2   2.3e-09   1.8e-06   25.3   0.0   283   350    65   128    56   159 0.80 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 5642at5820           -            463   1.1e-06   26.1   0.5   2   2       1.2   9.2e+02   -3.3   0.2   122   153   182   213   179   221 0.65 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 5642at5820           -            463   1.2e-06   26.0   0.5   1   2   2.5e-09     2e-06   25.2   0.0   283   350    64   127    55   158 0.80 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 5642at5820           -            463   1.2e-06   26.0   0.5   2   2       1.3     1e+03   -3.5   0.3   122   153   181   212   178   219 0.66 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5642at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5642at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5642at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:41 2026
# [ok]
