#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111265.1-p1      -            617 6506at5820           -            426    1e-220  731.6  85.5   1   4    0.0028       2.6    5.4   0.7     1    21     8    29     8    54 0.85 | transcript=PVX_111265.1 | gene=PVX_111265 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:601863-603716(+) | protein_length=617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111050.1-p1      -            706 6506at5820           -            426    0.0031   15.1   8.3   2   2     0.017        16    2.8   3.1   253   327   245   328   232   348 0.72 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 6506at5820           -            426      0.15    9.5   2.3   1   2    0.0037       3.5    5.0   0.6   322   387   313   379   307   389 0.87 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 6506at5820           -            426      0.15    9.5   2.3   2   2     0.011        10    3.5   0.0   287   332   410   456   389   510 0.78 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6506at5820           -            426      0.63    7.4  17.8   1   7      0.64   5.9e+02   -2.3   0.1   316   330    32    46    24    49 0.62 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6506at5820           -            426      0.63    7.4  17.8   2   7      0.58   5.4e+02   -2.2   0.1    90   245   342   371   290   391 0.54 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6506at5820           -            426      0.63    7.4  17.8   3   7     0.071        65    0.8   0.1   223   248   416   441   403   445 0.88 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6506at5820           -            426      0.63    7.4  17.8   4   7     0.045        42    1.4   0.0   293   327   449   482   442   493 0.76 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6506at5820           -            426      0.63    7.4  17.8   5   7   0.00011       0.1   10.1   0.1   255   327   523   599   517   614 0.67 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6506at5820           -            426      0.63    7.4  17.8   6   7     0.029        27    2.1   0.1   296   332   614   650   602   662 0.67 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 6506at5820           -            426      0.63    7.4  17.8   7   7      0.13   1.2e+02   -0.1   0.5   221   261   716   761   698   831 0.58 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6506at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6506at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6506at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:14 2026
# [ok]
