#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113515.1-p1      -           1006 4120at5820           -            764         0 1496.2 128.2   1   5   3.5e-10   1.4e-07   28.3   4.5     1    34     1    35     1    40 0.90 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 4120at5820           -            764   3.2e-07   27.1   7.2   2   4   7.8e-08   3.1e-05   20.5   0.7   255   325   176   246   167   281 0.85 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 4120at5820           -            764   3.2e-07   27.1   7.2   3   4       1.2   4.8e+02   -3.3   0.1   161   218   679   741   672   743 0.72 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 4120at5820           -            764   3.2e-07   27.1   7.2   4   4       1.2   4.8e+02   -3.2   0.0   311   361  1194  1244  1189  1249 0.88 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 4120at5820           -            764   7.5e-07   25.9   2.1   1   2   1.9e-09   7.5e-07   25.9   2.1   192   318   111   234    97   253 0.80 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 4120at5820           -            764   7.5e-07   25.9   2.1   2   2      0.18        71   -0.5   0.2   417   445   374   402   356   418 0.82 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 4120at5820           -            764   1.3e-06   25.1   3.5   1   2      0.12        46    0.1   0.0   193   211   186   204   131   215 0.89 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 4120at5820           -            764   1.3e-06   25.1   3.5   2   2   9.6e-09   3.8e-06   23.5   2.0   242   348   313   425   274   435 0.86 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 4120at5820           -            764     7e-06   22.7   0.4   1   1     3e-08   1.2e-05   21.9   0.4   194   316    29   152    16   167 0.86 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100600.1-p1      -            775 4120at5820           -            764   1.1e-05   22.0   0.1   1   1   4.7e-08   1.9e-05   21.3   0.1   194   317    45   177    37   182 0.80 | transcript=PVX_100600.1 | gene=PVX_100600 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr14:2213074-2215401(-) | protein_length=775 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 4120at5820           -            764   1.7e-05   21.4   2.4   1   2   5.1e-08     2e-05   21.1   0.3   194   317    76   200    67   206 0.75 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 4120at5820           -            764   1.7e-05   21.4   2.4   2   2      0.19        76   -0.6   0.1   416   456   279   320   271   328 0.87 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 4120at5820           -            764   0.00012   18.6   0.1   1   2   6.8e-06    0.0027   14.1   0.0   255   335    94   174     3   190 0.80 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 4120at5820           -            764   0.00012   18.6   0.1   2   2     0.046        18    1.5   0.0   652   730   735   809   713   822 0.82 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113805.1-p1      -            215 4120at5820           -            764    0.0049   13.3   2.8   1   1   1.4e-05    0.0056   13.1   2.8    36   108    43   115    34   157 0.72 | transcript=PVX_113805.1 | gene=PVX_113805 | organism=Plasmodium_vivax_Sal-1 | gene_product=50S ribosomal protein L18, putative | transcript_product=50S ribosomal protein L18, putative | location=Pv_Sal1_chr11:1494354-1495194(-) | protein_length=215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4120at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4120at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4120at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:15 2026
# [ok]
