#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117895.1-p1      -            177 12402at5820          -            157  1.5e-105  347.9  12.4   1   1  4.7e-108  1.7e-105  347.7  12.4     1   157     8   164     8   164 1.00 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091755.1-p1      -           1607 12402at5820          -            157     3e-07   28.5   1.1   2   2   8.1e-10     3e-07   28.5   1.1    18   121  1463  1566  1451  1603 0.74 | transcript=PVX_091755.1 | gene=PVX_091755 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=Pv_Sal1_chr09:791696-797498(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 12402at5820          -            157   8.1e-07   27.1   5.0   1   1   2.8e-09     1e-06   26.8   5.0    18   156    14   151     3   152 0.84 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091105.1-p1      -            344 12402at5820          -            157   9.6e-06   23.6  11.7   1   2    0.0013      0.47    8.4   0.5    95   154    67   121    43   124 0.75 | transcript=PVX_091105.1 | gene=PVX_091105 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=Pv_Sal1_chr09:266688-267722(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091105.1-p1      -            344 12402at5820          -            157   9.6e-06   23.6  11.7   2   2   5.9e-07   0.00022   19.2   5.0    17   115   134   237   125   258 0.78 | transcript=PVX_091105.1 | gene=PVX_091105 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=Pv_Sal1_chr09:266688-267722(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 12402at5820          -            157   7.6e-05   20.7   8.6   1   2       2.3   8.4e+02   -2.2   0.1    17    45    96   124    92   141 0.80 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 12402at5820          -            157   7.6e-05   20.7   8.6   2   2   4.4e-07   0.00016   19.7   5.0    15   157   373   523   359   523 0.72 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 12402at5820          -            157   0.00023   19.2   0.6   1   1   1.4e-06   0.00053   18.0   0.6    56   116    66   125     9   137 0.71 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081270.1-p1      -           1508 12402at5820          -            157    0.0014   16.6   0.3   1   2   1.6e-05    0.0058   14.6   0.1     7    96    17   107    12   120 0.78 | transcript=PVX_081270.1 | gene=PVX_081270 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr02:212662-218447(-) | protein_length=1508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081270.1-p1      -           1508 12402at5820          -            157    0.0014   16.6   0.3   2   2       2.3   8.7e+02   -2.2   0.0   115   131  1152  1168  1141  1180 0.81 | transcript=PVX_081270.1 | gene=PVX_081270 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=Pv_Sal1_chr02:212662-218447(-) | protein_length=1508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 12402at5820          -            157    0.0023   15.9   6.9   1   1   4.2e-05     0.015   13.2   6.9    21   156   377   516   358   517 0.69 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12402at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12402at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12402at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:44 2026
# [ok]
