#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117605.1-p1      -            104 14627at5820          -             88   2.8e-59  195.8   0.8   1   1   7.6e-62   3.2e-59  195.6   0.8     1    88    15   103    15   103 0.98 | transcript=PVX_117605.1 | gene=PVX_117605 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=Pv_Sal1_chr12:1999403-1999851(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 14627at5820          -             88   3.9e-05   22.2   0.6   1   1   2.7e-07   0.00012   20.7   0.6     7    76   203   274   197   286 0.83 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083515.1-p1      -            209 14627at5820          -             88   6.5e-05   21.5   0.4   1   1   2.8e-07   0.00012   20.6   0.4     9    69    50   111    43   134 0.88 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116850.1-p1      -            543 14627at5820          -             88   0.00048   18.7   4.7   1   3      0.13        55    2.5   0.1    13    76    54   120    42   125 0.67 | transcript=PVX_116850.1 | gene=PVX_116850 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr12:1336041-1338216(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116850.1-p1      -            543 14627at5820          -             88   0.00048   18.7   4.7   2   3       1.5   6.3e+02   -0.9   0.0    28    51   307   327   305   343 0.71 | transcript=PVX_116850.1 | gene=PVX_116850 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr12:1336041-1338216(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116850.1-p1      -            543 14627at5820          -             88   0.00048   18.7   4.7   3   3   1.1e-05    0.0045   15.6   0.3     6    33   422   449   418   492 0.86 | transcript=PVX_116850.1 | gene=PVX_116850 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr12:1336041-1338216(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094525.1-p1      -            193 14627at5820          -             88    0.0012   17.4   0.1   1   1   5.4e-06    0.0023   16.5   0.1     9    71    96   158    83   175 0.83 | transcript=PVX_094525.1 | gene=PVX_094525 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosducin-like protein, putative | transcript_product=phosducin-like protein, putative | location=Pv_Sal1_chr08:307736-308317(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091990.1-p1      -            424 14627at5820          -             88    0.0073   14.9   0.4   1   1   5.5e-05     0.023   13.3   0.4     3    67    44   115    42   136 0.77 | transcript=PVX_091990.1 | gene=PVX_091990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1002227-1005747(+) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 14627at5820          -             88      0.38    9.4   6.0   1   4      0.34   1.5e+02    1.1   0.1     8    62    63   118    57   126 0.78 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 14627at5820          -             88      0.38    9.4   6.0   2   4       1.5   6.4e+02   -0.9   0.0    27    48   144   166   139   199 0.65 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 14627at5820          -             88      0.38    9.4   6.0   3   4   0.00094       0.4    9.3   0.1    34    74   202   242   187   247 0.80 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 14627at5820          -             88      0.38    9.4   6.0   4   4       6.2   2.6e+03   -2.9   0.0    33    46   371   384   355   396 0.54 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14627at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14627at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14627at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:58 2026
# [ok]
