#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094730.1-p1      -           1756 1570at5820           -           1063         0 1814.3 132.1   1   9  9.2e-104  7.3e-101  336.9  23.1     1   197     1   207     1   211 0.95 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1570at5820           -           1063   4.5e-45  152.1  87.3   3   8         7   5.5e+03   -7.7   7.1   216   255   490   529   403   595 0.51 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1570at5820           -           1063   4.5e-45  152.1  87.3   4   8   4.4e-15   3.4e-12   43.3  16.4    81   380  1484  1808  1481  1823 0.67 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1570at5820           -           1063   4.5e-45  152.1  87.3   5   8   1.2e-07   9.4e-05   18.7   1.5   470   521  1797  1846  1793  1853 0.72 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1570at5820           -           1063   4.5e-45  152.1  87.3   6   8   1.7e-29   1.3e-26   91.0   0.3   574   702  2110  2232  2087  2237 0.89 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1570at5820           -           1063   4.5e-45  152.1  87.3   7   8   4.5e-12   3.6e-09   33.3   0.5   775   895  2259  2383  2236  2390 0.76 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1570at5820           -           1063   4.5e-45  152.1  87.3   8   8   3.8e-08     3e-05   20.3   0.7   891   936  2446  2491  2425  2504 0.84 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094465.1-p1      -           1539 1570at5820           -           1063   8.2e-36  121.5   2.4   1   3   3.6e-06    0.0028   13.8   0.0   325   362   816   852   796   857 0.85 | transcript=PVX_094465.1 | gene=PVX_094465 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of nonsense transcripts, putative | transcript_product=regulator of nonsense transcripts, putative | location=Pv_Sal1_chr08:268169-272788(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094465.1-p1      -           1539 1570at5820           -           1063   8.2e-36  121.5   2.4   2   3   2.2e-21   1.7e-18   64.1   0.0   494   697   856  1069   851  1077 0.76 | transcript=PVX_094465.1 | gene=PVX_094465 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of nonsense transcripts, putative | transcript_product=regulator of nonsense transcripts, putative | location=Pv_Sal1_chr08:268169-272788(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094465.1-p1      -           1539 1570at5820           -           1063   8.2e-36  121.5   2.4   3   3   1.7e-14   1.4e-11   41.3   0.2   815   928  1138  1232  1134  1268 0.78 | transcript=PVX_094465.1 | gene=PVX_094465 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of nonsense transcripts, putative | transcript_product=regulator of nonsense transcripts, putative | location=Pv_Sal1_chr08:268169-272788(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091010.1-p1      -           1089 1570at5820           -           1063   3.8e-33  112.7  21.6   1   4   6.1e-05     0.048    9.7   0.0   328   366   401   439   394   441 0.91 | transcript=PVX_091010.1 | gene=PVX_091010 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:166681-169950(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091010.1-p1      -           1089 1570at5820           -           1063   3.8e-33  112.7  21.6   2   4   0.00046      0.36    6.8   0.1   498   523   442   467   437   473 0.88 | transcript=PVX_091010.1 | gene=PVX_091010 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:166681-169950(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091010.1-p1      -           1089 1570at5820           -           1063   3.8e-33  112.7  21.6   3   4   8.6e-22   6.8e-19   65.5   7.5   564   707   547   691   537   701 0.84 | transcript=PVX_091010.1 | gene=PVX_091010 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:166681-169950(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091010.1-p1      -           1089 1570at5820           -           1063   3.8e-33  112.7  21.6   4   4   1.2e-12   9.1e-10   35.2   2.9   808   926   956  1058   916  1084 0.77 | transcript=PVX_091010.1 | gene=PVX_091010 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:166681-169950(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087715.1-p1      -           2329 1570at5820           -           1063   6.9e-27   91.9   8.2   1   5       2.9   2.3e+03   -5.8   7.4   938  1000    68   130    31   147 0.67 | transcript=PVX_087715.1 | gene=PVX_087715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:56108-63097(+) | protein_length=2329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087715.1-p1      -           2329 1570at5820           -           1063   6.9e-27   91.9   8.2   2   5         7   5.5e+03  -12.2   8.9   384   450   365   427   352   466 0.50 | transcript=PVX_087715.1 | gene=PVX_087715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:56108-63097(+) | protein_length=2329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087715.1-p1      -           2329 1570at5820           -           1063   6.9e-27   91.9   8.2   3   5   5.3e-05     0.042    9.9   0.0   338   365  1832  1859  1821  1871 0.81 | transcript=PVX_087715.1 | gene=PVX_087715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:56108-63097(+) | protein_length=2329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087715.1-p1      -           2329 1570at5820           -           1063   6.9e-27   91.9   8.2   4   5     1e-22   8.1e-20   68.5   0.3   539   700  1894  2059  1861  2064 0.73 | transcript=PVX_087715.1 | gene=PVX_087715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:56108-63097(+) | protein_length=2329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087715.1-p1      -           2329 1570at5820           -           1063   6.9e-27   91.9   8.2   5   5   3.6e-13   2.9e-10   36.9   2.8   799  1012  2116  2300  2061  2323 0.65 | transcript=PVX_087715.1 | gene=PVX_087715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:56108-63097(+) | protein_length=2329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100660.1-p1      -           1889 1570at5820           -           1063     1e-11   41.7   9.3   1   5      0.16   1.3e+02   -1.7   0.0   499   519  1315  1335  1298  1340 0.83 | transcript=PVX_100660.1 | gene=PVX_100660 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2279366-2285035(+) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100660.1-p1      -           1889 1570at5820           -           1063     1e-11   41.7   9.3   2   5   7.5e-05     0.059    9.4   0.5   567   663  1431  1525  1420  1532 0.83 | transcript=PVX_100660.1 | gene=PVX_100660 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2279366-2285035(+) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100660.1-p1      -           1889 1570at5820           -           1063     1e-11   41.7   9.3   3   5    0.0077       6.1    2.7   0.1   674   702  1648  1676  1643  1694 0.88 | transcript=PVX_100660.1 | gene=PVX_100660 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2279366-2285035(+) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100660.1-p1      -           1889 1570at5820           -           1063     1e-11   41.7   9.3   4   5   1.6e-07   0.00013   18.2   0.0   815   872  1739  1791  1732  1796 0.85 | transcript=PVX_100660.1 | gene=PVX_100660 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2279366-2285035(+) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100660.1-p1      -           1889 1570at5820           -           1063     1e-11   41.7   9.3   5   5   6.1e-06    0.0048   13.0   0.0   890   934  1838  1882  1828  1888 0.88 | transcript=PVX_100660.1 | gene=PVX_100660 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2279366-2285035(+) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082625.1-p1      -           1256 1570at5820           -           1063   1.5e-09   34.5  27.5   1   5       1.3     1e+03   -4.6   1.8   941   983    16    56    14    73 0.66 | transcript=PVX_082625.1 | gene=PVX_082625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:793837-797804(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082625.1-p1      -           1256 1570at5820           -           1063   1.5e-09   34.5  27.5   2   5    0.0068       5.4    2.9   0.0   324   371   638   685   598   698 0.73 | transcript=PVX_082625.1 | gene=PVX_082625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:793837-797804(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082625.1-p1      -           1256 1570at5820           -           1063   1.5e-09   34.5  27.5   3   5   1.1e-08     9e-06   22.0   6.1   601   702   741   840   697   849 0.85 | transcript=PVX_082625.1 | gene=PVX_082625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:793837-797804(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082625.1-p1      -           1256 1570at5820           -           1063   1.5e-09   34.5  27.5   4   5   0.00025       0.2    7.6   0.0   777   835   928   978   879   989 0.86 | transcript=PVX_082625.1 | gene=PVX_082625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:793837-797804(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082625.1-p1      -           1256 1570at5820           -           1063   1.5e-09   34.5  27.5   5   5   1.7e-06    0.0014   14.8   1.8   851   934  1167  1236  1158  1244 0.85 | transcript=PVX_082625.1 | gene=PVX_082625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:793837-797804(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1570at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1570at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1570at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:32 2026
# [ok]
