#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091420.1-p1      -            240 11393at5820          -            175  3.9e-105  347.8   7.6   1   1  1.3e-107    5e-105  347.5   7.6    13   174    78   239    71   240 0.98 | transcript=PVX_091420.1 | gene=PVX_091420 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:504403-505606(+) | protein_length=240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080355.1-p1      -           1421 11393at5820          -            175   0.00069   18.1  10.1   1   4     0.087        34    2.8   0.0   129   166   343   379   324   387 0.83 | transcript=PVX_080355.1 | gene=PVX_080355 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:600313-604578(+) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080355.1-p1      -           1421 11393at5820          -            175   0.00069   18.1  10.1   2   4    0.0064       2.5    6.5   0.0    72   103   815   846   808   869 0.86 | transcript=PVX_080355.1 | gene=PVX_080355 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:600313-604578(+) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080355.1-p1      -           1421 11393at5820          -            175   0.00069   18.1  10.1   3   4       2.8   1.1e+03   -2.1   0.1    41    83   959  1003   946  1027 0.64 | transcript=PVX_080355.1 | gene=PVX_080355 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:600313-604578(+) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080355.1-p1      -           1421 11393at5820          -            175   0.00069   18.1  10.1   4   4    0.0005       0.2   10.1   2.8    48    95  1044  1093  1033  1111 0.82 | transcript=PVX_080355.1 | gene=PVX_080355 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:600313-604578(+) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085085.1-p1      -            853 11393at5820          -            175    0.0013   17.2   0.6   1   1   6.3e-06    0.0025   16.3   0.6    66   108    59   101    24   121 0.70 | transcript=PVX_085085.1 | gene=PVX_085085 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr13:896824-899385(+) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092760.1-p1      -           1916 11393at5820          -            175    0.0043   15.5   0.4   1   1     3e-05     0.012   14.1   0.4    90   168  1781  1866  1770  1874 0.68 | transcript=PVX_092760.1 | gene=PVX_092760 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1700267-1706017(-) | protein_length=1916 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122680.1-p1      -           2566 11393at5820          -            175    0.0068   14.9   0.2   1   1   4.2e-05     0.017   13.6   0.2    63   120  1275  1330  1271  1336 0.88 | transcript=PVX_122680.1 | gene=PVX_122680 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:785708-793408(+) | protein_length=2566 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093635.1-p1      -           2584 11393at5820          -            175    0.0093   14.4   0.0   1   1   4.5e-05     0.018   13.5   0.0   124   168  2529  2573  2515  2584 0.71 | transcript=PVX_093635.1 | gene=PVX_093635 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr01:703021-710913(+) | protein_length=2584 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113825.1-p1      -           3996 11393at5820          -            175     0.065   11.7  10.0   1   4       9.3   3.7e+03   -3.8   0.1    31    67  2257  2294  2248  2295 0.78 | transcript=PVX_113825.1 | gene=PVX_113825 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1463179-1475169(-) | protein_length=3996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113825.1-p1      -           3996 11393at5820          -            175     0.065   11.7  10.0   2   4    0.0046       1.8    7.0   0.2   127   167  2811  2851  2788  2865 0.69 | transcript=PVX_113825.1 | gene=PVX_113825 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1463179-1475169(-) | protein_length=3996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113825.1-p1      -           3996 11393at5820          -            175     0.065   11.7  10.0   3   4    0.0011      0.44    9.0   1.1    64   118  3375  3433  3356  3448 0.79 | transcript=PVX_113825.1 | gene=PVX_113825 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1463179-1475169(-) | protein_length=3996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113825.1-p1      -           3996 11393at5820          -            175     0.065   11.7  10.0   4   4         2   8.1e+02   -1.6   0.0   123   169  3918  3965  3904  3970 0.68 | transcript=PVX_113825.1 | gene=PVX_113825 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1463179-1475169(-) | protein_length=3996 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 11393at5820          -            175      0.07   11.6  17.4   1   4   0.00064      0.25    9.8   0.0   123   171   189   237   141   243 0.84 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 11393at5820          -            175      0.07   11.6  17.4   2   4    0.0004      0.16   10.4   0.3    64   111   286   333   276   352 0.72 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 11393at5820          -            175      0.07   11.6  17.4   3   4       4.3   1.7e+03   -2.7   0.1    85   129  1980  2024  1968  2031 0.79 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 11393at5820          -            175      0.07   11.6  17.4   4   4      0.16        63    2.0   0.2   112   174  2514  2572  2498  2573 0.83 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113370.1-p1      -           1939 11393at5820          -            175     0.075   11.5   4.0   1   2    0.0014      0.55    8.7   0.5    72   112   104   144    91   177 0.84 | transcript=PVX_113370.1 | gene=PVX_113370 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1863442-1869261(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113370.1-p1      -           1939 11393at5820          -            175     0.075   11.5   4.0   2   2     0.053        21    3.5   0.2    70   108   178   216   171   222 0.87 | transcript=PVX_113370.1 | gene=PVX_113370 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr11:1863442-1869261(+) | protein_length=1939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11393at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11393at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11393at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:20 2026
# [ok]
