#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095285.1-p1      -           1707 555at5820            -           1342         0 2685.8  68.6   1   5  4.9e-156  4.5e-153  509.9   8.9     1   252    10   270    10   275 0.97 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 555at5820            -           1342   4.1e-64  215.2  69.6   2   6      0.12   1.1e+02   -1.6   2.8   180   237   326   382   275   392 0.73 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 555at5820            -           1342   4.1e-64  215.2  69.6   3   6   6.6e-11   6.1e-08   29.1   9.8   255   468   624   816   612   827 0.75 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 555at5820            -           1342   4.1e-64  215.2  69.6   4   6     0.032        29    0.3   0.0   540   582  1123  1164  1098  1168 0.77 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 555at5820            -           1342   4.1e-64  215.2  69.6   5   6   4.7e-27   4.3e-24   82.6   6.0   633   801  1166  1335  1150  1358 0.88 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 555at5820            -           1342   4.1e-64  215.2  69.6   6   6   3.2e-20   2.9e-17   59.9   3.4   907  1084  1368  1545  1362  1550 0.81 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 555at5820            -           1342   1.3e-12   44.5   8.4   1   4   0.00024      0.22    7.3   0.0   393   426   336   369   330   381 0.87 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 555at5820            -           1342   1.3e-12   44.5   8.4   2   4      0.12   1.1e+02   -1.6   0.1   597   634   506   543   495   557 0.87 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 555at5820            -           1342   1.3e-12   44.5   8.4   3   4   3.2e-12   2.9e-09   33.4   0.2   638   792   635   788   631   795 0.82 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 555at5820            -           1342   1.3e-12   44.5   8.4   4   4   0.00045      0.42    6.4   0.1   923   992   851   918   844   959 0.75 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 555at5820            -           1342   1.7e-05   20.9   0.4   1   3      0.02        19    0.9   0.0   402   430   522   550   388   560 0.83 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 555at5820            -           1342   1.7e-05   20.9   0.4   2   3     5e-07   0.00046   16.2   0.0   695   793   780   877   760   888 0.84 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 555at5820            -           1342   1.7e-05   20.9   0.4   3   3     0.079        73   -1.0   0.1   925   982   926   983   921   999 0.75 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/555at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/555at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/555at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:19 2026
# [ok]
