#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094560.1-p1      -            615 5653at5820           -            431  4.1e-227  752.7  55.1   1   4   7.6e-26   3.8e-23   80.6   2.2     1    66     5    77     5    80 0.92 | transcript=PVX_094560.1 | gene=PVX_094560 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr08:333387-335436(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 5653at5820           -            431       2.5    5.5   6.7   2   2    0.0013      0.64    7.4   2.3   392   423   106   139    92   144 0.83 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5653at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5653at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5653at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:44 2026
# [ok]
