#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098022.1-p1      -            359 9024at5820           -            280    1e-140  466.4  26.4   1   2   1.1e-81   5.1e-79  264.0  14.7     1   151    12   163    12   171 0.97 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124035.1-p1      -            438 9024at5820           -            280   1.4e-09   36.2  14.1   1   2   1.6e-10   7.2e-08   30.6  13.0    14   110    12   109     3   113 0.83 | transcript=PVX_124035.1 | gene=PVX_124035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1990626-1992189(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124035.1-p1      -            438 9024at5820           -            280   1.4e-09   36.2  14.1   2   2     0.007       3.2    5.5   0.0   189   255   111   179   103   200 0.73 | transcript=PVX_124035.1 | gene=PVX_124035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1990626-1992189(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089240.1-p1      -            198 9024at5820           -            280   2.3e-09   35.5   7.5   1   1   7.2e-12   3.3e-09   35.0   7.5    31   148    37   158     7   192 0.74 | transcript=PVX_089240.1 | gene=PVX_089240 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=Pv_Sal1_chr05:408745-410298(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117875.1-p1      -            361 9024at5820           -            280   2.5e-09   35.4  38.9   1   2   5.3e-06    0.0024   15.7  16.5    64   148    32   115    16   118 0.61 | transcript=PVX_117875.1 | gene=PVX_117875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2212611-2213696(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117875.1-p1      -            361 9024at5820           -            280   2.5e-09   35.4  38.9   2   2   1.5e-08   6.8e-06   24.1  14.1    38   190   116   267   115   273 0.76 | transcript=PVX_117875.1 | gene=PVX_117875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2212611-2213696(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115445.1-p1      -            176 9024at5820           -            280   8.9e-08   30.3  18.2   1   3   8.3e-08   3.8e-05   21.6  11.2    57   147     8   100     2   107 0.87 | transcript=PVX_115445.1 | gene=PVX_115445 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=Pv_Sal1_chr11:55010-56353(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115445.1-p1      -            176 9024at5820           -            280   8.9e-08   30.3  18.2   2   3   0.00021     0.095   10.5   2.4    42    84    84   129    79   131 0.81 | transcript=PVX_115445.1 | gene=PVX_115445 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=Pv_Sal1_chr11:55010-56353(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115445.1-p1      -            176 9024at5820           -            280   8.9e-08   30.3  18.2   3   3   9.2e-05     0.042   11.6   0.9   191   245   110   163   105   172 0.79 | transcript=PVX_115445.1 | gene=PVX_115445 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=Pv_Sal1_chr11:55010-56353(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 9024at5820           -            280   1.6e-05   22.9   6.9   1   2   7.6e-05     0.035   11.9   0.2    91   146   162   217   150   223 0.92 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 9024at5820           -            280   1.6e-05   22.9   6.9   2   2   2.7e-05     0.013   13.4   1.8    67   120   273   331   267   339 0.83 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 9024at5820           -            280   4.3e-05   21.5   3.9   1   2   9.4e-08   4.3e-05   21.5   3.9    59   146    49   142    22   174 0.69 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 9024at5820           -            280   4.3e-05   21.5   3.9   2   2      0.61   2.8e+02   -0.9   2.1   124   164   221   261   213   279 0.70 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9024at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9024at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9024at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:34 2026
# [ok]
