#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5   1  12     2e-26   2.7e-23   79.2   0.7     1    70     1    84     1    89 0.88 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5  12  12  8.8e-299  1.2e-295  982.5  24.4  1667  2204  2688  3243  2662  3243 0.95 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 230at5820            -           2204   1.7e-29   99.8  12.2   1   3   7.9e-12   1.1e-08   30.8   1.0  1413  1549    33   163    12   169 0.76 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 230at5820            -           2204   1.7e-29   99.8  12.2   2   3   4.4e-13   6.1e-10   34.9   0.8  1081  1198   165   281   148   334 0.70 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 230at5820            -           2204   1.7e-29   99.8  12.2   3   3   5.2e-15   7.3e-12   41.3   0.2  1088  1208   411   533   400   584 0.86 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123785.1-p1      -            440 230at5820            -           2204   1.3e-24   83.5   6.4   1   2   1.9e-11   2.7e-08   29.5   1.3  2043  2136   179   270   158   277 0.86 | transcript=PVX_123785.1 | gene=PVX_123785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CAMP-dependent protein kinase regulatory subunit, putative | transcript_product=CAMP-dependent protein kinase regulatory subunit, putative | location=Pv_Sal1_chr14:1775855-1778127(-) | protein_length=440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123785.1-p1      -            440 230at5820            -           2204   1.3e-24   83.5   6.4   2   2   1.4e-19     2e-16   56.4   0.3  2017  2175   278   426   272   436 0.90 | transcript=PVX_123785.1 | gene=PVX_123785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CAMP-dependent protein kinase regulatory subunit, putative | transcript_product=CAMP-dependent protein kinase regulatory subunit, putative | location=Pv_Sal1_chr14:1775855-1778127(-) | protein_length=440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 230at5820            -           2204   0.00014   17.2   0.3   1   2     0.029        40   -1.0   0.1   459   506    16    64     3    75 0.71 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 230at5820            -           2204   0.00014   17.2   0.3   2   2   9.8e-08   0.00014   17.2   0.3  1712  1756    80   123    72   140 0.79 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/230at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/230at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/230at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:09 2026
# [ok]
