#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8   1  14   3.8e-72   2.1e-68  229.2   4.1     1   137     1   140     1   149 0.95 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8  12  14   5.2e-82   2.9e-78  261.9   4.3  1009  1177  1756  1952  1753  1967 0.86 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8  13  14   4.2e-13   2.3e-09   33.5   0.0  1171  1202  1978  2009  1972  2013 0.92 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8  14  14  2.4e-151  1.3e-147  491.7  18.8  1202  1467  2082  2347  2078  2347 0.99 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2776at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2776at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2776at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:46 2026
# [ok]
