#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8   1  13         0         0 2378.6 212.7     1  1268     4  1330     4  1339 0.97 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8  12  13  3.6e-119  3.3e-116  386.8  19.3  4084  4285  5572  5773  5544  5777 0.94 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8  13  13  2.9e-297  2.6e-294  978.0  41.1  4289  4792  5876  6397  5866  6397 0.97 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 17at5820             -           4792  1.9e-165  550.2 281.0   1  10         6   5.5e+03  -24.2  32.0    32   353    52   382    40   402 0.60 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 17at5820             -           4792  1.9e-165  550.2 281.0   2  10         6   5.5e+03  -10.7   7.7   535   608   482   557   427   613 0.54 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 17at5820             -           4792  1.9e-165  550.2 281.0   3  10         6   5.5e+03  -30.1  32.0   688  1017   763  1102   703  1127 0.57 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 17at5820             -           4792  1.9e-165  550.2 281.0   4  10   1.1e-12   9.8e-10   33.3  54.3  1135  1578  1373  1860  1337  1866 0.71 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 17at5820             -           4792  1.9e-165  550.2 281.0   5  10   1.9e-42   1.7e-39  132.1  29.0  1616  2074  1955  2386  1929  2401 0.86 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 17at5820             -           4792  1.9e-165  550.2 281.0   6  10   3.6e-27   3.3e-24   81.4   8.6  2213  2395  2519  2708  2472  2714 0.91 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 17at5820             -           4792  1.9e-165  550.2 281.0   7  10   9.6e-20   8.9e-17   56.7  39.8  2626  3234  2941  3548  2936  3564 0.74 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 17at5820             -           4792  1.9e-165  550.2 281.0   8  10   1.2e-42   1.1e-39  132.8  48.7  3309  3794  3585  4075  3548  4105 0.92 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 17at5820             -           4792  1.9e-165  550.2 281.0   9  10   6.7e-11   6.2e-08   27.4  12.4  3859  4006  4265  4413  4249  4420 0.84 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 17at5820             -           4792  1.9e-165  550.2 281.0  10  10   2.6e-60   2.4e-57  191.4  40.1  4055  4758  4513  5241  4499  5270 0.82 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 17at5820             -           4792  8.7e-162  538.1 245.2   1  10    0.0026       2.4    2.2  20.1   157   325   244   418   225   429 0.68 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 17at5820             -           4792  8.7e-162  538.1 245.2   2  10         6   5.5e+03  -10.3  19.2   356   506   617   777   578   842 0.74 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 17at5820             -           4792  8.7e-162  538.1 245.2   3  10         6   5.5e+03  -38.9  43.5   611   854  1038  1280   972  1476 0.44 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 17at5820             -           4792  8.7e-162  538.1 245.2   4  10         6   5.5e+03  -35.4  47.2   962  1160  1596  1806  1551  1987 0.44 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 17at5820             -           4792  8.7e-162  538.1 245.2   5  10   3.9e-57   3.6e-54  180.8  62.3  1351  2139  2073  2852  2054  2860 0.81 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 17at5820             -           4792  8.7e-162  538.1 245.2   6  10   1.2e-26   1.1e-23   79.6   9.2  2211  2408  2863  3070  2851  3076 0.85 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 17at5820             -           4792  8.7e-162  538.1 245.2   7  10   4.7e-13   4.3e-10   34.5  15.2  2662  2955  3389  3689  3358  3701 0.75 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 17at5820             -           4792  8.7e-162  538.1 245.2   8  10   9.1e-56   8.4e-53  176.3  76.7  3311  4068  4132  4908  4016  4914 0.82 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 17at5820             -           4792  8.7e-162  538.1 245.2   9  10   1.5e-33   1.4e-30  102.6  30.4  4129  4548  5066  5489  5045  5506 0.85 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098710.1-p1      -           5861 17at5820             -           4792  8.7e-162  538.1 245.2  10  10   1.9e-18   1.8e-15   52.4  11.5  4551  4757  5603  5828  5596  5861 0.78 | transcript=PVX_098710.1 | gene=PVX_098710 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr07:154973-172558(-) | protein_length=5861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7   1  11         6   5.5e+03  -11.0  21.3   736   881  1054  1202  1050  1219 0.86 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7   2  11   1.6e-09   1.5e-06   22.8  43.5  1294  1574  1214  1517  1192  1523 0.73 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7   3  11   2.1e-43     2e-40  135.2  23.1  1601  2071  1609  2093  1594  2108 0.82 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7   4  11   6.2e-18   5.7e-15   50.7  13.6  2193  2457  2192  2459  2167  2469 0.76 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7   5  11   1.8e-29   1.6e-26   89.0  29.3  2639  2994  2482  2828  2479  2828 0.89 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7   6  11   7.4e-09   6.9e-06   20.6  25.5  3017  3240  2809  3028  2799  3040 0.82 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7   7  11   8.1e-14   7.5e-11   37.0  31.5  3322  3698  3137  3531  3129  3538 0.81 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7   8  11   4.9e-12   4.5e-09   31.1  31.2  3718  4011  3633  3910  3604  3916 0.80 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7   9  11   1.1e-13   9.8e-11   36.7   8.6  4019  4229  4328  4530  4315  4537 0.80 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7  10  11   1.1e-13     1e-10   36.6   8.1  4246  4443  4591  4784  4575  4792 0.80 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091760.1-p1      -           5331 17at5820             -           4792  2.8e-140  466.7 313.7  11  11   3.7e-26   3.4e-23   78.0   5.6  4522  4791  5031  5330  5021  5331 0.81 | transcript=PVX_091760.1 | gene=PVX_091760 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr09:799004-815190(+) | protein_length=5331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 17at5820             -           4792  3.5e-123  409.9 153.1   1   7         6   5.5e+03  -28.8  39.0   148   777   295   940   234   971 0.65 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 17at5820             -           4792  3.5e-123  409.9 153.1   2   7   6.9e-55   6.4e-52  173.4  25.1  1299  2026  1450  2175  1402  2181 0.82 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 17at5820             -           4792  3.5e-123  409.9 153.1   3   7   1.1e-06     0.001   13.3   0.0  2037  2147  2229  2336  2224  2343 0.86 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 17at5820             -           4792  3.5e-123  409.9 153.1   4   7   3.1e-16   2.9e-13   45.1   0.0  2217  2327  2346  2461  2340  2479 0.86 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 17at5820             -           4792  3.5e-123  409.9 153.1   5   7     7e-05     0.065    7.4   0.1  2812  2935  2899  3021  2723  3027 0.76 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 17at5820             -           4792  3.5e-123  409.9 153.1   6   7   5.5e-50     5e-47  157.1  53.2  3019  4007  3051  4003  3036  4022 0.84 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081792.1-p1      -           5031 17at5820             -           4792  3.5e-123  409.9 153.1   7   7   3.8e-20   3.5e-17   58.1   2.9  4156  4472  4220  4552  4213  4589 0.77 | transcript=PVX_081792.1 | gene=PVX_081792 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr02:656130-671435(+) | protein_length=5031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 17at5820             -           4792   2.5e-56  188.0 214.6   1  11         6   5.5e+03  -70.7 174.3   717  1640   347  1263   324  1292 0.63 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 17at5820             -           4792   2.5e-56  188.0 214.6   2  11   0.00055      0.51    4.4  14.1  1647  1750  1351  1447  1343  1451 0.86 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 17at5820             -           4792   2.5e-56  188.0 214.6   3  11     1e-17   9.2e-15   50.0  13.7  1783  1902  1451  1570  1447  1578 0.96 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 17at5820             -           4792   2.5e-56  188.0 214.6   4  11   9.6e-13   8.9e-10   33.5  17.1  1926  2070  1654  1807  1650  1816 0.82 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 17at5820             -           4792   2.5e-56  188.0 214.6   5  11   1.2e-06    0.0011   13.3   9.6  2201  2341  2039  2176  1967  2202 0.85 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000530.1-p1      -           5244 17at5820             -           4792   2.5e-56  188.0 214.6   6  11    0.0012       1.1    3.3  46.7  2639  2938  2611  2917  2578  2952 0.78 | transcript=PVX_000530.1 | gene=PVX_000530 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:496561-514371(-) | protein_length=5244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
