#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092345.1-p1      -           1562 813at5820            -           1226         0 2355.4  76.9   1   3         0         0 1238.7  48.5     1   700    53   847    53   860 0.92 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002755.1-p1      -           1339 813at5820            -           1226  1.1e-106  356.0  19.7   4   5   7.1e-35   1.3e-31  107.3   0.1   918  1012  1079  1173  1064  1177 0.96 | transcript=PVX_002755.1 | gene=PVX_002755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=Pv_Sal1_chr04:241779-245906(-) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002755.1-p1      -           1339 813at5820            -           1226  1.1e-106  356.0  19.7   5   5   5.6e-35     1e-31  107.7   2.6  1044  1214  1178  1334  1171  1339 0.87 | transcript=PVX_002755.1 | gene=PVX_002755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=Pv_Sal1_chr04:241779-245906(-) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/813at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/813at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/813at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:10 2026
# [ok]
