#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111220.1-p1      -           1218 1632at5820           -            958         0 2045.8  27.9   1   4   2.2e-25   1.5e-22   77.6   0.7     1    58     4    69     4    79 0.91 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 1632at5820           -            958  1.4e-122  408.7  16.4   3   5   0.00082      0.56    6.2   0.0   518   544   274   300   267   306 0.91 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 1632at5820           -            958  1.4e-122  408.7  16.4   4   5   5.3e-58   3.6e-55  185.6   0.3   552   764   364   575   355   586 0.97 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 1632at5820           -            958  1.4e-122  408.7  16.4   5   5     8e-19   5.5e-16   55.9   1.7   769   923   625   793   621   801 0.80 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 1632at5820           -            958   3.5e-56  188.9  16.9   1   3   2.7e-45   1.9e-42  143.5   3.5   292   538   416   676   409   686 0.83 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 1632at5820           -            958   3.5e-56  188.9  16.9   2   3   4.9e-18   3.4e-15   53.3   0.3   552   712   925  1101   915  1130 0.85 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 1632at5820           -            958   3.5e-56  188.9  16.9   3   3     0.083        57   -0.4   0.7   859   923  1408  1476  1304  1501 0.80 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 1632at5820           -            958   2.4e-41  139.9  20.3   1   2   7.5e-10   5.2e-07   26.2   0.1   401   467   109   175    97   193 0.85 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 1632at5820           -            958   2.4e-41  139.9  20.3   2   2   1.2e-36   8.1e-34  114.9  16.5   593   922   576   916   553   926 0.85 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 1632at5820           -            958   1.9e-40  136.8  18.3   1   3   2.2e-31   1.5e-28   97.4   2.5   300   489   410   612   400   619 0.84 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 1632at5820           -            958   1.9e-40  136.8  18.3   2   3   5.4e-14   3.8e-11   39.9   1.3   498   680   726   905   695   912 0.76 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 1632at5820           -            958   1.9e-40  136.8  18.3   3   3   9.6e-05     0.066    9.3   0.8   696   763   983  1050   964  1057 0.86 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1632at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1632at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1632at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:47 2026
# [ok]
