#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089425.1-p1      -            690 3994at5820           -            641         0 1477.0  29.4   1   2         0         0 1469.5   6.3     1   634     8   657     8   657 0.99 | transcript=PVX_089425.1 | gene=PVX_089425 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock 70 kDa protein, putative | transcript_product=heat shock 70 kDa protein, putative | location=Pv_Sal1_chr05:541285-543357(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115245.1-p1      -            460 3994at5820           -            641       2.3    4.4  12.4   1   2     5e-06    0.0028   14.1   1.8   606   635    59    88    21    93 0.78 | transcript=PVX_115245.1 | gene=PVX_115245 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNARE associated Golgi protein, putative | transcript_product=SNARE associated Golgi protein, putative | location=Pv_Sal1_chr11:213885-215572(+) | protein_length=460 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115245.1-p1      -            460 3994at5820           -            641       2.3    4.4  12.4   2   2        10   5.5e+03   -7.0   3.3   605   630   130   154   107   162 0.45 | transcript=PVX_115245.1 | gene=PVX_115245 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNARE associated Golgi protein, putative | transcript_product=SNARE associated Golgi protein, putative | location=Pv_Sal1_chr11:213885-215572(+) | protein_length=460 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091685.1-p1      -           1562 3994at5820           -            641       6.2    3.0  14.9   1   2     0.012       6.9    2.9   3.9   605   634  1181  1210  1177  1211 0.72 | transcript=PVX_091685.1 | gene=PVX_091685 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr09:716664-721501(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091685.1-p1      -           1562 3994at5820           -            641       6.2    3.0  14.9   2   2    0.0048       2.6    4.2  11.4   603   634  1191  1222  1186  1241 0.77 | transcript=PVX_091685.1 | gene=PVX_091685 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=Pv_Sal1_chr09:716664-721501(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3994at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3994at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3994at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:49 2026
# [ok]
