#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000995.1-p1      -            384 9330at5820           -            298  1.2e-143  476.2  24.9   1   2   7.7e-66   4.7e-63  211.5  10.6     1   156     1   192     1   194 0.92 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9330at5820           -            298     1e-74  249.8 104.1  10  18   1.8e-09   1.1e-06   26.5   0.1   148   237  1823  1911  1810  1942 0.85 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9330at5820           -            298     1e-74  249.8 104.1  11  18       3.2   1.9e+03   -3.9   0.1   242   275  1976  2009  1964  2021 0.77 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9330at5820           -            298     1e-74  249.8 104.1  12  18     1e-05    0.0064   14.1   0.1    19    58  2088  2130  2082  2161 0.73 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9330at5820           -            298     1e-74  249.8 104.1  13  18      0.71   4.4e+02   -1.8   0.0   218   247  2207  2236  2201  2247 0.86 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9330at5820           -            298     1e-74  249.8 104.1  14  18      0.33     2e+02   -0.7   0.0    98   118  2254  2274  2234  2282 0.83 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9330at5820           -            298     1e-74  249.8 104.1  15  18   7.7e-10   4.8e-07   27.7   1.5   152   231  2282  2362  2276  2424 0.77 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9330at5820           -            298     1e-74  249.8 104.1  16  18      0.35   2.2e+02   -0.8   0.7   105   142  2413  2451  2396  2477 0.64 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9330at5820           -            298     1e-74  249.8 104.1  17  18   0.00013     0.079   10.5   0.1   214   268  2504  2561  2498  2578 0.79 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 9330at5820           -            298     1e-74  249.8 104.1  18  18   4.2e-11   2.6e-08   31.8   4.0   153   277  2578  2709  2565  2722 0.77 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6   1  11     0.013       7.8    4.0   0.1   205   232   276   302   219   348 0.88 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6   2  11   6.6e-06     0.004   14.8   3.8   158   277   501   616   486   628 0.75 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6   3  11     0.013       7.8    4.0   0.1    20    59   653   696   645   706 0.74 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6   4  11   1.1e-06   0.00067   17.3   1.7   150   273   842   967   815   970 0.80 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6   5  11     0.053        33    1.9   0.0    16    59  1027  1075  1016  1106 0.68 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6   6  11     0.076        47    1.4   0.0   222   273  1136  1190  1130  1195 0.74 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6   7  11   6.9e-08   4.3e-05   21.2   9.9   151   230  1198  1279  1191  1335 0.76 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6   8  11       0.3   1.8e+02   -0.5   0.0    20    37  1374  1391  1366  1396 0.81 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6   9  11       0.4   2.5e+02   -1.0   0.0    39    59  1460  1480  1427  1484 0.79 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6  10  11   8.2e-12   5.1e-09   34.1   4.9   156   288  1576  1735  1564  1739 0.69 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 9330at5820           -            298   2.8e-35  120.3  69.6  11  11   2.3e-14   1.4e-11   42.5   6.4   152   286  2046  2183  2035  2187 0.83 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 9330at5820           -            298   1.1e-20   72.4  12.6   1   3   1.6e-06   0.00098   16.8   0.9   168   237    24    94    18   143 0.79 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 9330at5820           -            298   1.1e-20   72.4  12.6   2   3     0.024        15    3.1   0.1    99   133   141   175   131   178 0.69 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113775.1-p1      -            362 9330at5820           -            298   1.1e-20   72.4  12.6   3   3   2.3e-19   1.4e-16   58.9   5.0   136   286   159   317   145   327 0.79 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001025.1-p1      -            353 9330at5820           -            298   1.9e-14   52.0  16.0   1   3    0.0096       5.9    4.4   0.4    35    56    75    96    62   103 0.86 | transcript=PVX_001025.1 | gene=PVX_001025 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:93628-94689(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001025.1-p1      -            353 9330at5820           -            298   1.9e-14   52.0  16.0   2   3      0.01       6.2    4.3   0.3   223   284   121   184   109   195 0.73 | transcript=PVX_001025.1 | gene=PVX_001025 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:93628-94689(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001025.1-p1      -            353 9330at5820           -            298   1.9e-14   52.0  16.0   3   3   1.4e-16   8.5e-14   49.8   4.7   164   277   199   336   183   351 0.78 | transcript=PVX_001025.1 | gene=PVX_001025 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:93628-94689(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001020.1-p1      -            487 9330at5820           -            298   1.6e-11   42.4   7.0   1   1   2.8e-14   1.7e-11   42.2   5.7   155   277   145   285   138   296 0.73 | transcript=PVX_001020.1 | gene=PVX_001020 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:96591-98054(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 9330at5820           -            298   4.6e-11   40.9  12.5   1   3   0.00012     0.074   10.6   2.4    63   128    81   147    24   156 0.65 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 9330at5820           -            298   4.6e-11   40.9  12.5   2   3   1.2e-11   7.5e-09   33.6   1.1   158   230   146   221   137   231 0.79 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097960.1-p1      -            355 9330at5820           -            298   4.6e-11   40.9  12.5   3   3      0.17   1.1e+02    0.3   0.0   261   287   274   300   254   323 0.72 | transcript=PVX_097960.1 | gene=PVX_097960 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr10:1020695-1021762(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001015.1-p1      -            372 9330at5820           -            298   1.1e-08   33.0  12.5   1   2   0.00045      0.27    8.7   2.3   218   290    83   159    20   162 0.74 | transcript=PVX_001015.1 | gene=PVX_001015 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein, putative | transcript_product=6-cysteine protein, putative | location=Pv_Sal1_chr03:99481-100599(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001015.1-p1      -            372 9330at5820           -            298   1.1e-08   33.0  12.5   2   2   1.3e-10   7.9e-08   30.2   3.7   163   277   157   289   154   302 0.69 | transcript=PVX_001015.1 | gene=PVX_001015 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein, putative | transcript_product=6-cysteine protein, putative | location=Pv_Sal1_chr03:99481-100599(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 9330at5820           -            298   1.6e-07   29.2   2.7   1   3   8.2e-07    0.0005   17.7   0.2    35   116    99   191    94   201 0.68 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 9330at5820           -            298   1.6e-07   29.2   2.7   2   3     0.024        15    3.1   0.0   152   177   200   223   193   230 0.78 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113780.1-p1      -            431 9330at5820           -            298   1.6e-07   29.2   2.7   3   3    0.0015      0.94    7.0   0.1   191   246   305   362   286   394 0.71 | transcript=PVX_113780.1 | gene=PVX_113780 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1514325-1515620(+) | protein_length=431 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9330at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9330at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9330at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:42 2026
# [ok]
