#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122675.1-p1      -            955 1924at5820           -            822         0 1773.9  41.2   1   2         0         0 1451.3  29.7     8   657     4   703     2   711 0.97 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 1924at5820           -            822   6.9e-59  198.0  19.9   1   3    0.0043       2.9    4.0   5.5   229   397   265   431   253   470 0.71 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 1924at5820           -            822   6.9e-59  198.0  19.9   2   3   1.1e-54   7.7e-52  174.7   1.5   444   652   822  1031   804  1039 0.95 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084595.1-p1      -           1342 1924at5820           -            822   6.9e-59  198.0  19.9   3   3   3.2e-10   2.2e-07   27.6   0.2   661   730  1158  1230  1141  1275 0.85 | transcript=PVX_084595.1 | gene=PVX_084595 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM8, putative | transcript_product=DNA replication licensing factor MCM8, putative | location=Pv_Sal1_chr13:458048-462749(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1924at5820           -            822   1.7e-35  120.6   3.4   1   6       2.9     2e+03   -5.4   3.5   166   206    32    72    24    80 0.84 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1924at5820           -            822   1.7e-35  120.6   3.4   2   6       2.3   1.6e+03   -5.0   1.9   207   259   301   359   278   384 0.63 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1924at5820           -            822   1.7e-35  120.6   3.4   3   6     0.035        24    1.0   0.3   302   389   491   574   469   598 0.76 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1924at5820           -            822   1.7e-35  120.6   3.4   4   6     0.047        33    0.6   0.0   447   479   723   755   687   768 0.85 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1924at5820           -            822   1.7e-35  120.6   3.4   5   6   1.4e-35   9.3e-33  111.5   1.5   485   649   877  1042   865  1051 0.86 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089905.1-p1      -           1310 1924at5820           -            822   1.7e-35  120.6   3.4   6   6   1.9e-07   0.00013   18.4   0.0   660   736  1149  1224  1129  1234 0.83 | transcript=PVX_089905.1 | gene=PVX_089905 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=Pv_Sal1_chr05:926346-930278(-) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1924at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1924at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1924at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:23 2026
# [ok]
