#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100990.1-p1      -            862 5119at5820           -            616         0 1014.5  46.3   1   4  9.4e-138  1.5e-135  450.9   2.2     8   263    68   324    56   329 0.92 | transcript=PVX_100990.1 | gene=PVX_100990 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2567525-2570113(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117030.1-p1      -            398 5119at5820           -            616   1.7e-35  120.5   0.7   2   2   8.3e-15   1.4e-12   44.9   0.0   374   436   321   383   318   395 0.87 | transcript=PVX_117030.1 | gene=PVX_117030 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr12:1473842-1475384(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 5119at5820           -            616   1.9e-34  117.0   4.6   1   2   5.3e-26   8.7e-24   81.8   1.9    32   305    46   309    14   353 0.77 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 5119at5820           -            616   1.9e-34  117.0   4.6   2   2   4.6e-12   7.4e-10   35.8   0.0   374   422   356   405   352   416 0.90 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111150.1-p1      -           1015 5119at5820           -            616   5.7e-30  102.2   2.6   1   2   1.6e-21   2.7e-19   67.0   1.0    63   264   645   853   640   898 0.84 | transcript=PVX_111150.1 | gene=PVX_111150 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:681635-685749(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111150.1-p1      -           1015 5119at5820           -            616   5.7e-30  102.2   2.6   2   2   1.1e-11   1.8e-09   34.5   0.0   375   431   941   999   910  1007 0.83 | transcript=PVX_111150.1 | gene=PVX_111150 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:681635-685749(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123240.1-p1      -            923 5119at5820           -            616   3.5e-29   99.6  15.2   1   2   1.6e-18   2.7e-16   57.1  11.0    42   317   338   647   299   659 0.72 | transcript=PVX_123240.1 | gene=PVX_123240 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr14:1263307-1266078(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123240.1-p1      -            923 5119at5820           -            616   3.5e-29   99.6  15.2   2   2   7.7e-15   1.2e-12   45.0   0.3   334   436   637   746   634   766 0.76 | transcript=PVX_123240.1 | gene=PVX_123240 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr14:1263307-1266078(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089015.1-p1      -           1181 5119at5820           -            616   1.3e-28   97.8  18.9   1   2   7.9e-31   1.3e-28   97.8  18.9    54   419   178   520   151   528 0.78 | transcript=PVX_089015.1 | gene=PVX_089015 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=Pv_Sal1_chr05:224462-228007(+) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089015.1-p1      -           1181 5119at5820           -            616   1.3e-28   97.8  18.9   2   2       1.6   2.5e+02   -2.3   1.7   534   609   955  1035   916  1045 0.66 | transcript=PVX_089015.1 | gene=PVX_089015 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=Pv_Sal1_chr05:224462-228007(+) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118230.1-p1      -            791 5119at5820           -            616   2.3e-28   97.0  18.5   1   2   2.5e-24   4.1e-22   76.3   8.6    58   242   255   451   195   472 0.74 | transcript=PVX_118230.1 | gene=PVX_118230 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2519590-2522382(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118230.1-p1      -            791 5119at5820           -            616   2.3e-28   97.0  18.5   2   2   6.6e-09   1.1e-06   25.4   2.2   375   448   633   708   610   755 0.72 | transcript=PVX_118230.1 | gene=PVX_118230 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2519590-2522382(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082565.1-p1      -            489 5119at5820           -            616     3e-28   96.6   2.8   1   3       1.6   2.6e+02   -2.3   0.1   569   603    13    47     7    53 0.69 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082565.1-p1      -            489 5119at5820           -            616     3e-28   96.6   2.8   2   3   1.7e-16   2.8e-14   50.4   0.0    62   310    77   330    69   346 0.75 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082565.1-p1      -            489 5119at5820           -            616     3e-28   96.6   2.8   3   3   3.8e-14   6.1e-12   42.7   0.1   375   427   377   430   373   441 0.86 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085535.1-p1      -            877 5119at5820           -            616   5.1e-28   95.8  36.0   1   2   3.4e-20   5.5e-18   62.7  24.4     7   305    98   393    89   441 0.76 | transcript=PVX_085535.1 | gene=PVX_085535 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1250580-1253375(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085535.1-p1      -            877 5119at5820           -            616   5.1e-28   95.8  36.0   2   2     8e-13   1.3e-10   38.3   3.7   376   473   446   543   441   614 0.71 | transcript=PVX_085535.1 | gene=PVX_085535 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1250580-1253375(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080320.1-p1      -           1006 5119at5820           -            616   1.9e-27   93.9   0.0   1   2   8.8e-15   1.4e-12   44.8   0.0    61   217   599   756   577   810 0.83 | transcript=PVX_080320.1 | gene=PVX_080320 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=Pv_Sal1_chr10:579004-582024(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080320.1-p1      -           1006 5119at5820           -            616   1.9e-27   93.9   0.0   2   2   2.6e-15   4.2e-13   46.5   0.0   358   440   886   978   835   986 0.75 | transcript=PVX_080320.1 | gene=PVX_080320 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=Pv_Sal1_chr10:579004-582024(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122200.1-p1      -            626 5119at5820           -            616   8.6e-27   91.7  15.5   1   2   2.2e-21   3.5e-19   66.6  12.4    52   320   156   430   142   447 0.77 | transcript=PVX_122200.1 | gene=PVX_122200 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:370093-371973(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122200.1-p1      -            626 5119at5820           -            616   8.6e-27   91.7  15.5   2   2   3.9e-09   6.3e-07   26.1   0.0   376   442   464   528   459   548 0.81 | transcript=PVX_122200.1 | gene=PVX_122200 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:370093-371973(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003945.1-p1      -            473 5119at5820           -            616   3.4e-26   89.8   8.3   1   2     8e-08   1.3e-05   21.8   0.0    61   105    77   121    16   136 0.79 | transcript=PVX_003945.1 | gene=PVX_003945 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=Pv_Sal1_chr04:475709-477283(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003945.1-p1      -            473 5119at5820           -            616   3.4e-26   89.8   8.3   2   2   5.4e-20   8.9e-18   62.0   6.7   119   424   159   444   151   469 0.79 | transcript=PVX_003945.1 | gene=PVX_003945 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=Pv_Sal1_chr04:475709-477283(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 5119at5820           -            616   5.1e-26   89.2   0.1   1   3       4.4   7.1e+02   -3.8   1.9   466   522   113   172    90   183 0.45 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 5119at5820           -            616   5.1e-26   89.2   0.1   2   3   8.3e-17   1.4e-14   51.5   0.0    55   261   227   438   218   524 0.76 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 5119at5820           -            616   5.1e-26   89.2   0.1   3   3   1.2e-14     2e-12   44.3   0.0   375   424   529   579   498   596 0.81 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 5119at5820           -            616   1.2e-25   88.0  14.4   1   1   2.2e-26   3.5e-24   83.1  14.4    24   440   357   770   331   780 0.70 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097995.1-p1      -           1462 5119at5820           -            616   2.5e-24   83.6   1.2   1   2   1.6e-19   2.5e-17   60.5   0.1    62   282   688   904   679   933 0.82 | transcript=PVX_097995.1 | gene=PVX_097995 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:988982-993370(-) | protein_length=1462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097995.1-p1      -           1462 5119at5820           -            616   2.5e-24   83.6   1.2   2   2   7.6e-11   1.2e-08   31.8   0.1   374   442   975  1044   950  1057 0.85 | transcript=PVX_097995.1 | gene=PVX_097995 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:988982-993370(-) | protein_length=1462 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 5119at5820           -            616     3e-24   83.3   0.5   1   3   1.3e-19   2.1e-17   60.7   0.3    62   204   139   285   116   299 0.75 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 5119at5820           -            616     3e-24   83.3   0.5   2   3       1.1   1.8e+02   -1.8   0.0   226   258   350   383   346   388 0.77 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 5119at5820           -            616     3e-24   83.3   0.5   3   3   3.9e-07   6.4e-05   19.5   0.0   376   436   633   691   629   708 0.77 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 5119at5820           -            616   1.3e-23   81.3   5.3   1   3   1.9e-13   3.2e-11   40.3   0.0    60   108   149   197   141   205 0.91 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 5119at5820           -            616   1.3e-23   81.3   5.3   2   3   2.8e-05    0.0045   13.4   0.6   121   308   251   434   241   440 0.66 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 5119at5820           -            616   1.3e-23   81.3   5.3   3   3   9.5e-10   1.5e-07   28.1   0.1   375   431   485   544   460   550 0.82 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 5119at5820           -            616   9.3e-23   78.4  21.5   1   3   1.6e-08   2.7e-06   24.1   0.1    68   115   279   326   256   333 0.87 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 5119at5820           -            616   9.3e-23   78.4  21.5   2   3   6.4e-10     1e-07   28.7   7.1   122   304   380   556   377   570 0.77 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 5119at5820           -            616   9.3e-23   78.4  21.5   3   3   3.1e-11   5.1e-09   33.0   2.5   374   425   608   660   585   716 0.72 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_198290-t26_1-p1  -            531 5119at5820           -            616   9.6e-23   78.4   8.5   1   1     9e-25   1.5e-22   77.8   8.5    58   242   139   335    78   357 0.74 | transcript=PVX_198290-t26_1 | gene=PVX_198290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000408:128-2376(-) | protein_length=531 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_123985.1-p1      -            717 5119at5820           -            616   1.8e-21   74.2   1.8   1   3   8.6e-12   1.4e-09   34.9   0.0    45   112   277   346   232   351 0.77 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123985.1-p1      -            717 5119at5820           -            616   1.8e-21   74.2   1.8   2   3    0.0019      0.32    7.3   0.4   122   234   404   512   393   597 0.76 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123985.1-p1      -            717 5119at5820           -            616   1.8e-21   74.2   1.8   3   3   3.4e-10   5.5e-08   29.6   0.0   375   418   634   678   612   702 0.90 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097785.1-p1      -            720 5119at5820           -            616   2.6e-21   73.7   7.5   1   3   1.2e-09   1.9e-07   27.8   0.0    65   110   148   193   124   198 0.93 | transcript=PVX_097785.1 | gene=PVX_097785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1166142-1168304(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097785.1-p1      -            720 5119at5820           -            616   2.6e-21   73.7   7.5   2   3   1.7e-08   2.7e-06   24.0   3.5   123   336   228   442   225   459 0.72 | transcript=PVX_097785.1 | gene=PVX_097785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1166142-1168304(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097785.1-p1      -            720 5119at5820           -            616   2.6e-21   73.7   7.5   3   3   6.9e-08   1.1e-05   22.0   0.0   376   425   460   510   455   572 0.84 | transcript=PVX_097785.1 | gene=PVX_097785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1166142-1168304(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
