#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114850.1-p1      -            877 2392at5820           -            678         0 1402.0  32.2   1   3   3.4e-26   1.7e-23   81.2   0.7     1    53     3    55     3    62 0.92 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 2392at5820           -            678   1.3e-34  117.9  15.3   2   2   1.1e-14   5.6e-12   43.1   1.6   490   653   546   711   533   735 0.82 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090890.1-p1      -           1399 2392at5820           -            678   8.2e-34  115.3  13.9   1   1   1.3e-34   6.5e-32  109.0  13.8   203   636   318   785   299   805 0.72 | transcript=PVX_090890.1 | gene=PVX_090890 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr09:68861-73825(-) | protein_length=1399 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 2392at5820           -            678   2.7e-31  107.0  29.4   1   4     0.033        17    1.9   0.7    33    65    16    49     5    58 0.82 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 2392at5820           -            678   2.7e-31  107.0  29.4   2   4   7.4e-17   3.7e-14   50.3   6.9   200   373   222   416   167   428 0.77 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 2392at5820           -            678   2.7e-31  107.0  29.4   3   4      0.15        75   -0.3   3.7   387   439   526   581   512   616 0.69 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 2392at5820           -            678   2.7e-31  107.0  29.4   4   4   6.3e-22   3.1e-19   67.1   0.1   512   629   973  1088   961  1095 0.88 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 2392at5820           -            678   1.1e-28   98.3   9.9   1   1     2e-29   9.8e-27   91.9   9.9   199   625  1374  1847  1333  1857 0.67 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 2392at5820           -            678   1.6e-22   78.0  10.2   1   2   1.2e-16   6.2e-14   49.6   8.2   201   536   692  1082   655  1085 0.59 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002740.1-p1      -           1618 2392at5820           -            678   1.6e-22   78.0  10.2   2   2     1e-08   5.2e-06   23.4   0.0   538   613  1119  1193  1115  1213 0.89 | transcript=PVX_002740.1 | gene=PVX_002740 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH helicase, putative | transcript_product=DEAD/DEAH helicase, putative | location=Pv_Sal1_chr04:228814-233670(-) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 2392at5820           -            678   1.3e-20   71.6  21.8   1   4   2.4e-05     0.012   12.3   0.0   194   238   218   266   201   272 0.79 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 2392at5820           -            678   1.3e-20   71.6  21.8   2   4       1.6   7.8e+02   -3.6   0.7   249   311   376   442   372   452 0.69 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 2392at5820           -            678   1.3e-20   71.6  21.8   3   4   0.00012     0.059   10.0   1.4   305   377   961  1031   952  1071 0.71 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 2392at5820           -            678   1.3e-20   71.6  21.8   4   4   2.8e-20   1.4e-17   61.6   2.3   472   615  1419  1562  1394  1580 0.90 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 2392at5820           -            678   1.3e-10   38.6   5.4   1   4       2.3   1.1e+03   -4.2   1.7    99   120   169   191   118   263 0.54 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 2392at5820           -            678   1.3e-10   38.6   5.4   2   4    0.0061       3.1    4.3   0.0   221   240   726   745   723   757 0.89 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 2392at5820           -            678   1.3e-10   38.6   5.4   3   4     0.063        32    1.0   0.0   305   352   959  1004   954  1012 0.79 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 2392at5820           -            678   1.3e-10   38.6   5.4   4   4     1e-11   5.1e-09   33.4   0.0   541   627  1416  1501  1409  1518 0.88 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2392at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2392at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2392at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:35 2026
# [ok]
