#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097985.1-p1      -           2237 367at5820            -           1769         0 2681.7  52.3   1   9     6e-73   3.7e-70  235.0   0.0     5   155     4   158     1   170 0.93 | transcript=PVX_097985.1 | gene=PVX_097985 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanidine nucleotide exchange factor, putative | transcript_product=guanidine nucleotide exchange factor, putative | location=Pv_Sal1_chr10:996753-1003466(+) | protein_length=2237 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114810.1-p1      -            479 367at5820            -           1769     1e-23   81.1  14.6   1   2   8.2e-15     5e-12   42.3   1.9   490   592    71   168    64   179 0.86 | transcript=PVX_114810.1 | gene=PVX_114810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:617571-619010(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114810.1-p1      -            479 367at5820            -           1769     1e-23   81.1  14.6   2   2   2.6e-15   1.6e-12   44.0   5.3   168   350   212   406   174   411 0.78 | transcript=PVX_114810.1 | gene=PVX_114810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:617571-619010(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092370.1-p1      -            960 367at5820            -           1769   4.1e-23   79.0  14.3   1   2   1.9e-14   1.2e-11   41.1   3.1   474   609    18   152     8   166 0.86 | transcript=PVX_092370.1 | gene=PVX_092370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1316937-1320001(-) | protein_length=960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092370.1-p1      -            960 367at5820            -           1769   4.1e-23   79.0  14.3   2   2   4.1e-15   2.5e-12   43.3   3.6   626   794   253   429   232   466 0.81 | transcript=PVX_092370.1 | gene=PVX_092370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1316937-1320001(-) | protein_length=960 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088110.1-p1      -            686 367at5820            -           1769   3.9e-13   46.0   9.3   1   4   0.00011     0.069    8.7   0.0   201   239    40    78    20    85 0.87 | transcript=PVX_088110.1 | gene=PVX_088110 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=Pv_Sal1_chr01:435906-437966(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088110.1-p1      -            686 367at5820            -           1769   3.9e-13   46.0   9.3   2   4   0.00087      0.54    5.7   0.1   542   570    93   121    81   134 0.58 | transcript=PVX_088110.1 | gene=PVX_088110 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=Pv_Sal1_chr01:435906-437966(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088110.1-p1      -            686 367at5820            -           1769   3.9e-13   46.0   9.3   3   4   0.00019      0.12    7.9   0.2   743   835   180   282   171   292 0.71 | transcript=PVX_088110.1 | gene=PVX_088110 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=Pv_Sal1_chr01:435906-437966(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088110.1-p1      -            686 367at5820            -           1769   3.9e-13   46.0   9.3   4   4   7.4e-11   4.5e-08   29.2   0.5   271   383   263   375   263   394 0.79 | transcript=PVX_088110.1 | gene=PVX_088110 | organism=Plasmodium_vivax_Sal-1 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=Pv_Sal1_chr01:435906-437966(+) | protein_length=686 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099410.1-p1      -           2569 367at5820            -           1769   3.4e-09   32.9   3.7   1   3   3.6e-05     0.022   10.3   0.0   199   237   125   163   108   170 0.81 | transcript=PVX_099410.1 | gene=PVX_099410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:747785-755494(-) | protein_length=2569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099410.1-p1      -           2569 367at5820            -           1769   3.4e-09   32.9   3.7   2   3   5.5e-12   3.4e-09   32.9   3.7   490   628   217   349   193   389 0.57 | transcript=PVX_099410.1 | gene=PVX_099410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:747785-755494(-) | protein_length=2569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099410.1-p1      -           2569 367at5820            -           1769   3.4e-09   32.9   3.7   3   3         9   5.5e+03  -10.2  10.6  1601  1692  1858  1950  1833  1979 0.58 | transcript=PVX_099410.1 | gene=PVX_099410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:747785-755494(-) | protein_length=2569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 367at5820            -           1769   3.6e-09   32.8  18.7   1   5   0.00089      0.55    5.7   0.2   352   402    58   110    18   135 0.79 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 367at5820            -           1769   3.6e-09   32.8  18.7   2   5    0.0099       6.1    2.2   1.8   471   549   149   227   126   234 0.75 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 367at5820            -           1769   3.6e-09   32.8  18.7   3   5   5.2e-08   3.2e-05   19.7   0.1   545   581   360   396   339   408 0.91 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 367at5820            -           1769   3.6e-09   32.8  18.7   4   5     0.087        54   -0.9   0.0   693   726   434   472   420   498 0.67 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001095.1-p1      -            585 367at5820            -           1769   3.6e-09   32.8  18.7   5   5   2.4e-06    0.0015   14.2   0.3   197   246   504   552   494   558 0.75 | transcript=PVX_001095.1 | gene=PVX_001095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:11589-13346(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092780.1-p1      -            985 367at5820            -           1769   8.7e-08   28.2   2.0   1   2   1.5e-10   9.1e-08   28.2   0.1   193   287   234   337   204   356 0.79 | transcript=PVX_092780.1 | gene=PVX_092780 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1718940-1722088(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092780.1-p1      -            985 367at5820            -           1769   8.7e-08   28.2   2.0   2   2      0.11        67   -1.2   0.2   656   694   447   485   441   526 0.58 | transcript=PVX_092780.1 | gene=PVX_092780 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1718940-1722088(-) | protein_length=985 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090020.1-p1      -           1699 367at5820            -           1769   1.4e-07   27.5  13.3   1   3    0.0005      0.31    6.5   2.1   204   242   472   510   468   520 0.91 | transcript=PVX_090020.1 | gene=PVX_090020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1046372-1051471(+) | protein_length=1699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090020.1-p1      -           1699 367at5820            -           1769   1.4e-07   27.5  13.3   2   3   1.5e-06    0.0009   14.9   0.0   156   253   528   634   514   644 0.65 | transcript=PVX_090020.1 | gene=PVX_090020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1046372-1051471(+) | protein_length=1699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090020.1-p1      -           1699 367at5820            -           1769   1.4e-07   27.5  13.3   3   3   0.00021      0.13    7.8   2.7   204   330   669   816   654   822 0.57 | transcript=PVX_090020.1 | gene=PVX_090020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1046372-1051471(+) | protein_length=1699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/367at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/367at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/367at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:16 2026
# [ok]
