#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098675.1-p1      -           1593 1668at5820           -            781         0 1188.6 224.4   1   6   1.4e-08   2.6e-05   21.1   3.3     1    78     1    82     1   139 0.73 | transcript=PVX_098675.1 | gene=PVX_098675 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr07:116158-121110(+) | protein_length=1593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080415.1-p1      -           1346 1668at5820           -            781   2.3e-08   31.2   2.1   6   6   7.9e-11   1.5e-07   28.5   1.6   652   780  1178  1313  1159  1314 0.77 | transcript=PVX_080415.1 | gene=PVX_080415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=Pv_Sal1_chr10:654897-659549(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 1668at5820           -            781   7.7e-07   26.1   3.7   1   3   5.4e-05       0.1    9.2   0.0   428   453   108   133    72   154 0.80 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 1668at5820           -            781   7.7e-07   26.1   3.7   2   3     0.026        47    0.4   1.0   262   398   420   441   316   472 0.57 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 1668at5820           -            781   7.7e-07   26.1   3.7   3   3     1e-06    0.0019   14.9   0.1   718   752   487   521   478   557 0.86 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1668at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1668at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1668at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:01 2026
# [ok]
