#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3   1  21   0.00018      0.98    3.9   0.1     1    23     1    23     1    30 0.83 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  12  21    0.0005       2.8    2.4   0.0  2199  2231  3119  3152  3111  3162 0.83 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  13  21   1.2e-90   6.8e-87  289.8   3.8  2226  2492  3198  3497  3189  3502 0.86 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  14  21   9.2e-34   5.1e-30  101.1   0.7  2493  2564  3556  3627  3551  3630 0.96 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  15  21   4.3e-24   2.4e-20   69.0   0.1  2565  2636  3685  3764  3676  3774 0.91 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  16  21   7.1e-36   3.9e-32  108.1   0.0  2649  2748  3829  3944  3816  3953 0.86 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  17  21   6.4e-28   3.6e-24   81.7   2.6  2790  2889  4200  4325  4198  4334 0.87 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  18  21   9.5e-51   5.2e-47  157.4   4.5  2885  3045  4370  4568  4368  4572 0.84 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  19  21  1.3e-138  7.2e-135  449.0   0.0  3042  3356  4601  4932  4596  4935 0.94 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  20  21   2.4e-11   1.3e-07   26.7   1.1  3354  3388  5013  5047  5003  5065 0.78 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111435.1-p1      -           5167 70at5820             -           3440         0 4496.8 222.3  21  21   1.3e-21     7e-18   60.8   0.9  3376  3440  5094  5166  5092  5166 0.90 | transcript=PVX_111435.1 | gene=PVX_111435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:464459-481655(-) | protein_length=5167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/70at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/70at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/70at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:55 2026
# [ok]
