#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085820.1-p1      -           1186 3420at5820           -            717         0 1258.8  61.5   1   6   2.9e-17   7.8e-15   52.3   0.7     1    63    22    97    22   102 0.90 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089640.1-p1      -            392 3420at5820           -            717   3.3e-55  185.8   0.1   1   1   3.6e-57   9.4e-55  184.3   0.0   437   676   125   363    94   382 0.89 | transcript=PVX_089640.1 | gene=PVX_089640 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S proteasome AAA-ATPase subunit RPT3, putative | transcript_product=26S proteasome AAA-ATPase subunit RPT3, putative | location=Pv_Sal1_chr05:716662-718025(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 3420at5820           -            717   2.4e-54  182.9   0.5   1   2       1.3   3.4e+02   -2.7   1.4    66   114    15    67     5    71 0.63 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 3420at5820           -            717   2.4e-54  182.9   0.5   2   2   9.1e-57   2.4e-54  182.9   0.5   445   676   133   362   122   383 0.89 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 3420at5820           -            717   7.3e-53  178.0   0.0   1   1   3.8e-55     1e-52  177.6   0.0   442   704   161   416   116   424 0.87 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094615.1-p1      -            447 3420at5820           -            717     1e-49  167.6   0.0   1   1   5.6e-52   1.5e-49  167.1   0.0   445   687   188   429   174   440 0.90 | transcript=PVX_094615.1 | gene=PVX_094615 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=Pv_Sal1_chr08:393308-394940(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 3420at5820           -            717     4e-49  165.7   0.1   1   2       1.1     3e+02   -2.5   0.8    59    98    30    69    10    86 0.47 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 3420at5820           -            717     4e-49  165.7   0.1   2   2   3.9e-51     1e-48  164.3   0.0   441   676   180   413   172   439 0.90 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 3420at5820           -            717   5.1e-48  162.0   0.0   1   1   3.5e-50   9.1e-48  161.2   0.0   448   682   160   392   142   401 0.84 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122410.1-p1      -            420 3420at5820           -            717   5.5e-46  155.3   0.0   1   1   2.8e-48   7.3e-46  154.9   0.0   444   679   157   390   135   412 0.88 | transcript=PVX_122410.1 | gene=PVX_122410 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=Pv_Sal1_chr14:539131-540623(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 3420at5820           -            717   3.4e-45  152.7   0.2   1   1   3.3e-47   8.7e-45  151.3   0.2   440   678   241   473   227   513 0.88 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091615.1-p1      -            950 3420at5820           -            717   8.2e-43  144.8   0.1   1   1   4.4e-45   1.2e-42  144.3   0.1   433   696   389   650   311   672 0.80 | transcript=PVX_091615.1 | gene=PVX_091615 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr09:647681-650533(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 3420at5820           -            717   3.9e-42  142.6   7.0   1   2   6.9e-43   1.8e-40  137.0   5.1   369   629    30   296     4   299 0.81 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 3420at5820           -            717   3.9e-42  142.6   7.0   2   2    0.0046       1.2    5.4   0.0   647   682   327   362   318   371 0.80 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 3420at5820           -            717   1.6e-41  140.6   2.1   1   1   8.8e-44   2.3e-41  140.0   2.1   444   666   419   639   375   651 0.82 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 3420at5820           -            717     3e-40  136.3  12.4   1   3         2   5.1e+02   -3.3   0.2   287   349    61   119    54   150 0.63 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 3420at5820           -            717     3e-40  136.3  12.4   2   3   4.5e-42   1.2e-39  134.3   0.4   467   675   276   492   262   534 0.80 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 3420at5820           -            717     3e-40  136.3  12.4   3   3    0.0002     0.052    9.9   1.5   472   617   560   705   509   720 0.76 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 3420at5820           -            717   1.7e-21   74.3   2.1   1   3      0.92   2.4e+02   -2.2   1.0    42   120   473   510   415   538 0.60 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 3420at5820           -            717   1.7e-21   74.3   2.1   2   3   8.7e-17   2.3e-14   50.8   0.0   458   581   570   701   558   715 0.78 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 3420at5820           -            717   1.7e-21   74.3   2.1   3   3   3.9e-08     1e-05   22.2   0.0   565   626   766   830   758   840 0.56 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 3420at5820           -            717   3.6e-14   50.1   0.3   1   1     2e-16   5.4e-14   49.5   0.3   479   631   341   512   325   558 0.80 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 3420at5820           -            717   8.5e-13   45.6   0.1   1   2   3.2e-15   8.5e-13   45.6   0.1   484   604   344   467   334   483 0.76 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 3420at5820           -            717   8.5e-13   45.6   0.1   2   2    0.0052       1.4    5.2   0.2   411   465   484   540   478   553 0.85 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 3420at5820           -            717   3.8e-12   43.4   0.0   1   1   2.1e-14   5.5e-12   42.9   0.0   481   561   744   826   741   964 0.75 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 3420at5820           -            717   1.3e-09   35.0   0.0   1   2   7.5e-05      0.02   11.3   0.0   192   221   245   274   225   304 0.68 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 3420at5820           -            717   1.3e-09   35.0   0.0   2   2   6.4e-08   1.7e-05   21.5   0.0   571   642   367   436   348   446 0.81 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3420at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3420at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3420at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:45 2026
# [ok]
