#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091610.1-p1      -            478 6501at5820           -            376  6.3e-218  721.4  24.9   1   2   1.2e-73   1.3e-70  236.6   2.5     1   129     1   140     1   145 0.95 | transcript=PVX_091610.1 | gene=PVX_091610 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit mu, putative | transcript_product=AP-4 complex subunit mu, putative | location=Pv_Sal1_chr09:645201-646996(+) | protein_length=478 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118455.1-p1      -            763 6501at5820           -            376   5.7e-09   33.7  10.4   3   3       1.5   1.7e+03   -4.0   0.5   122   166   551   596   538   609 0.46 | transcript=PVX_118455.1 | gene=PVX_118455 | organism=Plasmodium_vivax_Sal-1 | gene_product=clathrin coat assembly protein AP50, putative | transcript_product=clathrin coat assembly protein AP50, putative | location=Pv_Sal1_chr12:2725349-2727640(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091540.1-p1      -            155 6501at5820           -            376   0.00083   16.7   0.8   1   1   9.3e-07     0.001   16.5   0.8    68   126    80   138    53   151 0.84 | transcript=PVX_091540.1 | gene=PVX_091540 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit sigma, putative | transcript_product=AP-1 complex subunit sigma, putative | location=Pv_Sal1_chr09:597359-597970(+) | protein_length=155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6501at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6501at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6501at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:13 2026
# [ok]
