#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001020.1-p1      -            487 8163at5820           -            380  1.8e-169  562.2  33.2   1   2  5.8e-164  6.4e-161  534.1  19.1     7   343    20   360    16   375 0.87 | transcript=PVX_001020.1 | gene=PVX_001020 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:96591-98054(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 8163at5820           -            380     9e-29   99.1  68.4   9   9    0.0065       7.2    4.0   1.3   131   260  2587  2703  2522  2717 0.65 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001015.1-p1      -            372 8163at5820           -            380   4.6e-16   57.3  23.3   1   1   6.9e-19   7.7e-16   56.6  23.3    18   300    31   330    14   355 0.68 | transcript=PVX_001015.1 | gene=PVX_001015 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein, putative | transcript_product=6-cysteine protein, putative | location=Pv_Sal1_chr03:99481-100599(-) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 8163at5820           -            380   8.3e-07   26.8   5.9   1   2       2.7     3e+03   -4.6  10.5   162   320    38   193    24   232 0.52 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000995.1-p1      -            384 8163at5820           -            380   8.3e-07   26.8   5.9   2   2   7.5e-10   8.3e-07   26.8   5.9   127   262   235   356   222   370 0.77 | transcript=PVX_000995.1 | gene=PVX_000995 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:127982-129136(-) | protein_length=384 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8163at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8163at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8163at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:17 2026
# [ok]
