#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089640.1-p1      -            392 7340at5820           -            220    3e-154  509.2   3.3   1   1  1.7e-156  3.9e-154  508.8   3.3     1   220   173   392   173   392 1.00 | transcript=PVX_089640.1 | gene=PVX_089640 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S proteasome AAA-ATPase subunit RPT3, putative | transcript_product=26S proteasome AAA-ATPase subunit RPT3, putative | location=Pv_Sal1_chr05:716662-718025(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 7340at5820           -            220   3.7e-29  100.2   1.6   1   3       1.5   3.4e+02   -1.0   0.1    78   133    64   118    42   139 0.73 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 7340at5820           -            220   3.7e-29  100.2   1.6   2   3   8.5e-29     2e-26   91.3   0.1     2   185   291   487   290   516 0.84 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 7340at5820           -            220   3.7e-29  100.2   1.6   3   3    0.0069       1.6    6.6   0.0     2    69   572   640   571   654 0.82 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 7340at5820           -            220   5.3e-28   96.4   0.0   1   2   5.6e-30   1.3e-27   95.2   0.0     2   150   153   297   152   300 0.91 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 7340at5820           -            220   5.3e-28   96.4   0.0   2   2       6.3   1.4e+03   -3.1   0.0   160   189   325   354   321   357 0.80 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 7340at5820           -            220   1.5e-27   95.0   0.1   1   1   1.2e-29   2.7e-27   94.1   0.1     2   156   459   610   458   625 0.89 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 7340at5820           -            220   5.9e-23   79.9   0.0   1   2   5.1e-18   1.2e-15   56.1   0.0     3   110   598   710   596   716 0.86 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 7340at5820           -            220   5.9e-23   79.9   0.0   2   2   2.3e-07   5.3e-05   21.2   0.0   108   153   792   837   772   844 0.88 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 7340at5820           -            220   2.3e-09   35.5   0.0   1   1   1.7e-11     4e-09   34.7   0.0     3   151   348   512   346   529 0.73 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 7340at5820           -            220   3.8e-09   34.8   0.0   1   1   2.8e-11   6.3e-09   34.0   0.0     3   163   346   511   344   520 0.71 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 7340at5820           -            220     2e-08   32.4   0.0   1   1   1.4e-10   3.2e-08   31.7   0.0     2   159   748   920   747   928 0.77 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 7340at5820           -            220   3.2e-08   31.7   0.0   1   2     0.027       6.1    4.7   0.0     4    24   258   278   255   294 0.82 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 7340at5820           -            220   3.2e-08   31.7   0.0   2   2   2.2e-08   5.1e-06   24.5   0.0    93   146   369   422   359   437 0.92 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117320.1-p1      -            742 7340at5820           -            220   7.1e-05   20.8   0.1   1   2       1.5   3.4e+02   -1.0   0.0     4    22   527   545   525   561 0.73 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117320.1-p1      -            742 7340at5820           -            220   7.1e-05   20.8   0.1   2   2     2e-06   0.00046   18.1   0.0    28    82   631   685   620   720 0.80 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098815.1-p1      -            824 7340at5820           -            220    0.0017   16.3   0.2   1   2     0.026       6.1    4.7   0.1     3    55   436   490   434   506 0.78 | transcript=PVX_098815.1 | gene=PVX_098815 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent heat shock protein, putative | transcript_product=ATP-dependent heat shock protein, putative | location=Pv_Sal1_chr07:270590-273064(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098815.1-p1      -            824 7340at5820           -            220    0.0017   16.3   0.2   2   2    0.0014      0.33    8.8   0.0    58    95   627   667   597   688 0.72 | transcript=PVX_098815.1 | gene=PVX_098815 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent heat shock protein, putative | transcript_product=ATP-dependent heat shock protein, putative | location=Pv_Sal1_chr07:270590-273064(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 7340at5820           -            220     0.031   12.2   0.0   1   2   0.00044       0.1   10.5   0.0     4    74   327   396   324   419 0.84 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 7340at5820           -            220     0.031   12.2   0.0   2   2       5.6   1.3e+03   -3.0   0.0   181   214   929   962   927   965 0.89 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7340at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7340at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7340at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:06 2026
# [ok]
