#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079855.1-p1      -            667 4540at5820           -            525         0 1102.4  12.7   1   2   4.9e-08   7.1e-06   23.1   0.4     1    36    26    61    26    80 0.79 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117030.1-p1      -            398 4540at5820           -            525   2.6e-57  192.8   2.3   1   1   2.4e-59   3.4e-57  192.4   2.3    97   449    21   372     8   389 0.89 | transcript=PVX_117030.1 | gene=PVX_117030 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr12:1473842-1475384(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090175.1-p1      -            388 4540at5820           -            525   1.4e-55  187.1   2.5   1   1   1.2e-57   1.8e-55  186.8   2.5   100   457    16   371     7   387 0.89 | transcript=PVX_090175.1 | gene=PVX_090175 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic initiation factor, putative | transcript_product=eukaryotic initiation factor, putative | location=Pv_Sal1_chr05:1214128-1215294(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101465.1-p1      -            737 4540at5820           -            525   1.2e-54  184.0   4.8   1   1     5e-55   7.2e-53  178.2   4.8   101   458   106   498    93   516 0.79 | transcript=PVX_101465.1 | gene=PVX_101465 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2908927-2911140(+) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097785.1-p1      -            720 4540at5820           -            525   6.5e-54  181.6   0.6   1   2     1e-11   1.5e-09   35.2   0.0    96   165   121   192   112   203 0.82 | transcript=PVX_097785.1 | gene=PVX_097785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1166142-1168304(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097785.1-p1      -            720 4540at5820           -            525   6.5e-54  181.6   0.6   2   2   8.5e-45   1.2e-42  144.4   0.4   172   449   221   509   216   573 0.86 | transcript=PVX_097785.1 | gene=PVX_097785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1166142-1168304(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 4540at5820           -            525   2.7e-51  173.0   1.2   1   1   2.5e-53   3.7e-51  172.5   1.2    99   445    60   403    49   427 0.90 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003945.1-p1      -            473 4540at5820           -            525   7.7e-47  158.3   4.0   1   2   3.8e-08   5.5e-06   23.4   0.0   100   164    60   123    49   136 0.87 | transcript=PVX_003945.1 | gene=PVX_003945 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=Pv_Sal1_chr04:475709-477283(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003945.1-p1      -            473 4540at5820           -            525   7.7e-47  158.3   4.0   2   2   1.5e-41   2.2e-39  133.6   3.1   181   455   165   450   154   467 0.88 | transcript=PVX_003945.1 | gene=PVX_003945 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=Pv_Sal1_chr04:475709-477283(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 4540at5820           -            525   3.2e-45  152.9  11.7   1   2   2.1e-08   3.1e-06   24.3   0.2    87   160   240   315   223   332 0.89 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095155.1-p1      -            761 4540at5820           -            525   3.2e-45  152.9  11.7   2   2   8.2e-41   1.2e-38  131.2   6.8   177   471   379   680   369   697 0.86 | transcript=PVX_095155.1 | gene=PVX_095155 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr08:847616-850138(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082565.1-p1      -            489 4540at5820           -            525   5.3e-44  148.9   0.1   1   1   9.6e-46   1.4e-43  147.5   0.1    82   447    42   425    17   437 0.82 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089015.1-p1      -           1181 4540at5820           -            525   1.8e-42  143.9   3.3   1   1   2.2e-44   3.2e-42  143.0   3.3   117   433   185   507   163   522 0.81 | transcript=PVX_089015.1 | gene=PVX_089015 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=Pv_Sal1_chr05:224462-228007(+) | protein_length=1181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085535.1-p1      -            877 4540at5820           -            525   6.4e-40  135.4  12.5   1   1   6.6e-42   9.6e-40  134.8  12.5    99   467   134   515   109   531 0.81 | transcript=PVX_085535.1 | gene=PVX_085535 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1250580-1253375(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 4540at5820           -            525   7.1e-38  128.7   1.4   1   2   5.8e-08   8.5e-06   22.8   0.1   119   166   152   201   137   215 0.79 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 4540at5820           -            525   7.1e-38  128.7   1.4   2   2   7.9e-33   1.2e-30  104.9   0.2   178   472   252   558   243   583 0.79 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 4540at5820           -            525   4.5e-33  112.8   0.9   1   2   8.2e-24   1.2e-21   75.1   0.2   106   277   127   305   118   311 0.87 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 4540at5820           -            525   4.5e-33  112.8   0.9   2   2   6.9e-12     1e-09   35.8   0.0   365   443   594   676   579   696 0.80 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117510.1-p1      -            787 4540at5820           -            525   7.5e-32  108.8   4.8   1   1   2.2e-32   3.1e-30  103.5   4.8   104   448   377   756   362   764 0.78 | transcript=PVX_117510.1 | gene=PVX_117510 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=Pv_Sal1_chr12:1917920-1920283(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100990.1-p1      -            862 4540at5820           -            525   2.8e-31  106.9   1.5   1   2   1.6e-20   2.3e-18   64.3   0.2   103   304   111   317    99   325 0.84 | transcript=PVX_100990.1 | gene=PVX_100990 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2567525-2570113(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100990.1-p1      -            862 4540at5820           -            525   2.8e-31  106.9   1.5   2   2   1.4e-13   2.1e-11   41.4   0.1   400   447   528   575   519   607 0.85 | transcript=PVX_100990.1 | gene=PVX_100990 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2567525-2570113(-) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118230.1-p1      -            791 4540at5820           -            525   8.9e-30  102.0   4.0   1   2   1.2e-21   1.8e-19   68.0   1.5   108   314   249   477   238   489 0.77 | transcript=PVX_118230.1 | gene=PVX_118230 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2519590-2522382(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118230.1-p1      -            791 4540at5820           -            525   8.9e-30  102.0   4.0   2   2   2.2e-11   3.2e-09   34.1   0.0   362   446   594   680   585   708 0.87 | transcript=PVX_118230.1 | gene=PVX_118230 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2519590-2522382(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 4540at5820           -            525   7.7e-27   92.3   8.6   1   3   5.7e-07   8.3e-05   19.6   0.0   101   161     4    64     1    80 0.86 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 4540at5820           -            525   7.7e-27   92.3   8.6   2   3   1.5e-11   2.1e-09   34.7   1.7   178   307   332   471   322   528 0.76 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 4540at5820           -            525   7.7e-27   92.3   8.6   3   3   4.9e-13   7.1e-11   39.6   1.2   344   451   569   693   539   697 0.74 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122200.1-p1      -            626 4540at5820           -            525   5.7e-26   89.4   7.5   1   1   6.3e-28   9.1e-26   88.7   7.5   108   462   159   525   146   539 0.78 | transcript=PVX_122200.1 | gene=PVX_122200 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr14:370093-371973(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084125.1-p1      -            844 4540at5820           -            525   2.3e-21   74.2   2.0   1   3     0.042       6.2    3.5   0.0   142   169   178   205   167   210 0.87 | transcript=PVX_084125.1 | gene=PVX_084125 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP dependent RNA helicase, putative | transcript_product=ATP dependent RNA helicase, putative | location=Pv_Sal1_chr13:25578-29353(-) | protein_length=844 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084125.1-p1      -            844 4540at5820           -            525   2.3e-21   74.2   2.0   2   3       0.1        15    2.2   0.1    17    86   394   462   384   475 0.74 | transcript=PVX_084125.1 | gene=PVX_084125 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP dependent RNA helicase, putative | transcript_product=ATP dependent RNA helicase, putative | location=Pv_Sal1_chr13:25578-29353(-) | protein_length=844 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084125.1-p1      -            844 4540at5820           -            525   2.3e-21   74.2   2.0   3   3   6.4e-21   9.3e-19   65.6   0.2   343   446   512   615   504   630 0.90 | transcript=PVX_084125.1 | gene=PVX_084125 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP dependent RNA helicase, putative | transcript_product=ATP dependent RNA helicase, putative | location=Pv_Sal1_chr13:25578-29353(-) | protein_length=844 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_198290-t26_1-p1  -            531 4540at5820           -            525   9.1e-21   72.2   0.6   1   2   5.3e-22   7.6e-20   69.2   1.5   108   314   133   361   122   373 0.77 | transcript=PVX_198290-t26_1 | gene=PVX_198290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000408:128-2376(-) | protein_length=531 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_198290-t26_1-p1  -            531 4540at5820           -            525   9.1e-21   72.2   0.6   2   2      0.79   1.1e+02   -0.7   0.0   363   400   479   518   470   523 0.78 | transcript=PVX_198290-t26_1 | gene=PVX_198290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000408:128-2376(-) | protein_length=531 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_085525.1-p1      -           1019 4540at5820           -            525   1.5e-18   64.9  15.6   1   5   0.00033     0.049   10.4   0.1   101   165    74   138    65   144 0.87 | transcript=PVX_085525.1 | gene=PVX_085525 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1239532-1242591(-) | protein_length=1019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085525.1-p1      -           1019 4540at5820           -            525   1.5e-18   64.9  15.6   2   5      0.04       5.8    3.6   0.0   176   202   265   291   241   314 0.76 | transcript=PVX_085525.1 | gene=PVX_085525 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1239532-1242591(-) | protein_length=1019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085525.1-p1      -           1019 4540at5820           -            525   1.5e-18   64.9  15.6   3   5   8.7e-06    0.0013   15.7   0.1   214   286   333   408   327   418 0.81 | transcript=PVX_085525.1 | gene=PVX_085525 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1239532-1242591(-) | protein_length=1019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085525.1-p1      -           1019 4540at5820           -            525   1.5e-18   64.9  15.6   4   5   4.3e-14   6.2e-12   43.1   0.7   353   474   566   692   557   701 0.86 | transcript=PVX_085525.1 | gene=PVX_085525 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1239532-1242591(-) | protein_length=1019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085525.1-p1      -           1019 4540at5820           -            525   1.5e-18   64.9  15.6   5   5       3.1   4.5e+02   -2.7   0.9   100   122   933   955   849   970 0.73 | transcript=PVX_085525.1 | gene=PVX_085525 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1239532-1242591(-) | protein_length=1019 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 4540at5820           -            525     4e-17   60.2   2.2   1   4    0.0017      0.25    8.1   0.0    99   157    27    85    18   103 0.86 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 4540at5820           -            525     4e-17   60.2   2.2   2   4      0.96   1.4e+02   -1.0   0.0   185   237   200   256   190   268 0.75 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 4540at5820           -            525     4e-17   60.2   2.2   3   4     0.017       2.4    4.8   0.0   246   296   287   339   275   346 0.82 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088190.1-p1      -           1266 4540at5820           -            525     4e-17   60.2   2.2   4   4   2.8e-14     4e-12   43.7   0.2   325   445   586   708   557   718 0.78 | transcript=PVX_088190.1 | gene=PVX_088190 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr01:487423-491223(+) | protein_length=1266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 4540at5820           -            525   2.4e-15   54.4   0.2   1   3   5.7e-05    0.0083   13.0   0.0   102   159   145   202   128   222 0.90 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 4540at5820           -            525   2.4e-15   54.4   0.2   2   3   5.4e-12   7.9e-10   36.1   0.3   344   434   899   990   892  1004 0.87 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 4540at5820           -            525   2.4e-15   54.4   0.2   3   3      0.28        41    0.8   0.0   254   279  1109  1135  1091  1153 0.79 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000990.1-p1      -            548 4540at5820           -            525     5e-14   50.0   6.9   1   1   8.1e-16   1.2e-13   48.8   6.9   132   451   132   482   122   506 0.72 | transcript=PVX_000990.1 | gene=PVX_000990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase protein, putative | transcript_product=ATP-dependent RNA helicase protein, putative | location=Pv_Sal1_chr03:130416-132387(-) | protein_length=548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
