#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116945.1-p1      -            803 3052at5820           -            646         0 1177.0  90.0   1   2   5.5e-76   7.6e-73  244.5  36.6     5   225    28   323    25   340 0.84 | transcript=PVX_116945.1 | gene=PVX_116945 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclic nucleotide phosphodiesterase, putative | transcript_product=cyclic nucleotide phosphodiesterase, putative | location=Pv_Sal1_chr12:1413241-1416618(-) | protein_length=803 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 3052at5820           -            646   1.9e-29  101.1  15.3   2   4         4   5.5e+03  -17.0  25.3    25   178   121   265   113   362 0.62 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 3052at5820           -            646   1.9e-29  101.1  15.3   3   4   1.4e-32   1.9e-29  101.1  15.3   278   496   465   677   457   703 0.84 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122890.1-p1      -            783 3052at5820           -            646   1.9e-29  101.1  15.3   4   4     0.002       2.7    4.8   0.5   555   602   702   747   684   770 0.86 | transcript=PVX_122890.1 | gene=PVX_122890 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphodiesterase gamma, putative | transcript_product=phosphodiesterase gamma, putative | location=Pv_Sal1_chr14:967246-971025(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3052at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3052at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3052at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:32 2026
# [ok]
