#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082590.1-p1      -           1649 1108at5820           -           1032         0 1499.5  57.1   1   6   4.3e-99     3e-96  321.8  12.9    17   227   184   431   177   443 0.85 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 1108at5820           -           1032   2.2e-16   57.4   0.8   1   2     5e-18   3.4e-15   53.4   0.7   390   529     5   137     2   146 0.80 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 1108at5820           -           1032   2.2e-16   57.4   0.8   2   2     0.021        14    1.7   0.0   777   844   215   284   206   318 0.72 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092830.1-p1      -            359 1108at5820           -           1032   2.1e-15   54.2  25.2   1   3   2.1e-17   1.4e-14   51.4   7.1    24   121     7   102     2   110 0.87 | transcript=PVX_092830.1 | gene=PVX_092830 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin activating enzyme, putative | transcript_product=ubiquitin activating enzyme, putative | location=Pv_Sal1_chr09:1749092-1750171(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092830.1-p1      -            359 1108at5820           -           1032   2.1e-15   54.2  25.2   2   3      0.01       7.1    2.7   1.3   122   176   142   198   117   206 0.78 | transcript=PVX_092830.1 | gene=PVX_092830 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin activating enzyme, putative | transcript_product=ubiquitin activating enzyme, putative | location=Pv_Sal1_chr09:1749092-1750171(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092830.1-p1      -            359 1108at5820           -           1032   2.1e-15   54.2  25.2   3   3   2.4e-05     0.016   11.5   1.8   247   355   235   349   230   359 0.82 | transcript=PVX_092830.1 | gene=PVX_092830 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin activating enzyme, putative | transcript_product=ubiquitin activating enzyme, putative | location=Pv_Sal1_chr09:1749092-1750171(+) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083415.1-p1      -            585 1108at5820           -           1032   1.7e-11   41.2   3.4   1   1   3.5e-14   2.4e-11   40.7   3.4    25   177     2   167     1   192 0.86 | transcript=PVX_083415.1 | gene=PVX_083415 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=Pv_Sal1_chr12:143639-145396(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115230.1-p1      -            534 1108at5820           -           1032   2.4e-09   34.1   4.6   1   2   3.5e-12   2.4e-09   34.1   4.6   364   528    80   236    59   275 0.82 | transcript=PVX_115230.1 | gene=PVX_115230 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr11:221976-223580(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115230.1-p1      -            534 1108at5820           -           1032   2.4e-09   34.1   4.6   2   2       1.1   7.6e+02   -4.0   0.4   122   150   408   436   390   455 0.45 | transcript=PVX_115230.1 | gene=PVX_115230 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr11:221976-223580(+) | protein_length=534 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091922.1-p1      -           1216 1108at5820           -           1032   7.2e-05   19.3   0.0   1   1   1.6e-07   0.00011   18.6   0.0   386   448   762   820   741   844 0.87 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1108at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1108at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1108at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:21 2026
# [ok]
