#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113270.1-p1      -           1387 1404at5820           -            988         0 1965.9  63.1   1   6      0.02        16    1.4   0.5     1    19     5    21     5    31 0.80 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 1404at5820           -            988   4.1e-25   86.1   8.9   1   3   5.4e-11   4.2e-08   29.8   0.5   101   221   712   853   697   865 0.70 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 1404at5820           -            988   4.1e-25   86.1   8.9   2   3   3.3e-15   2.6e-12   43.7   0.9   301   485   976  1157   961  1189 0.80 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090165.1-p1      -           2675 1404at5820           -            988   4.1e-25   86.1   8.9   3   3   1.1e-06   0.00087   15.5   0.0   384   482  2054  2153  2046  2185 0.86 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 1404at5820           -            988   7.7e-09   32.2   1.4   1   3    0.0018       1.4    4.9   0.0   102   165   125   188    96   213 0.78 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 1404at5820           -            988   7.7e-09   32.2   1.4   2   3       0.4   3.2e+02   -2.9   0.0   200   226   283   309   280   341 0.62 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 1404at5820           -            988   7.7e-09   32.2   1.4   3   3   1.5e-09   1.2e-06   25.0   0.4   276   475   404   600   391   623 0.71 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1404at5820           -            988   1.8e-08   31.0   0.1   1   3   0.00017      0.14    8.2   0.7   111   248   265   423   258   444 0.58 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1404at5820           -            988   1.8e-08   31.0   0.1   2   3   2.3e-11   1.8e-08   31.0   0.1   333   471   484   620   476   629 0.88 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1404at5820           -            988   1.8e-08   31.0   0.1   3   3       2.3   1.8e+03   -5.4   2.2   709   766  1086  1147  1063  1180 0.61 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114300.1-p1      -            910 1404at5820           -            988     3e-08   30.3   0.0   1   2      0.05        40    0.1   0.0   134   233   239   329   218   343 0.75 | transcript=PVX_114300.1 | gene=PVX_114300 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DEAD box helicase, putative | transcript_product=ATP-dependent DEAD box helicase, putative | location=Pv_Sal1_chr11:1088807-1091539(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114300.1-p1      -            910 1404at5820           -            988     3e-08   30.3   0.0   2   2     3e-10   2.4e-07   27.3   0.0   422   471   452   501   446   513 0.93 | transcript=PVX_114300.1 | gene=PVX_114300 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DEAD box helicase, putative | transcript_product=ATP-dependent DEAD box helicase, putative | location=Pv_Sal1_chr11:1088807-1091539(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1404at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1404at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1404at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:17 2026
# [ok]
