#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082395.1-p1      -           1946 558at5820            -           1598         0 3215.8  78.8   1   6  1.4e-274  2.6e-271  901.7  13.1     3   427    29   466    27   472 0.96 | transcript=PVX_082395.1 | gene=PVX_082395 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III largest subunit, putative | transcript_product=DNA-directed RNA polymerase III largest subunit, putative | location=Pv_Sal1_chr12:956997-963363(+) | protein_length=1946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 558at5820            -           1598  6.2e-131  436.4  32.9   1   6   1.5e-11   2.8e-08   29.8   2.6    28   143     9   126     1   161 0.84 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 558at5820            -           1598  6.2e-131  436.4  32.9   2   6   8.1e-56   1.5e-52  176.6   1.7   297   568   557   828   537   835 0.90 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 558at5820            -           1598  6.2e-131  436.4  32.9   3   6   2.2e-06     0.004   12.7   0.1   578   690   911  1037   900  1063 0.61 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 558at5820            -           1598  6.2e-131  436.4  32.9   4   6   1.2e-39   2.1e-36  123.0   0.3   772   923  1536  1691  1523  1699 0.89 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 558at5820            -           1598  6.2e-131  436.4  32.9   5   6   7.2e-20   1.3e-16   57.4   0.1  1188  1261  1797  1868  1791  1914 0.86 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098025.1-p1      -           2695 558at5820            -           1598  6.2e-131  436.4  32.9   6   6   5.1e-19   9.5e-16   54.6   1.3  1437  1577  2545  2686  2508  2692 0.88 | transcript=PVX_098025.1 | gene=PVX_098025 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | transcript_product=DNA-directed RNA polymerase I 190 kDa polypeptide, putative | location=Pv_Sal1_chr10:953437-961823(+) | protein_length=2695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/558at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/558at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/558at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:26 2026
# [ok]
