#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3   1  15   9.7e-77   5.4e-73  244.8  25.6     1   166     1   205     1   220 0.83 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3  12  15     4e-90   2.2e-86  289.1  69.6   528   697  1358  1531  1339  1540 0.94 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3  13  15   5.7e-12   3.2e-08   30.4  25.0   678   763  1543  1644  1527  1650 0.75 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3  14  15   4.3e-18   2.4e-14   50.7  38.0   725   797  1647  1719  1642  1724 0.89 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3  15  15   1.3e-84   7.3e-81  270.8  93.3   788   949  1725  1893  1719  1893 0.96 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3211at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3211at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3211at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:05 2026
# [ok]
