#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096355.1-p1      -            855 3221at5820           -            511  1.6e-286  949.4  34.3   1   5  2.2e-109  1.5e-106  355.6   1.6     1   164     1   169     1   173 0.97 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091185.1-p1      -            378 3221at5820           -            511   3.6e-21   73.9   0.0   1   3   8.5e-09   5.9e-06   23.7   0.0     9   145     3   133     1   143 0.83 | transcript=PVX_091185.1 | gene=PVX_091185 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:328346-330193(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091185.1-p1      -            378 3221at5820           -            511   3.6e-21   73.9   0.0   2   3    0.0038       2.6    5.1   0.0   245   319   142   218   137   228 0.83 | transcript=PVX_091185.1 | gene=PVX_091185 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:328346-330193(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091185.1-p1      -            378 3221at5820           -            511   3.6e-21   73.9   0.0   3   3   1.7e-14   1.2e-11   42.6   0.0   380   489   230   341   216   361 0.85 | transcript=PVX_091185.1 | gene=PVX_091185 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:328346-330193(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 3221at5820           -            511   7.2e-19   66.3   0.0   1   3   0.00029       0.2    8.8   0.0     9   145     6   142     3   153 0.77 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 3221at5820           -            511   7.2e-19   66.3   0.0   2   3   2.8e-06    0.0019   15.4   0.0   248   324   155   233   145   246 0.78 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 3221at5820           -            511   7.2e-19   66.3   0.0   3   3   1.5e-13     1e-10   39.4   0.0   389   510   246   366   233   367 0.91 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 3221at5820           -            511   3.8e-07   27.7   0.0   1   2    0.0042       2.9    5.0   0.0    98   148   135   185   113   213 0.85 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085340.1-p1      -            493 3221at5820           -            511   3.8e-07   27.7   0.0   2   2   7.9e-08   5.5e-05   20.5   0.0   395   492   364   466   334   484 0.81 | transcript=PVX_085340.1 | gene=PVX_085340 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr13:1118083-1119564(+) | protein_length=493 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000750.1-p1      -            414 3221at5820           -            511     3e-06   24.7   8.3   1   2   4.9e-05     0.034   11.3   2.7   225   324   155   251   104   272 0.76 | transcript=PVX_000750.1 | gene=PVX_000750 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr03:332386-334535(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000750.1-p1      -            414 3221at5820           -            511     3e-06   24.7   8.3   2   2   1.2e-06   0.00084   16.6   0.4   414   508   297   396   260   399 0.74 | transcript=PVX_000750.1 | gene=PVX_000750 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr03:332386-334535(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 3221at5820           -            511   2.4e-05   21.7   1.0   1   2      0.69   4.8e+02   -2.4   0.0   235   302   263   335   253   378 0.65 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 3221at5820           -            511   2.4e-05   21.7   1.0   2   2   3.4e-08   2.4e-05   21.7   1.0   417   511   483   584   474   584 0.84 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3221at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3221at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3221at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:07 2026
# [ok]
