#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084500.1-p1      -            694 5720at5820           -            385  5.8e-223  738.5  47.8   1   4   4.5e-85   1.1e-82  276.7  15.5     1   146     1   163     1   170 0.90 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 5720at5820           -            385   1.2e-13   49.5  12.0   3   4     0.038         9    3.8   0.2    16    43   244   270   238   287 0.81 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 5720at5820           -            385   1.2e-13   49.5  12.0   4   4      0.65   1.6e+02   -0.3   0.0    18    44   293   319   281   321 0.79 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 5720at5820           -            385   2.2e-12   45.3  11.2   1   3   2.6e-11   6.2e-09   33.9   6.4   111   255    33   172    26   194 0.85 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 5720at5820           -            385   2.2e-12   45.3  11.2   2   3      0.22        52    1.3   0.0   198   232   198   232   175   246 0.78 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 5720at5820           -            385   2.2e-12   45.3  11.2   3   3   0.00072      0.17    9.5   0.2    72   141   256   321   200   323 0.74 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 5720at5820           -            385   2.9e-12   44.9  15.4   1   4   3.4e-06   0.00081   17.1   0.9    52   129   226   302   199   341 0.76 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 5720at5820           -            385   2.9e-12   44.9  15.4   2   4     5e-08   1.2e-05   23.1   0.5   110   232   426   545   417   552 0.84 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 5720at5820           -            385   2.9e-12   44.9  15.4   3   4   1.9e-07   4.5e-05   21.2   2.3   111   234   469   590   461   602 0.81 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 5720at5820           -            385   2.9e-12   44.9  15.4   4   4    0.0041      0.99    7.0   0.1    63   100   596   632   589   641 0.79 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 5720at5820           -            385   5.4e-11   40.7  11.3   1   3   1.3e-05     0.003   15.2   0.1     4    42   398   436   394   440 0.91 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 5720at5820           -            385   5.4e-11   40.7  11.3   2   3     6e-08   1.4e-05   22.9   0.2   181   233   428   478   428   485 0.89 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 5720at5820           -            385   5.4e-11   40.7  11.3   3   3   0.00045      0.11   10.1   2.9   109   254   485   625   479   635 0.60 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 5720at5820           -            385   2.5e-10   38.5  22.9   1   4       5.6   1.3e+03   -3.4   0.4   262   292   103   133    91   153 0.69 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 5720at5820           -            385   2.5e-10   38.5  22.9   2   4   2.1e-11   5.1e-09   34.2   0.7   157   247   321   413   313   422 0.88 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 5720at5820           -            385   2.5e-10   38.5  22.9   3   4     0.083        20    2.7   0.1   200   232   447   479   419   488 0.80 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 5720at5820           -            385   2.5e-10   38.5  22.9   4   4   4.2e-05      0.01   13.5   5.6   118   232   497   612   485   612 0.72 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 5720at5820           -            385   2.7e-10   38.4   9.2   1   3     2e-06   0.00048   17.9   0.8   106   234   246   373   213   379 0.80 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 5720at5820           -            385   2.7e-10   38.4   9.2   2   3   3.8e-07   9.1e-05   20.2   0.5   181   241   364   422   353   437 0.87 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 5720at5820           -            385   2.7e-10   38.4   9.2   3   3    0.0027      0.66    7.5   0.1   173   231   438   497   430   498 0.85 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 5720at5820           -            385   1.2e-09   36.2   7.6   1   3      0.15        35    1.8   0.0     5    53    58   107    55   113 0.83 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 5720at5820           -            385   1.2e-09   36.2   7.6   2   3     7e-05     0.017   12.8   0.0     5    43   101   139    97   156 0.86 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000785.1-p1      -            499 5720at5820           -            385   1.2e-09   36.2   7.6   3   3   2.5e-08   5.9e-06   24.1   2.4   165   272   343   452   307   464 0.78 | transcript=PVX_000785.1 | gene=PVX_000785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosomal processing protein, putative | transcript_product=ribosomal processing protein, putative | location=Pv_Sal1_chr03:310046-311545(+) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 5720at5820           -            385   2.8e-09   35.1  19.6   1   5   4.9e-05     0.012   13.3   0.3   165   235    60   124     3   129 0.69 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 5720at5820           -            385   2.8e-09   35.1  19.6   2   5    0.0014      0.34    8.5   0.0   109   142   129   162   123   171 0.81 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 5720at5820           -            385   2.8e-09   35.1  19.6   3   5   1.7e-08   4.2e-06   24.6   2.0   110   248   243   379   225   420 0.82 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 5720at5820           -            385   2.8e-09   35.1  19.6   4   5       1.9   4.7e+02   -1.9   0.4   244   283   612   652   594   674 0.73 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 5720at5820           -            385   2.8e-09   35.1  19.6   5   5       6.2   1.5e+03   -3.5   0.1   237   276   854   891   851   906 0.79 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 5720at5820           -            385   1.6e-08   32.6  22.4   1   4       9.1   2.2e+03   -4.1   0.1   333   359    24    50    19    54 0.53 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 5720at5820           -            385   1.6e-08   32.6  22.4   2   4   2.2e-06   0.00053   17.7   0.3   189   233   899   943   877   954 0.86 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 5720at5820           -            385   1.6e-08   32.6  22.4   3   4   9.5e-06    0.0023   15.6  10.7    16   235   960  1163   951  1167 0.82 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 5720at5820           -            385   1.6e-08   32.6  22.4   4   4   0.00093      0.22    9.1   0.1   172   238  1144  1211  1142  1228 0.85 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122390.1-p1      -            524 5720at5820           -            385   3.7e-08   31.4   3.4   1   3       1.6   3.9e+02   -1.6   0.1    47    71   180   202   167   209 0.50 | transcript=PVX_122390.1 | gene=PVX_122390 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing regulator, putative | transcript_product=alternative splicing regulator, putative | location=Pv_Sal1_chr14:530575-532149(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122390.1-p1      -            524 5720at5820           -            385   3.7e-08   31.4   3.4   2   3   1.5e-10   3.7e-08   31.4   3.4   113   231   218   339   209   343 0.82 | transcript=PVX_122390.1 | gene=PVX_122390 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing regulator, putative | transcript_product=alternative splicing regulator, putative | location=Pv_Sal1_chr14:530575-532149(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122390.1-p1      -            524 5720at5820           -            385   3.7e-08   31.4   3.4   3   3   0.00075      0.18    9.4   2.0   179   237   331   387   330   445 0.79 | transcript=PVX_122390.1 | gene=PVX_122390 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing regulator, putative | transcript_product=alternative splicing regulator, putative | location=Pv_Sal1_chr14:530575-532149(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 5720at5820           -            385   8.5e-07   26.9  16.3   1   4   1.8e-07   4.4e-05   21.3   2.5   174   240    26    95     8   100 0.82 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 5720at5820           -            385   8.5e-07   26.9  16.3   2   4   0.00018     0.043   11.4   0.3   319   382    70   135    69   140 0.75 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 5720at5820           -            385   8.5e-07   26.9  16.3   3   4    0.0016      0.39    8.3   0.7   177   234   199   264   189   275 0.66 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 5720at5820           -            385   8.5e-07   26.9  16.3   4   4      0.07        17    2.9   0.1    13    34   279   300   272   309 0.80 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 5720at5820           -            385   9.6e-07   26.7  15.0   1   3      0.16        39    1.7   0.3   309   380   131   199   111   204 0.74 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 5720at5820           -            385   9.6e-07   26.7  15.0   2   3   1.4e-05    0.0034   15.0   8.0   111   239   168   295   132   306 0.72 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 5720at5820           -            385   9.6e-07   26.7  15.0   3   3    0.0002     0.048   11.3   0.6   163   234   314   388   308   397 0.78 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111050.1-p1      -            706 5720at5820           -            385   4.6e-06   24.5   7.4   1   2   8.3e-07    0.0002   19.1   2.6   167   271   147   254    67   260 0.71 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111050.1-p1      -            706 5720at5820           -            385   4.6e-06   24.5   7.4   2   2    0.0015      0.37    8.4   0.4   120   202   251   338   245   355 0.70 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091575.1-p1      -            408 5720at5820           -            385   7.3e-06   23.8   0.5   1   2   3.1e-08   7.3e-06   23.8   0.5    75   186    69   179    25   185 0.82 | transcript=PVX_091575.1 | gene=PVX_091575 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:623669-625710(-) | protein_length=408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091575.1-p1      -            408 5720at5820           -            385   7.3e-06   23.8   0.5   2   2         4   9.6e+02   -2.9   0.1   355   380   366   391   271   394 0.56 | transcript=PVX_091575.1 | gene=PVX_091575 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:623669-625710(-) | protein_length=408 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
