#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082880.1-p1      -            897 3113at5820           -            540  4.8e-248  822.4   9.6   1   4   1.4e-05    0.0023   14.9   0.2     1    32     1    32     1    43 0.91 | transcript=PVX_082880.1 | gene=PVX_082880 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:622663-625356(+) | protein_length=897 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 3113at5820           -            540   9.3e-13   45.8   1.5   3   3     0.047       7.5    3.3   0.0   510   534   278   302   227   310 0.81 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 3113at5820           -            540   1.5e-12   45.1   3.1   1   3       8.5   1.3e+03   -4.2   3.2   446   471   517   542   478   597 0.53 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 3113at5820           -            540   1.5e-12   45.1   3.1   2   3   9.7e-15   1.5e-12   45.1   3.1   278   459   622   797   617   821 0.82 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118270.1-p1      -           1526 3113at5820           -            540   1.5e-12   45.1   3.1   3   3       1.9     3e+02   -2.0   0.0   299   312   890   903   881   943 0.83 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 3113at5820           -            540   4.5e-12   43.6   0.8   1   3   0.00032      0.05   10.4   0.4   149   211     4    62     2    76 0.80 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 3113at5820           -            540   4.5e-12   43.6   0.8   2   3   1.6e-09   2.5e-07   27.9   0.0   278   381   102   198    95   219 0.85 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 3113at5820           -            540   4.5e-12   43.6   0.8   3   3      0.12        19    1.9   0.0   514   540   257   286   251   286 0.78 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 3113at5820           -            540   3.5e-11   40.7   6.3   1   3     0.064        10    2.8   1.7   152   236    59   146    44   167 0.67 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 3113at5820           -            540   3.5e-11   40.7   6.3   2   3     4e-11   6.4e-09   33.2   0.0   280   380   172   265   160   290 0.81 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 3113at5820           -            540   3.5e-11   40.7   6.3   3   3      0.01       1.6    5.5   0.0   512   534   298   320   293   327 0.89 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 3113at5820           -            540   3.6e-11   40.6   7.1   1   4      0.68   1.1e+02   -0.6   0.1   148   200   266   317   261   353 0.66 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 3113at5820           -            540   3.6e-11   40.6   7.1   2   4   4.6e-13   7.3e-11   39.6   0.1   275   396   367   480   355   485 0.87 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 3113at5820           -            540   3.6e-11   40.6   7.1   3   4      0.52        83   -0.2   0.2    63    87   500   524   497   538 0.80 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 3113at5820           -            540   3.6e-11   40.6   7.1   4   4      0.11        18    2.0   0.0   506   540   535   571   530   571 0.76 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 3113at5820           -            540   3.1e-10   37.5   6.9   1   3     0.042       6.6    3.4   1.8   152   207   124   180    98   201 0.68 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 3113at5820           -            540   3.1e-10   37.5   6.9   2   3   3.8e-11   6.1e-09   33.3   0.1   280   393   220   325   207   337 0.83 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 3113at5820           -            540   3.1e-10   37.5   6.9   3   3      0.21        32    1.1   0.0   512   539   346   376   337   377 0.88 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 3113at5820           -            540   1.5e-09   35.2   0.4   1   2     0.002      0.32    7.8   1.4   134   208   106   186   101   210 0.65 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 3113at5820           -            540   1.5e-09   35.2   0.4   2   2   2.2e-08   3.4e-06   24.2   0.0   272   380   217   318   207   321 0.85 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 3113at5820           -            540   2.6e-09   34.5   0.7   1   4      0.33        52    0.5   0.1   149   169    20    40     4    54 0.76 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 3113at5820           -            540   2.6e-09   34.5   0.7   2   4     0.031       4.9    3.9   0.1   454   503   129   179    71   195 0.77 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 3113at5820           -            540   2.6e-09   34.5   0.7   3   4   1.2e-08     2e-06   25.0   0.0   280   351   194   265   184   273 0.83 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 3113at5820           -            540   2.6e-09   34.5   0.7   4   4       0.6        95   -0.4   0.0   514   540   566   595   539   595 0.80 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 3113at5820           -            540   4.4e-09   33.7   1.2   1   3      0.18        28    1.3   0.1   152   207   161   217   138   231 0.79 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 3113at5820           -            540   4.4e-09   33.7   1.2   2   3   3.3e-08   5.2e-06   23.6   0.0   280   380   257   351   233   355 0.82 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 3113at5820           -            540   4.4e-09   33.7   1.2   3   3    0.0083       1.3    5.8   0.0   512   539   384   414   379   415 0.85 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 3113at5820           -            540   4.5e-09   33.7   7.6   1   3      0.02       3.1    4.5   2.4   153   212    14    74     4   100 0.74 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 3113at5820           -            540   4.5e-09   33.7   7.6   2   3     2e-10   3.1e-08   30.9   0.1   279   379   114   221    97   275 0.80 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 3113at5820           -            540   4.5e-09   33.7   7.6   3   3      0.77   1.2e+02   -0.7   0.0   502   534   269   301   259   310 0.74 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 3113at5820           -            540   7.5e-09   32.9   6.7   1   3    0.0065         1    6.1   1.0   141   194    35    86    14   106 0.77 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 3113at5820           -            540   7.5e-09   32.9   6.7   2   3   1.5e-08   2.4e-06   24.7   0.1   279   373   138   225   131   236 0.76 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 3113at5820           -            540   7.5e-09   32.9   6.7   3   3     0.023       3.6    4.3   0.1   464   540   241   330   229   330 0.67 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 3113at5820           -            540   1.1e-08   32.4   6.6   1   3    0.0099       1.6    5.5   1.7   153   222    75   141    59   151 0.76 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 3113at5820           -            540   1.1e-08   32.4   6.6   2   3   1.2e-09   1.9e-07   28.3   0.1   281   378   174   265   168   291 0.81 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 3113at5820           -            540   1.1e-08   32.4   6.6   3   3       1.7   2.7e+02   -1.9   0.0   512   534   300   322   290   329 0.83 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 3113at5820           -            540   1.5e-08   32.0   6.8   1   3     0.008       1.3    5.8   1.0   141   194    35    86    14   106 0.77 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 3113at5820           -            540   1.5e-08   32.0   6.8   2   3   1.9e-08     3e-06   24.4   0.1   279   373   138   225   131   236 0.76 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 3113at5820           -            540   1.5e-08   32.0   6.8   3   3     0.028       4.5    4.0   0.1   464   540   241   330   229   330 0.67 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 3113at5820           -            540   3.3e-08   30.8   0.5   1   2    0.0038      0.61    6.9   0.0   148   172     8    32     3    40 0.84 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092440.1-p1      -            323 3113at5820           -            540   3.3e-08   30.8   0.5   2   2   8.4e-08   1.3e-05   22.2   0.1   283   399   110   228    92   246 0.76 | transcript=PVX_092440.1 | gene=PVX_092440 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 1, putative | transcript_product=casein kinase 1, putative | location=Pv_Sal1_chr09:1376598-1379036(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 3113at5820           -            540     5e-08   30.2   3.4   1   3      0.16        25    1.5   1.1   155   226    15    85     5   106 0.64 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 3113at5820           -            540     5e-08   30.2   3.4   2   3   1.1e-09   1.8e-07   28.4   0.0   268   381   110   213   102   232 0.83 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 3113at5820           -            540     5e-08   30.2   3.4   3   3       4.1   6.5e+02   -3.2   0.0   512   538   264   293   261   295 0.73 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 3113at5820           -            540   5.8e-08   30.0   0.1   1   1   6.2e-10   9.8e-08   29.3   0.1   276   377   113   205     5   227 0.88 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 3113at5820           -            540   8.6e-08   29.5  16.0   1   3    0.0011      0.18    8.6   9.1   137   222    10    94     3   105 0.89 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 3113at5820           -            540   8.6e-08   29.5  16.0   2   3   2.7e-08   4.3e-06   23.9   0.2   280   391   126   227   106   259 0.82 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
