#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098980.1-p1      -            446 6760at5820           -            323  7.6e-198  654.3  13.8   1   1    1e-200  1.4e-197  653.5  13.8    18   317    84   384    80   385 0.99 | transcript=PVX_098980.1 | gene=PVX_098980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic Fe-S cluster assembly factor NBP35, putative | transcript_product=cytosolic Fe-S cluster assembly factor NBP35, putative | location=Pv_Sal1_chr07:417670-419010(+) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091195.1-p1      -            543 6760at5820           -            323      0.47    7.6   6.2   3   3     0.004       5.6    4.1   0.4    26    76   437   487   415   495 0.83 | transcript=PVX_091195.1 | gene=PVX_091195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ES2 protein, putative | transcript_product=ES2 protein, putative | location=Pv_Sal1_chr09:332494-334125(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6760at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6760at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6760at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:29 2026
# [ok]
