#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7   1  13  4.4e-119  1.2e-115  386.0   1.3     1   260     1   301     1   303 0.88 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7  12  13   2.7e-26   7.5e-23   78.6   0.0  1210  1282  2148  2221  2140  2229 0.89 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114115.1-p1      -           2341 842at5820            -           1358         0 1500.3  94.7  13  13   4.4e-32   1.2e-28   97.8   0.0  1290  1357  2264  2337  2255  2338 0.92 | transcript=PVX_114115.1 | gene=PVX_114115 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1228564-1235764(+) | protein_length=2341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 842at5820            -           1358     0.015   11.3   0.1   1   1   7.4e-06      0.02   10.9   0.1    49   120   275   345   270   378 0.76 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/842at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/842at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/842at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:04 2026
# [ok]
