#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091785.1-p1      -            547 5094at5820           -            473         0 1057.4   8.8   1   2   1.8e-07   8.2e-05   19.7   0.7     1    20     1    20     1    24 0.92 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122455.1-p1      -           1066 5094at5820           -            473   0.00037   17.5   0.0   1   1   1.5e-06    0.0007   16.6   0.0   104   236   241   367   231   371 0.82 | transcript=PVX_122455.1 | gene=PVX_122455 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr14:572869-576069(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 5094at5820           -            473     0.001   16.1   3.0   1   3   3.4e-06    0.0016   15.5   0.1    36   155    24   130    17   144 0.83 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 5094at5820           -            473     0.001   16.1   3.0   2   3      0.78   3.6e+02   -2.2   0.0   252   352   420   520   413   533 0.68 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 5094at5820           -            473     0.001   16.1   3.0   3   3      0.98   4.5e+02   -2.5   0.1   410   436   940   966   926   972 0.80 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 5094at5820           -            473    0.0032   14.5   0.2   1   2   3.5e-05     0.016   12.1   0.1    77   168   219   306   187   341 0.72 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 5094at5820           -            473    0.0032   14.5   0.2   2   2      0.36   1.7e+02   -1.1   0.0   254   330   350   429   338   469 0.66 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 5094at5820           -            473    0.0071   13.3   0.1   1   3     0.088        41    0.9   0.0    38    61     4    27     2    42 0.81 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 5094at5820           -            473    0.0071   13.3   0.1   2   3    0.0004      0.18    8.7   0.0   117   197   127   199   121   229 0.75 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 5094at5820           -            473    0.0071   13.3   0.1   3   3       0.4   1.9e+02   -1.3   0.0   285   374   372   463   348   475 0.67 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085920.1-p1      -            465 5094at5820           -            473    0.0095   12.9   0.4   1   2     0.032        15    2.4   0.0    24    57    21    55    10    74 0.80 | transcript=PVX_085920.1 | gene=PVX_085920 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2 gamma subunit, putative | transcript_product=eukaryotic translation initiation factor 2 gamma subunit, putative | location=Pv_Sal1_chr13:1632475-1633872(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085920.1-p1      -            465 5094at5820           -            473    0.0095   12.9   0.4   2   2   0.00045      0.21    8.5   0.1   115   184   122   185   111   335 0.74 | transcript=PVX_085920.1 | gene=PVX_085920 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2 gamma subunit, putative | transcript_product=eukaryotic translation initiation factor 2 gamma subunit, putative | location=Pv_Sal1_chr13:1632475-1633872(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5094at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5094at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5094at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:16 2026
# [ok]
