#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098720.1-p1      -           1117 1750at5820           -            846         0 1450.7 105.6   1   4     1e-44   1.2e-41  141.3   0.2     1    92     8   115     8   122 0.90 | transcript=PVX_098720.1 | gene=PVX_098720 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:184512-188021(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002715.1-p1      -           1498 1750at5820           -            846     0.011   12.3   7.1   2   4     0.023        25    1.3   0.1   357   400    88   132    71   139 0.73 | transcript=PVX_002715.1 | gene=PVX_002715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:210740-215431(-) | protein_length=1498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002715.1-p1      -           1498 1750at5820           -            846     0.011   12.3   7.1   3   4     0.013        15    2.0   0.0   346   404   460   517   453   531 0.74 | transcript=PVX_002715.1 | gene=PVX_002715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:210740-215431(-) | protein_length=1498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002715.1-p1      -           1498 1750at5820           -            846     0.011   12.3   7.1   4   4   0.00097       1.1    5.8   0.2   334   398   656   716   630   727 0.76 | transcript=PVX_002715.1 | gene=PVX_002715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:210740-215431(-) | protein_length=1498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1750at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1750at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1750at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:28 2026
# [ok]
