#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089305.1-p1      -            800 4127at5820           -            457  1.6e-262  869.7  33.1   1   3   3.8e-67   4.5e-65  218.8   8.6     1   127     1   138     1   146 0.92 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 4127at5820           -            457   2.6e-39  133.8   9.0   1   3   5.3e-12   6.3e-10   37.0   0.4    23    93    24    95     5   127 0.83 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 4127at5820           -            457   2.6e-39  133.8   9.0   2   3     2e-06   0.00023   18.6   0.8   148   188   128   168   102   173 0.91 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122625.1-p1      -            341 4127at5820           -            457   2.6e-39  133.8   9.0   3   3   7.3e-26   8.6e-24   82.7   0.1   240   384   177   339   172   341 0.82 | transcript=PVX_122625.1 | gene=PVX_122625 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr14:726211-729124(-) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 4127at5820           -            457     3e-36  123.7  12.9   1   3   2.4e-07   2.8e-05   21.6   1.8    28   108   266   355   259   362 0.80 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 4127at5820           -            457     3e-36  123.7  12.9   2   3    0.0011      0.13    9.6   0.1   155   187   368   400   359   406 0.87 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 4127at5820           -            457     3e-36  123.7  12.9   3   3   7.6e-31   8.9e-29   99.1   1.0   240   386   407   571   402   587 0.78 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 4127at5820           -            457   3.4e-36  123.6   7.9   1   3     5e-12   5.9e-10   37.1   3.7    29   129     9   117     4   120 0.85 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 4127at5820           -            457   3.4e-36  123.6   7.9   2   3   3.7e-07   4.4e-05   21.0   0.7   142   188   105   151    83   156 0.89 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 4127at5820           -            457   3.4e-36  123.6   7.9   3   3   5.5e-22   6.4e-20   69.9   0.0   240   391   157   300   153   304 0.93 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 4127at5820           -            457     3e-30  104.0  13.8   1   3   8.6e-06     0.001   16.5   1.4    14    90    28   106    16   133 0.74 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 4127at5820           -            457     3e-30  104.0  13.8   2   3   7.5e-09   8.8e-07   26.6   1.4   152   193   132   173   118   179 0.86 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 4127at5820           -            457     3e-30  104.0  13.8   3   3   8.6e-22     1e-19   69.3   0.6   238   389   173   333   170   335 0.82 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 4127at5820           -            457   5.7e-30  103.0  14.0   1   3   1.2e-05    0.0015   16.0   1.5    14    89    28   105    16   130 0.74 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 4127at5820           -            457   5.7e-30  103.0  14.0   2   3   9.8e-09   1.2e-06   26.2   1.5   152   193   132   173   116   178 0.85 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 4127at5820           -            457   5.7e-30  103.0  14.0   3   3     1e-21   1.2e-19   69.0   0.5   238   389   173   333   171   336 0.82 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 4127at5820           -            457   8.5e-30  102.5  12.9   1   4   5.3e-07   6.2e-05   20.5   0.8    28    89   171   238   153   262 0.78 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 4127at5820           -            457   8.5e-30  102.5  12.9   2   4   1.3e-06   0.00015   19.2   0.3   150   198   268   314   254   343 0.78 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 4127at5820           -            457   8.5e-30  102.5  12.9   3   4   1.6e-09   1.9e-07   28.8   0.0   257   295   355   393   347   400 0.89 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 4127at5820           -            457   8.5e-30  102.5  12.9   4   4   6.6e-13   7.8e-11   40.0   0.5   306   391   432   519   426   535 0.88 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 4127at5820           -            457   1.1e-29  102.1  15.7   1   3   1.4e-06   0.00016   19.1   3.7    33   109    14   100     5   104 0.71 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 4127at5820           -            457   1.1e-29  102.1  15.7   2   3   0.00027     0.032   11.6   0.9   148   195   104   149    99   154 0.86 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 4127at5820           -            457   1.1e-29  102.1  15.7   3   3   1.2e-24   1.4e-22   78.7   0.2   251   384   176   308   158   314 0.87 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 4127at5820           -            457   1.3e-25   88.7   7.3   1   3     5e-06   0.00059   17.3   0.6    29    91   606   674   589   676 0.80 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 4127at5820           -            457   1.3e-25   88.7   7.3   2   3   0.00017     0.021   12.2   0.7   150   191   851   892   843   897 0.85 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 4127at5820           -            457   1.3e-25   88.7   7.3   3   3   2.3e-19   2.8e-17   61.2   0.0   260   384   917  1056   894  1061 0.80 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 4127at5820           -            457   8.1e-22   76.2  12.4   1   3   1.7e-07     2e-05   22.1   0.3     8    91   777   871   771   920 0.73 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 4127at5820           -            457   8.1e-22   76.2  12.4   2   3   1.7e-05    0.0021   15.5   2.1   146   188  1155  1197  1051  1219 0.85 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095370.1-p1      -           1391 4127at5820           -            457   8.1e-22   76.2  12.4   3   3   5.6e-14   6.6e-12   43.5   0.2   255   388  1233  1372  1207  1384 0.77 | transcript=PVX_095370.1 | gene=PVX_095370 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr08:1061141-1065316(+) | protein_length=1391 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 4127at5820           -            457   7.9e-20   69.6  11.7   1   3         2   2.4e+02   -1.2   0.3    28    52    19    43     6    59 0.70 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 4127at5820           -            457   7.9e-20   69.6  11.7   2   3   6.4e-06   0.00076   16.9   0.5   135   200   163   235    88   239 0.63 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 4127at5820           -            457   7.9e-20   69.6  11.7   3   3   1.4e-18   1.6e-16   58.7   0.4   277   389   479   598   469   650 0.78 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 4127at5820           -            457   3.5e-16   57.6  19.2   1   4   4.4e-06   0.00052   17.5   6.1    28   107   480   566   464   572 0.81 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 4127at5820           -            457   3.5e-16   57.6  19.2   2   4   4.6e-08   5.4e-06   24.0   0.1   148   188   573   613   562   618 0.89 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 4127at5820           -            457   3.5e-16   57.6  19.2   3   4   1.3e-07   1.5e-05   22.6   0.0   239   315   618   694   615   702 0.78 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 4127at5820           -            457   3.5e-16   57.6  19.2   4   4      0.32        38    1.4   0.3   352   403   702   753   678   768 0.81 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 4127at5820           -            457   4.3e-16   57.3   6.0   1   3   0.00017      0.02   12.3   0.3    34   104  1344  1420  1332  1425 0.78 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 4127at5820           -            457   4.3e-16   57.3   6.0   2   3   5.1e-09     6e-07   27.1   0.2   152   195  1435  1478  1422  1482 0.89 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 4127at5820           -            457   4.3e-16   57.3   6.0   3   3   7.1e-07   8.4e-05   20.1   0.0   236   306  1482  1554  1473  1566 0.80 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 4127at5820           -            457   5.7e-16   56.9   8.4   1   4   6.3e-10   7.4e-08   30.1   0.3    35   101   164   233   149   238 0.73 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 4127at5820           -            457   5.7e-16   56.9   8.4   2   4   1.3e-05    0.0016   15.9   0.2   136   197   233   294   229   302 0.80 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 4127at5820           -            457   5.7e-16   56.9   8.4   3   4    0.0012      0.14    9.4   0.2   240   310   295   364   291   371 0.75 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 4127at5820           -            457   5.7e-16   56.9   8.4   4   4     0.017         2    5.6   0.0   352   386   381   415   367   438 0.87 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 4127at5820           -            457   2.3e-15   54.9  10.2   1   4       2.1   2.5e+02   -1.2   0.1   101   141    84   122    69   126 0.83 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122970.1-p1      -            517 4127at5820           -            457   2.3e-15   54.9  10.2   2   4      0.11        13    2.9   0.4    55    86   243   277   229   295 0.66 | transcript=PVX_122970.1 | gene=PVX_122970 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr14:1046286-1048385(-) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
