#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111075.1-p1      -            512 5626at5820           -            398    3e-227  752.6  20.0   1   2  8.1e-212  4.5e-209  692.7  17.7     1   350    44   395    44   403 0.99 | transcript=PVX_111075.1 | gene=PVX_111075 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:734691-736229(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 5626at5820           -            398   2.4e-09   35.0  23.1   3   5   8.8e-09   4.9e-06   24.1   4.3    90   192   403   506   401   534 0.90 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 5626at5820           -            398   2.4e-09   35.0  23.1   4   5      0.12        64    0.7   0.1    55    90   521   559   506   561 0.77 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 5626at5820           -            398   2.4e-09   35.0  23.1   5   5   1.7e-05    0.0096   13.3   2.5     6    96   626   716   622   781 0.83 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001805.1-p1      -            731 5626at5820           -            398   2.9e-05   21.6   6.5   1   2    0.0022       1.2    6.3   0.1   139   183   242   286   225   314 0.81 | transcript=PVX_001805.1 | gene=PVX_001805 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:150989-153184(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001805.1-p1      -            731 5626at5820           -            398   2.9e-05   21.6   6.5   2   2   1.3e-06   0.00074   16.9   2.4    87   196   442   557   427   602 0.68 | transcript=PVX_001805.1 | gene=PVX_001805 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:150989-153184(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079775.1-p1      -            927 5626at5820           -            398   0.00015   19.2  20.6   1   2   8.6e-05     0.048   11.0   7.1    40   178   186   252   143   272 0.55 | transcript=PVX_079775.1 | gene=PVX_079775 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:93563-96477(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079775.1-p1      -            927 5626at5820           -            398   0.00015   19.2  20.6   2   2   2.3e-05     0.013   12.8   5.5    49   186   327   469   302   510 0.61 | transcript=PVX_079775.1 | gene=PVX_079775 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:93563-96477(+) | protein_length=927 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123020.1-p1      -            943 5626at5820           -            398   0.00044   17.7   9.5   1   2     8e-07   0.00044   17.7   9.5    18   218   280   479   265   497 0.74 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123020.1-p1      -            943 5626at5820           -            398   0.00044   17.7   9.5   2   2       1.2   6.7e+02   -2.7   0.6   277   305   698   730   685   744 0.78 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094515.1-p1      -            892 5626at5820           -            398    0.0014   16.0  11.7   1   3   2.6e-06    0.0014   16.0  11.7    65   179   123   237    93   250 0.88 | transcript=PVX_094515.1 | gene=PVX_094515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:303017-305695(-) | protein_length=892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094515.1-p1      -            892 5626at5820           -            398    0.0014   16.0  11.7   2   3    0.0015      0.84    6.9   0.5   119   190   214   285   205   319 0.82 | transcript=PVX_094515.1 | gene=PVX_094515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:303017-305695(-) | protein_length=892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094515.1-p1      -            892 5626at5820           -            398    0.0014   16.0  11.7   3   3      0.49   2.7e+02   -1.4   1.7   111   153   496   542   471   588 0.68 | transcript=PVX_094515.1 | gene=PVX_094515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:303017-305695(-) | protein_length=892 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 5626at5820           -            398      0.17    9.1   5.8   1   3     0.022        12    3.0   0.0   128   192   113   177   100   182 0.84 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 5626at5820           -            398      0.17    9.1   5.8   2   3       1.1   6.2e+02   -2.6   0.1    48   108   258   319   251   329 0.73 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 5626at5820           -            398      0.17    9.1   5.8   3   3   0.00079      0.44    7.8   0.8   112   187   441   516   434   534 0.73 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5626at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5626at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5626at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:38 2026
# [ok]
