#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123110.1-p1      -            318 12286at5820          -            258  2.8e-118  392.2 109.7   1   3     4e-81   6.6e-79  263.2  11.7     1   131     1   139     1   142 0.93 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116790.1-p1      -            589 12286at5820          -            258    0.0021   15.7  30.4   1   2       9.4   1.5e+03   -3.5   0.7   104   117   165   178   159   198 0.43 | transcript=PVX_116790.1 | gene=PVX_116790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1298424-1300193(-) | protein_length=589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116790.1-p1      -            589 12286at5820          -            258    0.0021   15.7  30.4   2   2   1.3e-05    0.0021   15.7  30.4   134   197   288   355   273   419 0.62 | transcript=PVX_116790.1 | gene=PVX_116790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1298424-1300193(-) | protein_length=589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122270.1-p1      -            467 12286at5820          -            258    0.0041   14.7   5.6   1   1     4e-05    0.0065   14.1   5.6   153   212    72   134    57   176 0.48 | transcript=PVX_122270.1 | gene=PVX_122270 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine recombinase, putative | transcript_product=tyrosine recombinase, putative | location=Pv_Sal1_chr14:443954-447043(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100870.1-p1      -            304 12286at5820          -            258    0.0087   13.7  18.0   1   1   7.8e-05     0.013   13.1  18.0   133   223    74   162    30   171 0.49 | transcript=PVX_100870.1 | gene=PVX_100870 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2436238-2437815(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116582.1-p1      -            822 12286at5820          -            258     0.011   13.4   3.4   1   1   0.00013     0.021   12.5   3.4   160   194   506   539   496   573 0.48 | transcript=PVX_116582.1 | gene=PVX_116582 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr12:1103176-1105909(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091820.1-p1      -           1497 12286at5820          -            258     0.025   12.2  23.3   1   1   0.00032     0.052   11.1  23.3   145   195   823   872   804   878 0.45 | transcript=PVX_091820.1 | gene=PVX_091820 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:870588-875081(-) | protein_length=1497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084770.1-p1      -           3060 12286at5820          -            258     0.028   12.0  36.6   1   2         8   1.3e+03   -3.3   0.1    94   114   678   698   674   704 0.85 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084770.1-p1      -           3060 12286at5820          -            258     0.028   12.0  36.6   2   2   3.4e-05    0.0055   14.3  31.9   135   212  1640  1712  1604  1732 0.64 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101375.1-p1      -             58 12286at5820          -            258     0.029   12.0  14.7   1   1   0.00019     0.032   11.8  14.7   165   195    14    44    10    57 0.40 | transcript=PVX_101375.1 | gene=PVX_101375 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr14:2835429-2835762(+) | protein_length=58 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100550.1-p1      -            710 12286at5820          -            258     0.052   11.1  34.3   1   1   0.00069      0.11   10.0  34.3   145   183   666   704   633   710 0.49 | transcript=PVX_100550.1 | gene=PVX_100550 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperonin CPN60, mitochondrial precursor, putative | transcript_product=chaperonin CPN60, mitochondrial precursor, putative | location=Pv_Sal1_chr14:2185982-2188495(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 12286at5820          -            258     0.096   10.3  54.3   1   2   4.5e-05    0.0073   13.9  20.6   119   210   202   288   192   306 0.54 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 12286at5820          -            258     0.096   10.3  54.3   2   2      0.25        41    1.6  25.7   126   193   398   456   383   491 0.40 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003615.1-p1      -            376 12286at5820          -            258      0.12    9.9  97.7   1   2     0.044       7.2    4.1  39.8   112   189   175   261   168   263 0.39 | transcript=PVX_003615.1 | gene=PVX_003615 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:735690-737062(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003615.1-p1      -            376 12286at5820          -            258      0.12    9.9  97.7   2   2    0.0011      0.17    9.4  65.4   141   225   253   340   251   354 0.69 | transcript=PVX_003615.1 | gene=PVX_003615 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:735690-737062(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082765.1-p1      -            139 12286at5820          -            258      0.12    9.9  41.5   1   1    0.0011      0.17    9.4  41.5   134   193    78   135    54   138 0.55 | transcript=PVX_082765.1 | gene=PVX_082765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr12:713180-713599(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122365.1-p1      -            158 12286at5820          -            258      0.15    9.6  20.9   1   1    0.0011      0.17    9.4  20.9   131   187    99   155    40   158 0.52 | transcript=PVX_122365.1 | gene=PVX_122365 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:516583-517059(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089765.1-p1      -            428 12286at5820          -            258      0.24    9.0  37.2   1   2   2.7e-05    0.0044   14.7  26.7   141   191   122   166   100   191 0.47 | transcript=PVX_089765.1 | gene=PVX_089765 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr05:815232-816708(-) | protein_length=428 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089765.1-p1      -            428 12286at5820          -            258      0.24    9.0  37.2   2   2      0.95   1.5e+02   -0.2   2.7   164   179   406   421   386   428 0.36 | transcript=PVX_089765.1 | gene=PVX_089765 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr05:815232-816708(-) | protein_length=428 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080535.1-p1      -           1048 12286at5820          -            258       0.3    8.6  20.9   1   2   0.00056     0.091   10.3   3.7   159   186   241   268   228   327 0.49 | transcript=PVX_080535.1 | gene=PVX_080535 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase UvrD, putative | transcript_product=ATP-dependent DNA helicase UvrD, putative | location=Pv_Sal1_chr10:750278-753424(+) | protein_length=1048 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080535.1-p1      -           1048 12286at5820          -            258       0.3    8.6  20.9   2   2     0.065        11    3.6   9.4   139   196   835   891   807   938 0.53 | transcript=PVX_080535.1 | gene=PVX_080535 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent DNA helicase UvrD, putative | transcript_product=ATP-dependent DNA helicase UvrD, putative | location=Pv_Sal1_chr10:750278-753424(+) | protein_length=1048 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 12286at5820          -            258      0.33    8.5  34.1   1   2     0.077        13    3.3   5.1   130   188    62   123    51   160 0.50 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 12286at5820          -            258      0.33    8.5  34.1   2   2   0.00036     0.059   11.0  21.0   123   209   230   320   221   343 0.56 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113380.1-p1      -            709 12286at5820          -            258      0.58    7.7  16.1   1   1    0.0067       1.1    6.8  16.1   131   168   299   336   285   347 0.59 | transcript=PVX_113380.1 | gene=PVX_113380 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1854575-1856704(-) | protein_length=709 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123170.1-p1      -            544 12286at5820          -            258      0.91    7.1  31.5   1   2    0.0033      0.53    7.8  21.7   130   189   151   209   115   261 0.56 | transcript=PVX_123170.1 | gene=PVX_123170 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1196826-1198639(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123170.1-p1      -            544 12286at5820          -            258      0.91    7.1  31.5   2   2     0.045       7.3    4.1   2.2   140   158   522   540   483   544 0.49 | transcript=PVX_123170.1 | gene=PVX_123170 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1196826-1198639(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113620.1-p1      -            660 12286at5820          -            258       1.4    6.4  12.6   1   1     0.021       3.4    5.2  12.6   133   214    59   136    44   144 0.53 | transcript=PVX_113620.1 | gene=PVX_113620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1638036-1640207(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 12286at5820          -            258       1.9    6.0  22.9   1   1     0.022       3.5    5.1  22.9   109   200    23   112     3   158 0.56 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 12286at5820          -            258         2    6.0  34.7   1   1     0.025         4    5.0  34.7   135   192   199   255   180   282 0.45 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 12286at5820          -            258         2    5.9  26.8   1   1     0.024       3.8    5.0  26.8   151   184   487   520   470   529 0.33 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082620.1-p1      -            302 12286at5820          -            258       3.7    5.1  28.0   1   1      0.01       1.7    6.2  25.7    98   179   217   300   198   302 0.52 | transcript=PVX_082620.1 | gene=PVX_082620 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:799707-800615(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 12286at5820          -            258       3.9    5.0  46.1   1   1   0.00065      0.11   10.1  40.1    87   196   159   266   147   281 0.67 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089935.1-p1      -           2180 12286at5820          -            258         4    5.0  24.8   1   1     0.079        13    3.3  24.8   128   187    80   141    59   160 0.44 | transcript=PVX_089935.1 | gene=PVX_089935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:948274-955070(-) | protein_length=2180 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118665.1-p1      -            255 12286at5820          -            258       4.2    4.9  37.2   1   1     0.042       6.8    4.2  37.2   111   211   138   240   133   245 0.48 | transcript=PVX_118665.1 | gene=PVX_118665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2958519-2959393(+) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119415.1-p1      -            896 12286at5820          -            258         7    4.2  37.4   1   2    0.0022      0.36    8.4  15.9   152   203   329   379   313   398 0.43 | transcript=PVX_119415.1 | gene=PVX_119415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1476771-1479461(-) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119415.1-p1      -            896 12286at5820          -            258         7    4.2  37.4   2   2      0.58        94    0.5  13.5   140   178   575   606   558   636 0.40 | transcript=PVX_119415.1 | gene=PVX_119415 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1476771-1479461(-) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002925.1-p1      -           1601 12286at5820          -            258       9.3    3.8  23.9   1   1      0.11        17    2.9  23.9   145   190  1308  1345  1296  1365 0.38 | transcript=PVX_002925.1 | gene=PVX_002925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:388458-393263(-) | protein_length=1601 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12286at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12286at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12286at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:27 2026
# [ok]
