#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115395.1-p1      -            494 7247at5820           -            349    4e-181  600.0  44.4   1   5   4.5e-27   1.8e-24   84.8   0.1     1    51     1    51     1    59 0.97 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 7247at5820           -            349   1.3e-11   42.5  21.9   1   4   0.00097      0.38    8.1   0.0    18    46    94   121    85   127 0.80 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 7247at5820           -            349   1.3e-11   42.5  21.9   2   4   0.00012     0.047   11.1   1.3   193   251   115   174   115   182 0.82 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 7247at5820           -            349   1.3e-11   42.5  21.9   3   4   3.4e-06    0.0013   16.2   4.1   259   345   217   299   202   303 0.81 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 7247at5820           -            349   1.3e-11   42.5  21.9   4   4   8.6e-07   0.00034   18.1   1.6   265   341   422   504   399   511 0.72 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094435.1-p1      -            341 7247at5820           -            349     2e-11   41.9  13.9   1   3     2e-05    0.0081   13.6   0.2     8    57     8    60     1    68 0.72 | transcript=PVX_094435.1 | gene=PVX_094435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP carrier protein, putative | transcript_product=ADP/ATP carrier protein, putative | location=Pv_Sal1_chr08:252937-254324(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094435.1-p1      -            341 7247at5820           -            349     2e-11   41.9  13.9   2   3   1.5e-09   6.1e-07   27.2   3.9   144   253   104   213    62   217 0.84 | transcript=PVX_094435.1 | gene=PVX_094435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP carrier protein, putative | transcript_product=ADP/ATP carrier protein, putative | location=Pv_Sal1_chr08:252937-254324(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094435.1-p1      -            341 7247at5820           -            349     2e-11   41.9  13.9   3   3    0.0056       2.2    5.6   0.2    17    75   249   309   230   337 0.75 | transcript=PVX_094435.1 | gene=PVX_094435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP carrier protein, putative | transcript_product=ADP/ATP carrier protein, putative | location=Pv_Sal1_chr08:252937-254324(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 7247at5820           -            349   3.1e-10   38.0  15.9   1   6    0.0074       2.9    5.2   0.0    19    77    38    97    23   115 0.77 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 7247at5820           -            349   3.1e-10   38.0  15.9   2   6       2.2   8.5e+02   -2.9   0.0   126   158   447   478   443   500 0.78 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 7247at5820           -            349   3.1e-10   38.0  15.9   3   6       3.7   1.5e+03   -3.7   1.6    54    93   584   623   573   645 0.64 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 7247at5820           -            349   3.1e-10   38.0  15.9   4   6     0.016       6.2    4.1   0.1   313   347   670   704   659   706 0.88 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 7247at5820           -            349   3.1e-10   38.0  15.9   5   6   0.00031      0.12    9.7   0.2   158   343   747   824   721   836 0.61 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 7247at5820           -            349   3.1e-10   38.0  15.9   6   6   1.7e-09   6.9e-07   27.0   0.1   252   346  1025  1112  1013  1115 0.81 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 7247at5820           -            349   4.6e-09   34.2   7.5   1   3     0.078        31    1.8   0.0   160   184     5    29     1    35 0.56 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 7247at5820           -            349   4.6e-09   34.2   7.5   2   3   7.3e-06    0.0029   15.1   0.2   307   347    35    75    29    77 0.87 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 7247at5820           -            349   4.6e-09   34.2   7.5   3   3   6.4e-07   0.00025   18.6   1.5   184   297   101   215    88   257 0.75 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 7247at5820           -            349   2.6e-08   31.7  34.4   1   4     0.025        10    3.4   1.8    10    57     3    52     1    67 0.71 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 7247at5820           -            349   2.6e-08   31.7  34.4   2   4    0.0015       0.6    7.5   1.6   303   343    70   110    56   113 0.86 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 7247at5820           -            349   2.6e-08   31.7  34.4   3   4   1.6e-06   0.00063   17.3   5.1   167   302   122   256   110   285 0.72 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 7247at5820           -            349   2.6e-08   31.7  34.4   4   4   2.2e-07   8.8e-05   20.1   4.7   294   343   331   379   316   380 0.89 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 7247at5820           -            349   2.6e-08   31.7   5.9   1   3       0.4   1.6e+02   -0.5   0.0    20    45    28    53    10    66 0.67 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 7247at5820           -            349   2.6e-08   31.7   5.9   2   3   0.00038      0.15    9.4   0.5   212   253    87   128    27   134 0.84 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 7247at5820           -            349   2.6e-08   31.7   5.9   3   3   1.6e-08   6.4e-06   23.8   0.6   154   313   142   297   131   325 0.80 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 7247at5820           -            349   4.4e-08   30.9  34.1   1   4   0.00055      0.22    8.9   1.4   272   346    60   135    47   138 0.80 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 7247at5820           -            349   4.4e-08   30.9  34.1   2   4     0.029        11    3.3   0.6   153   203   241   289   214   303 0.75 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 7247at5820           -            349   4.4e-08   30.9  34.1   3   4   3.6e-08   1.4e-05   22.7   6.0   289   347   442   498   387   500 0.88 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 7247at5820           -            349   4.4e-08   30.9  34.1   4   4   1.2e-05    0.0048   14.4   2.2   243   340   501   596   497   600 0.70 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123820.1-p1      -            306 7247at5820           -            349   6.7e-06   23.8   3.0   1   3   0.00026       0.1   10.0   0.1   296   342    33    78    26    84 0.85 | transcript=PVX_123820.1 | gene=PVX_123820 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1821609-1822529(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123820.1-p1      -            306 7247at5820           -            349   6.7e-06   23.8   3.0   2   3    0.0047       1.9    5.8   0.1   104   153   127   176   107   179 0.85 | transcript=PVX_123820.1 | gene=PVX_123820 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1821609-1822529(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123820.1-p1      -            306 7247at5820           -            349   6.7e-06   23.8   3.0   3   3    0.0024      0.96    6.8   0.0    86   122   246   281   224   289 0.86 | transcript=PVX_123820.1 | gene=PVX_123820 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1821609-1822529(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_254300-t26_1-p1  -            353 7247at5820           -            349   2.7e-05   21.8   4.2   1   3   0.00032      0.13    9.7   0.1   296   342    33    78    26    84 0.85 | transcript=PVX_254300-t26_1 | gene=PVX_254300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001108:1-1062(-) | protein_length=353 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_254300-t26_1-p1  -            353 7247at5820           -            349   2.7e-05   21.8   4.2   2   3     0.006       2.4    5.5   0.1   104   153   127   176   109   179 0.85 | transcript=PVX_254300-t26_1 | gene=PVX_254300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001108:1-1062(-) | protein_length=353 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_254300-t26_1-p1  -            353 7247at5820           -            349   2.7e-05   21.8   4.2   3   3    0.0027       1.1    6.6   0.1    86   122   246   281   225   307 0.85 | transcript=PVX_254300-t26_1 | gene=PVX_254300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001108:1-1062(-) | protein_length=353 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 7247at5820           -            349   0.00046   17.7   5.4   1   2   2.9e-05     0.011   13.1   0.3   292   347    58   113    34   115 0.87 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 7247at5820           -            349   0.00046   17.7   5.4   2   2     0.015       5.9    4.2   0.1   162   189   234   259   219   315 0.62 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7247at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7247at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7247at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:52 2026
# [ok]
