#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101335.1-p1      -            424 6938at5820           -            387  8.7e-271  895.4   7.3   1   1  4.5e-273  1.1e-270  895.1   7.3     6   387    36   424    33   424 0.99 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 6938at5820           -            387   1.1e-64  217.0   8.1   2   4   4.5e-14   1.1e-11   42.5   1.6   220   360   496   631   474   650 0.83 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 6938at5820           -            387   1.1e-64  217.0   8.1   3   4   2.3e-46   5.6e-44  148.8   0.0   125   318   773   966   757   976 0.90 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 6938at5820           -            387   1.1e-64  217.0   8.1   4   4     0.018       4.4    4.3   0.1   330   356  1105  1131  1099  1141 0.83 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 6938at5820           -            387   4.1e-55  185.5   0.2   1   2   5.6e-06    0.0013   15.9   0.0   140   315   219   382   210   390 0.69 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 6938at5820           -            387   4.1e-55  185.5   0.2   2   2   9.7e-52   2.3e-49  166.5   0.1   121   358   563   799   541   814 0.93 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 6938at5820           -            387   5.7e-55  185.0   0.0   1   1   3.9e-57   9.4e-55  184.3   0.0   130   368   160   401   153   414 0.93 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091615.1-p1      -            950 6938at5820           -            387   2.6e-54  182.8   0.1   1   1   2.2e-56   5.2e-54  181.8   0.1   121   372   392   651   362   656 0.87 | transcript=PVX_091615.1 | gene=PVX_091615 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr09:647681-650533(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 6938at5820           -            387   1.3e-51  173.9   0.7   1   1   9.7e-54   2.3e-51  173.1   0.7   122   372   242   488   232   505 0.93 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 6938at5820           -            387   5.9e-45  152.0   0.3   1   2     9e-42   2.2e-39  133.7   0.2   133   355   256   492   239   520 0.82 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 6938at5820           -            387   5.9e-45  152.0   0.3   2   2   5.1e-06    0.0012   16.0   0.0   167   282   572   687   545   709 0.78 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 6938at5820           -            387     3e-37  126.7   0.0   1   1   2.6e-39   6.1e-37  125.6   0.0   128   311   115   294    99   298 0.90 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 6938at5820           -            387   2.1e-35  120.6   0.1   1   1   1.3e-37   3.2e-35  120.0   0.1   134   350   427   644   408   652 0.87 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 6938at5820           -            387   5.8e-22   76.4   0.0   1   2   1.2e-19   2.8e-17   60.9   0.0   154   263   584   699   561   713 0.76 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 6938at5820           -            387   5.8e-22   76.4   0.0   2   2   3.9e-05    0.0094   13.1   0.0   258   310   778   830   768   839 0.83 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 6938at5820           -            387   1.4e-11   42.2   0.0   1   1   5.8e-14   1.4e-11   42.2   0.0   166   312   344   489   329   510 0.84 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 6938at5820           -            387   3.7e-11   40.8   0.0   1   1   2.4e-13   5.8e-11   40.1   0.0   165   262   746   846   741   887 0.86 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 6938at5820           -            387   1.1e-10   39.2   0.0   1   1   7.7e-13   1.9e-10   38.5   0.0   164   311   344   508   321   521 0.78 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 6938at5820           -            387   3.4e-10   37.6   0.0   1   2   0.00027     0.065   10.3   0.0   159   195   248   284   231   299 0.82 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 6938at5820           -            387   3.4e-10   37.6   0.0   2   2   9.7e-09   2.3e-06   25.0   0.0   256   302   368   414   360   428 0.92 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117320.1-p1      -            742 6938at5820           -            387   1.2e-06   26.0   0.4   1   3       6.9   1.7e+03   -4.2   0.2    71   107   184   221   171   227 0.66 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117320.1-p1      -            742 6938at5820           -            387   1.2e-06   26.0   0.4   2   3     0.077        18    2.3   0.0   162   202   520   560   514   564 0.89 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117320.1-p1      -            742 6938at5820           -            387   1.2e-06   26.0   0.4   3   3   1.7e-07     4e-05   20.9   0.0   193   238   631   676   621   717 0.84 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 6938at5820           -            387     0.003   14.7   1.0   1   2       0.7   1.7e+02   -0.9   1.0    18    36    40    58    30    68 0.78 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081240.1-p1      -           1095 6938at5820           -            387     0.003   14.7   1.0   2   2   5.2e-05     0.012   12.7   0.0   168   240   326   397   312   416 0.77 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6938at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6938at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6938at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:15 2026
# [ok]
