#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082410.1-p1      -            533 5505at5820           -            448  2.5e-281  931.2  17.5   1   3      0.21        60    0.4   0.1     1    16     1    16     1    19 0.91 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 5505at5820           -            448   2.8e-10   37.8   3.3   3   4   9.6e-13   2.8e-10   37.8   3.3   262   400   428   560   422   568 0.86 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 5505at5820           -            448   2.8e-10   37.8   3.3   4   4     0.033       9.7    3.0   0.5   371   423   575   627   570   641 0.83 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 5505at5820           -            448     3e-08   31.1   2.1   1   1   1.9e-10   5.4e-08   30.2   2.1   278   390   184   292   165   305 0.87 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 5505at5820           -            448   8.7e-08   29.6  16.0   1   2   2.3e-08   6.6e-06   23.4  11.7   119   394     5   271     2   281 0.81 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 5505at5820           -            448   8.7e-08   29.6  16.0   2   2     0.077        22    1.8   0.1   255   303   676   726   654   737 0.84 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002830.1-p1      -           1438 5505at5820           -            448   1.2e-07   29.1   3.0   1   1   8.4e-10   2.5e-07   28.1   2.4   259   403   188   334   166   367 0.86 | transcript=PVX_002830.1 | gene=PVX_002830 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=Pv_Sal1_chr04:307397-312265(+) | protein_length=1438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114150.1-p1      -            539 5505at5820           -            448   1.6e-07   28.7   9.7   1   2   0.00032     0.093    9.7   0.5   324   394   205   277   187   290 0.77 | transcript=PVX_114150.1 | gene=PVX_114150 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=Pv_Sal1_chr11:1210760-1212379(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114150.1-p1      -            539 5505at5820           -            448   1.6e-07   28.7   9.7   2   2   3.7e-08   1.1e-05   22.7   3.2   266   386   303   423   287   428 0.82 | transcript=PVX_114150.1 | gene=PVX_114150 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=Pv_Sal1_chr11:1210760-1212379(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123715.1-p1      -            430 5505at5820           -            448   1.6e-07   28.7   5.3   1   1     8e-10   2.3e-07   28.1   5.3   261   426   244   402   226   416 0.87 | transcript=PVX_123715.1 | gene=PVX_123715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1689797-1691089(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 5505at5820           -            448     5e-07   27.0   2.6   1   2   1.9e-09   5.6e-07   26.9   0.2   267   390    20   147     4   162 0.75 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 5505at5820           -            448     5e-07   27.0   2.6   2   2      0.27        79    0.0   0.2   285   349   192   254   167   309 0.69 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 5505at5820           -            448   1.8e-06   25.2   4.6   1   2   5.5e-06    0.0016   15.5   0.8   310   388   282   360   270   370 0.82 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100830.1-p1      -            507 5505at5820           -            448   1.8e-06   25.2   4.6   2   2   0.00013     0.037   11.0   0.2   275   342   378   451   369   476 0.82 | transcript=PVX_100830.1 | gene=PVX_100830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2412994-2414836(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 5505at5820           -            448     3e-06   24.5  12.2   1   4   0.00078      0.23    8.4   0.5   307   391    32   115    22   119 0.87 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 5505at5820           -            448     3e-06   24.5  12.2   2   4   0.00035       0.1    9.6   0.3   354   387   121   152   114   165 0.78 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 5505at5820           -            448     3e-06   24.5  12.2   3   4   0.00072      0.21    8.5   0.1   196   219   211   234   200   242 0.90 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 5505at5820           -            448     3e-06   24.5  12.2   4   4     0.014         4    4.3   0.1   318   380   260   319   238   324 0.75 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113565.1-p1      -            361 5505at5820           -            448   1.2e-05   22.6   0.1   1   1   5.8e-08   1.7e-05   22.0   0.1   278   366   204   289   182   323 0.84 | transcript=PVX_113565.1 | gene=PVX_113565 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr11:1697877-1700429(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 5505at5820           -            448   2.1e-05   21.7   1.9   1   3   2.8e-05     0.008   13.2   0.0   342   395    54   107    40   115 0.83 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 5505at5820           -            448   2.1e-05   21.7   1.9   2   3    0.0061       1.8    5.5   0.7   305   350   111   157   105   213 0.66 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101450.1-p1      -            558 5505at5820           -            448   2.1e-05   21.7   1.9   3   3      0.22        64    0.3   0.2   289   419   183   325   173   333 0.63 | transcript=PVX_101450.1 | gene=PVX_101450 | organism=Plasmodium_vivax_Sal-1 | gene_product=coronin, putative | transcript_product=coronin, putative | location=Pv_Sal1_chr14:2900350-2902407(+) | protein_length=558 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 5505at5820           -            448   2.7e-05   21.3   5.6   1   2   1.4e-07   4.2e-05   20.7   1.4   214   346     5   140     2   153 0.79 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124175.1-p1      -            763 5505at5820           -            448   2.7e-05   21.3   5.6   2   2     0.055        16    2.3   0.1   353   395   228   275   186   322 0.58 | transcript=PVX_124175.1 | gene=PVX_124175 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein transport protein SEC13, putative | transcript_product=protein transport protein SEC13, putative | location=Pv_Sal1_chr14:2108558-2110849(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 5505at5820           -            448   0.00055   17.0   2.3   1   2   0.00048      0.14    9.1   0.0   297   344   322   369   310   393 0.78 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 5505at5820           -            448   0.00055   17.0   2.3   2   2    0.0024      0.69    6.8   0.4   321   384   386   448   371   457 0.75 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111050.1-p1      -            706 5505at5820           -            448    0.0011   16.0   1.3   1   1   7.3e-06    0.0021   15.1   1.3   301   391   177   223   128   330 0.58 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001875.1-p1      -            735 5505at5820           -            448    0.0042   14.1   0.6   1   2    0.0039       1.1    6.1   0.0   312   395   439   528   417   564 0.70 | transcript=PVX_001875.1 | gene=PVX_001875 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=Pv_Sal1_chr06:219088-221295(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001875.1-p1      -            735 5505at5820           -            448    0.0042   14.1   0.6   2   2    0.0039       1.1    6.1   0.2   347   386   624   663   595   717 0.67 | transcript=PVX_001875.1 | gene=PVX_001875 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=Pv_Sal1_chr06:219088-221295(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5505at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5505at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5505at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:04 2026
# [ok]
