#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082950.1-p1      -            229 11171at5820          -            191  1.3e-125  414.8   1.7   1   1  4.9e-128  1.6e-125  414.5   1.7     1   185     1   185     1   208 0.97 | transcript=PVX_082950.1 | gene=PVX_082950 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-11B, putative | transcript_product=ras-related protein Rab-11B, putative | location=Pv_Sal1_chr12:563565-564902(+) | protein_length=229 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002970.1-p1      -            245 11171at5820          -            191     4e-26   90.3   3.5   2   2   2.7e-24   8.9e-22   76.1   1.8    58   185   101   220    94   226 0.91 | transcript=PVX_002970.1 | gene=PVX_002970 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=Pv_Sal1_chr04:423494-424231(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091515.1-p1      -            214 11171at5820          -            191   9.4e-25   85.8   0.0   1   1   3.7e-27   1.2e-24   85.4   0.0     1   169     1   161     1   172 0.90 | transcript=PVX_091515.1 | gene=PVX_091515 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=Pv_Sal1_chr09:580205-581025(-) | protein_length=214 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001905.1-p1      -            181 11171at5820          -            191   1.9e-07   29.3   0.0   1   1   7.7e-10   2.5e-07   29.0   0.0    11   158    19   160    11   180 0.82 | transcript=PVX_001905.1 | gene=PVX_001905 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=Pv_Sal1_chr06:240794-242171(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083300.1-p1      -            224 11171at5820          -            191   1.1e-06   26.9   0.1   1   1     8e-09   2.6e-06   25.6   0.1    74   179   106   207    97   213 0.79 | transcript=PVX_083300.1 | gene=PVX_083300 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase, putative | transcript_product=GTPase, putative | location=Pv_Sal1_chr12:233641-235773(-) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110990.1-p1      -            178 11171at5820          -            191   0.00024   19.3   0.1   1   1   9.2e-07    0.0003   18.9   0.1    11   129    19   132    12   177 0.78 | transcript=PVX_110990.1 | gene=PVX_110990 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation factor-like protein, putative | transcript_product=ADP-ribosylation factor-like protein, putative | location=Pv_Sal1_chr06:800482-801018(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118390.1-p1      -            185 11171at5820          -            191   0.00028   19.0   0.2   1   1   1.2e-06   0.00038   18.6   0.2     8   175    15   177     9   185 0.79 | transcript=PVX_118390.1 | gene=PVX_118390 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation-like factor, putative | transcript_product=ADP-ribosylation-like factor, putative | location=Pv_Sal1_chr12:2675674-2676493(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113975.1-p1      -            452 11171at5820          -            191   0.00048   18.3   0.1   1   2       2.9   9.5e+02   -2.3   0.0    11    26     5    20     3    24 0.85 | transcript=PVX_113975.1 | gene=PVX_113975 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=Pv_Sal1_chr11:1349292-1350650(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113975.1-p1      -            452 11171at5820          -            191   0.00048   18.3   0.1   2   2   6.5e-06    0.0021   16.1   0.0    65   109   162   206   145   215 0.87 | transcript=PVX_113975.1 | gene=PVX_113975 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=Pv_Sal1_chr11:1349292-1350650(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11171at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11171at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11171at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:34 2026
# [ok]
