#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094380.1-p1      -            286 11400at5820          -            224  3.2e-125  414.3  46.4   1   3  2.8e-114  1.3e-111  369.8  35.3     1   193    11   213    11   222 0.95 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 11400at5820          -            224   3.6e-13   47.8  67.9   2   4   7.5e-11   3.4e-08   31.5  33.0    46   146   128   236   128   243 0.79 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 11400at5820          -            224   3.6e-13   47.8  67.9   3   4   7.6e-06    0.0035   15.2  27.7    28   126   168   264   168   265 0.72 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119330.1-p1      -            530 11400at5820          -            224   3.6e-13   47.8  67.9   4   4      0.14        63    1.2  14.7    44    95   244   293   233   334 0.76 | transcript=PVX_119330.1 | gene=PVX_119330 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=Pv_Sal1_chr08:1553670-1555262(-) | protein_length=530 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079955.1-p1      -            301 11400at5820          -            224   3.7e-12   44.5  48.8   1   2   1.8e-13   8.1e-11   40.1  22.6    45   125    39   117    29   117 0.89 | transcript=PVX_079955.1 | gene=PVX_079955 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=Pv_Sal1_chr10:239601-240506(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079955.1-p1      -            301 11400at5820          -            224   3.7e-12   44.5  48.8   2   2   1.2e-06   0.00057   17.8  18.2    59   179    97   219    97   237 0.69 | transcript=PVX_079955.1 | gene=PVX_079955 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=Pv_Sal1_chr10:239601-240506(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083475.1-p1      -           1263 11400at5820          -            224   5.4e-12   44.0  38.4   1   3         2   9.1e+02   -2.5   0.0   197   216   518   537   513   542 0.85 | transcript=PVX_083475.1 | gene=PVX_083475 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=Pv_Sal1_chr12:90559-94714(-) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083475.1-p1      -           1263 11400at5820          -            224   5.4e-12   44.0  38.4   2   3   1.2e-14   5.4e-12   44.0  38.4    20   143   594   717   573   726 0.94 | transcript=PVX_083475.1 | gene=PVX_083475 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=Pv_Sal1_chr12:90559-94714(-) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083475.1-p1      -           1263 11400at5820          -            224   5.4e-12   44.0  38.4   3   3       4.9   2.2e+03   -3.8   0.3   174   200  1164  1189  1148  1210 0.53 | transcript=PVX_083475.1 | gene=PVX_083475 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=Pv_Sal1_chr12:90559-94714(-) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092700.1-p1      -            516 11400at5820          -            224   3.7e-09   34.7   9.5   1   1   8.1e-12   3.7e-09   34.7   9.5    54   148    81   175    72   180 0.92 | transcript=PVX_092700.1 | gene=PVX_092700 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1b, putative | transcript_product=inner membrane complex protein 1b, putative | location=Pv_Sal1_chr09:1653826-1655376(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123705.1-p1      -            567 11400at5820          -            224   0.00024   19.0  47.0   1   3      0.01       4.8    4.9  10.7    42   100   123   179   100   182 0.88 | transcript=PVX_123705.1 | gene=PVX_123705 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=Pv_Sal1_chr14:1682391-1684094(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123705.1-p1      -            567 11400at5820          -            224   0.00024   19.0  47.0   2   3   0.00017     0.079   10.7  16.7    41   105   168   234   167   236 0.82 | transcript=PVX_123705.1 | gene=PVX_123705 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=Pv_Sal1_chr14:1682391-1684094(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123705.1-p1      -            567 11400at5820          -            224   0.00024   19.0  47.0   3   3   4.1e-05     0.019   12.8  13.3    40    85   227   278   224   284 0.81 | transcript=PVX_123705.1 | gene=PVX_123705 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=Pv_Sal1_chr14:1682391-1684094(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089185.1-p1      -            628 11400at5820          -            224   0.00096   17.0  14.7   1   3   2.1e-06   0.00096   17.0  14.7    45   111    74   140    67   141 0.92 | transcript=PVX_089185.1 | gene=PVX_089185 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=Pv_Sal1_chr05:366028-367914(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089185.1-p1      -            628 11400at5820          -            224   0.00096   17.0  14.7   2   3    0.0016      0.73    7.6  22.8    36   131   113   211   113   274 0.72 | transcript=PVX_089185.1 | gene=PVX_089185 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=Pv_Sal1_chr05:366028-367914(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089185.1-p1      -            628 11400at5820          -            224   0.00096   17.0  14.7   3   3      0.52   2.4e+02   -0.6   0.3   149   218   492   523   468   540 0.55 | transcript=PVX_089185.1 | gene=PVX_089185 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=Pv_Sal1_chr05:366028-367914(+) | protein_length=628 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082990.1-p1      -            442 11400at5820          -            224     0.001   16.9  38.7   1   2   2.8e-05     0.013   13.3  15.2    29   109   154   241   126   242 0.76 | transcript=PVX_082990.1 | gene=PVX_082990 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=Pv_Sal1_chr12:533501-534829(+) | protein_length=442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082990.1-p1      -            442 11400at5820          -            224     0.001   16.9  38.7   2   2    0.0056       2.6    5.8  21.2    57   121   227   296   224   306 0.76 | transcript=PVX_082990.1 | gene=PVX_082990 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1k, putative | transcript_product=inner membrane complex protein 1k, putative | location=Pv_Sal1_chr12:533501-534829(+) | protein_length=442 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111280.1-p1      -            371 11400at5820          -            224      0.44    8.3  21.3   1   2    0.0049       2.2    6.0   9.4    48    93    40    71    20    95 0.53 | transcript=PVX_111280.1 | gene=PVX_111280 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=Pv_Sal1_chr06:586132-587387(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111280.1-p1      -            371 11400at5820          -            224      0.44    8.3  21.3   2   2    0.0046       2.1    6.1   8.6    36    95    70   129    67   141 0.81 | transcript=PVX_111280.1 | gene=PVX_111280 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=Pv_Sal1_chr06:586132-587387(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11400at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11400at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11400at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:36 2026
# [ok]
