#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111280.1-p1      -            371 8597at5820           -            287    2e-134  445.4   8.7   1   1    4e-137  2.8e-134  445.0   8.7     1   280     1   311     1   317 0.91 | transcript=PVX_111280.1 | gene=PVX_111280 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=Pv_Sal1_chr06:586132-587387(-) | protein_length=371 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123705.1-p1      -            567 8597at5820           -            287       9.1    3.5  37.5   1   2      0.83   5.7e+02   -2.4  17.3    39   119   125   208   114   224 0.72 | transcript=PVX_123705.1 | gene=PVX_123705 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=Pv_Sal1_chr14:1682391-1684094(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123705.1-p1      -            567 8597at5820           -            287       9.1    3.5  37.5   2   2   0.00044      0.31    8.4  13.5    54    97   236   279   215   282 0.86 | transcript=PVX_123705.1 | gene=PVX_123705 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1h, putative | transcript_product=inner membrane complex protein 1h, putative | location=Pv_Sal1_chr14:1682391-1684094(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8597at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8597at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8597at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:42 2026
# [ok]
