#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084825.1-p1      -            149 13322at5820          -            149    2e-101  334.5  11.2   1   1  1.1e-103  2.2e-101  334.3  11.2     1   149     1   149     1   149 1.00 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 13322at5820          -            149   6.9e-13   47.2   9.4   3   3   7.3e-09   1.5e-06   26.6   1.2    54   144   140   230   128   234 0.90 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 13322at5820          -            149   1.1e-12   46.5   5.1   1   1   1.5e-14     3e-12   45.1   5.1     5   146    22   164    18   166 0.83 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091105.1-p1      -            344 13322at5820          -            149   4.4e-11   41.3   9.0   1   2   2.2e-12   4.4e-10   38.1   5.5    11   143    65   198    55   204 0.89 | transcript=PVX_091105.1 | gene=PVX_091105 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=Pv_Sal1_chr09:266688-267722(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091105.1-p1      -            344 13322at5820          -            149   4.4e-11   41.3   9.0   2   2     0.047       9.6    4.5   0.1    86   111   214   239   205   262 0.74 | transcript=PVX_091105.1 | gene=PVX_091105 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=Pv_Sal1_chr09:266688-267722(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101215.1-p1      -            209 13322at5820          -            149   7.5e-10   37.3   0.7   1   1   5.3e-12   1.1e-09   36.8   0.7    14   139    80   200    70   208 0.80 | transcript=PVX_101215.1 | gene=PVX_101215 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin A tail domain interacting protein MTIP, putative | transcript_product=myosin A tail domain interacting protein MTIP, putative | location=Pv_Sal1_chr14:2729679-2730308(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122947.1-p1      -            244 13322at5820          -            149   1.4e-09   36.5   2.4   1   2   0.00074      0.15   10.4   0.0     4    56     9    61     7    88 0.89 | transcript=PVX_122947.1 | gene=PVX_122947 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr14:1024055-1025199(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122947.1-p1      -            244 13322at5820          -            149   1.4e-09   36.5   2.4   2   2   1.6e-08   3.3e-06   25.5   0.9    66   127   152   214    89   240 0.69 | transcript=PVX_122947.1 | gene=PVX_122947 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr14:1024055-1025199(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118285.1-p1      -            207 13322at5820          -            149     5e-09   34.7   2.6   1   1   6.6e-11   1.3e-08   33.3   2.6     5   134    40   174    37   190 0.79 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114465.1-p1      -            140 13322at5820          -            149   5.3e-09   34.6   0.1   1   1   3.1e-11   6.4e-09   34.3   0.1    10   148     5   139     1   140 0.78 | transcript=PVX_114465.1 | gene=PVX_114465 | organism=Plasmodium_vivax_Sal-1 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=Pv_Sal1_chr11:945073-946681(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085540.1-p1      -            136 13322at5820          -            149   5.4e-07   28.1   0.2   1   1   1.1e-08   2.2e-06   26.1   0.2    14   144     9   132     3   136 0.82 | transcript=PVX_085540.1 | gene=PVX_085540 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:1260591-1261001(-) | protein_length=136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081460.1-p1      -            215 13322at5820          -            149   1.1e-06   27.1   0.0   1   1   8.3e-09   1.7e-06   26.4   0.0    11   128    55   173    43   184 0.85 | transcript=PVX_081460.1 | gene=PVX_081460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:359825-360632(+) | protein_length=215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089667.1-p1      -            150 13322at5820          -            149   1.2e-06   26.9   1.1   1   1   7.4e-09   1.5e-06   26.6   1.1     5   144     6   145     2   149 0.89 | transcript=PVX_089667.1 | gene=PVX_089667 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=Pv_Sal1_chr05:749550-750532(-) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 13322at5820          -            149   3.8e-05   22.1   2.1   1   2   0.00022     0.045   12.1   0.1    85   128   646   689   639   718 0.88 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 13322at5820          -            149   3.8e-05   22.1   2.1   2   2    0.0031      0.64    8.4   0.4    85   144   782   850   770   855 0.71 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087685.1-p1      -            107 13322at5820          -            149   0.00042   18.7   0.5   1   1   4.7e-06   0.00096   17.5   0.6     4    72    39   103    36   107 0.79 | transcript=PVX_087685.1 | gene=PVX_087685 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin, putative | transcript_product=centrin, putative | location=Pv_Sal1_chr01:31271-32174(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083520.1-p1      -            423 13322at5820          -            149    0.0011   17.3   0.1   1   1   8.9e-06    0.0018   16.6   0.1     6   108   294   393   289   415 0.89 | transcript=PVX_083520.1 | gene=PVX_083520 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:54766-58068(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092500.1-p1      -            690 13322at5820          -            149    0.0012   17.2   0.6   1   3       1.5   3.2e+02   -0.4   0.0    80   108    86   114    76   145 0.73 | transcript=PVX_092500.1 | gene=PVX_092500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1430283-1432355(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092500.1-p1      -            690 13322at5820          -            149    0.0012   17.2   0.6   2   3       3.8   7.8e+02   -1.7   0.0   103   144   202   246   193   251 0.56 | transcript=PVX_092500.1 | gene=PVX_092500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1430283-1432355(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092500.1-p1      -            690 13322at5820          -            149    0.0012   17.2   0.6   3   3   5.7e-06    0.0012   17.2   0.6    85   143   487   546   443   550 0.82 | transcript=PVX_092500.1 | gene=PVX_092500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1430283-1432355(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113440.1-p1      -            158 13322at5820          -            149    0.0012   17.2   1.5   1   1   8.1e-06    0.0017   16.8   1.5    16   144    29   153    16   157 0.76 | transcript=PVX_113440.1 | gene=PVX_113440 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=Pv_Sal1_chr11:1812622-1813098(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081722.1-p1      -            131 13322at5820          -            149    0.0013   17.0   0.0   1   1   1.8e-05    0.0037   15.6   0.0    30   145    25   131     1   131 0.71 | transcript=PVX_081722.1 | gene=PVX_081722 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:605000-606127(-) | protein_length=131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 13322at5820          -            149    0.0088   14.4   2.3   1   2       1.1   2.2e+02    0.1   0.1   104   128   368   392   327   411 0.73 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091570.1-p1      -            662 13322at5820          -            149    0.0088   14.4   2.3   2   2   0.00015     0.031   12.6   0.3    69   147   578   657   555   659 0.79 | transcript=PVX_091570.1 | gene=PVX_091570 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=Pv_Sal1_chr09:617502-622424(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089590.1-p1      -            275 13322at5820          -            149     0.016   13.6   4.6   1   2    0.0028      0.58    8.5   2.8     8    73   129   187   105   240 0.77 | transcript=PVX_089590.1 | gene=PVX_089590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:682405-683563(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089590.1-p1      -            275 13322at5820          -            149     0.016   13.6   4.6   2   2      0.15        32    2.9   0.0    45    76   244   275   208   275 0.79 | transcript=PVX_089590.1 | gene=PVX_089590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:682405-683563(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13322at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13322at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13322at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:34 2026
# [ok]
